comparison,split_family,heldout_regime,left_model,right_model,left_top5_capture,right_top5_capture,delta_top5_capture,left_spearman,right_spearman,delta_spearman
factorized_vs_full_additive,peak_rain_regime,peak_medium,R1_factorized_low_dim,R2_full_additive,0.9174899476,0.968169912,-0.05067996442,0.6923409347,0.9675039863,-0.2751630516
factorized_vs_full_additive,recoverable_fraction_regime,recoverable_high,R1_factorized_low_dim,R2_full_additive,0.939327988,0.9856831635,-0.04635517558,0.6451256929,0.9375362972,-0.2924106044
factorized_vs_full_additive,recoverable_fraction_regime,recoverable_low,R1_factorized_low_dim,R2_full_additive,0.918092594,0.9713723793,-0.05327978521,0.8099323961,0.9591698985,-0.1492375024
factorized_vs_full_additive,recoverable_fraction_regime,recoverable_medium,R1_factorized_low_dim,R2_full_additive,0.9339816913,0.935600948,-0.001619256642,0.8194231906,0.9486284695,-0.1292052789
factorized_vs_full_additive,speed_impact_regime,speed_high,R1_factorized_low_dim,R2_full_additive,0.9487536054,0.9465625478,0.002191057655,0.8907033454,0.8984340118,-0.007730666386
factorized_vs_full_additive,speed_impact_regime,speed_low,R1_factorized_low_dim,R2_full_additive,0.9093935369,0.9809924453,-0.0715989084,0.7756350323,0.8722497897,-0.09661475738
factorized_vs_full_additive,speed_impact_regime,speed_medium,R1_factorized_low_dim,R2_full_additive,0.9254121888,0.9470877215,-0.02167553266,0.7367968378,0.9430131492,-0.2062163114
factorized_vs_full_additive,time_of_day_regime,evening_peak,R1_factorized_low_dim,R2_full_additive,0.9489113055,0.9614055621,-0.01249425659,0.5681989189,0.9527577663,-0.3845588474
factorized_vs_full_additive,time_of_day_regime,midday,R1_factorized_low_dim,R2_full_additive,0.9386699645,0.9615098748,-0.02283991028,0.7355847207,0.9553599508,-0.2197752302
factorized_vs_full_additive,time_of_day_regime,morning_peak,R1_factorized_low_dim,R2_full_additive,0.9186428046,0.978396075,-0.05975327035,0.7226011871,0.9445145286,-0.2219133415
factorized_vs_full_additive,time_of_day_regime,offpeak_night,R1_factorized_low_dim,R2_full_additive,0.887988545,0.9676232061,-0.07963466105,0.6589730287,0.9437019121,-0.2847288834
factorized_vs_full_additive,total_rain_regime,rain_high,R1_factorized_low_dim,R2_full_additive,0.9390358391,0.9630881787,-0.02405233958,0.6740234225,0.9234676703,-0.2494442478
