model_id,family,description,heldout_city,city,event_id,n_tokens,total_value,spearman,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",Austin,Austin,478,1200,55.569172329355204,0.49062073165427184,0.5452757706687014,0.5613363501494373,0.08333333333333333,0.45472422933129863,0.5888096906198859,0.5855926073353767,0.11666666666666667,0.41119030938011414,0.6386342683200482,0.6219332364242838,0.15833333333333333,0.3613657316799518
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",Austin,Austin,479,1200,48.133556549231045,0.46284728515849344,0.5147071584571922,0.4975587433621597,0.08333333333333333,0.48529284154280783,0.5820490526207797,0.5604046533694828,0.1,0.41795094737922034,0.6434052526535363,0.6112210722342201,0.15833333333333333,0.3565947473464637
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",Austin,Austin,480,1200,63.25149797860775,0.4869723310129308,0.5452757707220491,0.5613363501937707,0.08333333333333333,0.45472422927795086,0.5664045878035975,0.5706508857584913,0.1,0.4335954121964025,0.6296937422532712,0.6145797272326505,0.15833333333333333,0.37030625774672876
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",Austin,Austin,481,1200,157.37377520542103,0.4876597867404621,0.5452757707075955,0.5613363501910609,0.08333333333333333,0.4547242292924045,0.5939981457318851,0.5895688394970913,0.11666666666666667,0.40600185426811486,0.6534940214305397,0.6331427165123112,0.15833333333333333,0.3465059785694603
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",Austin,Austin,482,1200,39.06594002771434,0.48956106451114834,0.515368866971399,0.542180984865019,0.08333333333333333,0.48463113302860095,0.5782597504050999,0.5776791110742577,0.1,0.4217402495949001,0.6363902291958197,0.619517193009815,0.15833333333333333,0.36360977080418033
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",Austin,Austin,483,1200,80.783353846222,0.4732638458937793,0.5452757706451997,0.5613363500971751,0.08333333333333333,0.4547242293548003,0.5869348327518518,0.5842117408281379,0.11666666666666667,0.41306516724814824,0.6460051793965426,0.627076928038999,0.15833333333333333,0.35399482060345744
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",Austin,Austin,484,1200,68.15282726513195,0.5230155519052464,0.5452757707408951,0.5613363502251352,0.08333333333333333,0.45472422925910494,0.5803154787033927,0.5804329393863729,0.1,0.41968452129660727,0.6443444778120083,0.6262842208221183,0.15833333333333333,0.3556555221879917
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",Austin,Austin,485,1207,71.22528468484174,0.4521203208395902,0.5555279303517435,0.5670027685845942,0.07692307692307693,0.4444720696482565,0.5385915879367297,0.5524387127102296,0.09836065573770492,0.4614084120632703,0.619899480618441,0.6062455135836585,0.1487603305785124,0.380100519381559
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",Austin,Austin,486,1200,41.3002648955538,0.464229146400401,0.5452757707593361,0.5613363502453147,0.08333333333333333,0.4547242292406639,0.5359656865806632,0.548928029490974,0.08333333333333333,0.46403431341933676,0.6197148374584196,0.6051641602451157,0.14166666666666666,0.3802851625415804
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",Austin,Austin,487,1200,33.355703233747,0.47824203281158084,0.5452757706998304,0.561336350166987,0.08333333333333333,0.45472422930016965,0.5995746297637027,0.5932706999462111,0.11666666666666667,0.4004253702362973,0.6638437216848997,0.6409971814986895,0.15833333333333333,0.3361562783151003
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",Austin,Austin,488,1200,92.444509335744,0.5069836833220827,0.5452757707064169,0.5613363501361709,0.08333333333333333,0.45472422929358314,0.5810220996836515,0.5807320086212824,0.1,0.4189779003163485,0.6535801510401879,0.632660840870974,0.15833333333333333,0.34641984895981215
