model_id,family,description,heldout_city,n_features,n_tokens,n_events,pearson,spearman,mae,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",Austin,7,18007,15,0.3013813000224284,0.40911074253610163,0.0605122849549098,0.5419275469523241,0.5561852465948155,0.08290598290598289,0.45807245304767585,0.5697979871712436,0.5715017412895516,0.10322404371584702,0.43020201282875636,0.6399903097719547,0.6211128891018196,0.15658402203856744,0.3600096902280453
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",Chicago,7,26081,13,-0.0450065098096981,-0.09274082784477998,0.03661909600740525,0.5108689265271698,0.5695799863014535,0.055983270612507866,0.48913107347283025,0.4776514790556321,0.5054641616468731,0.022729693335573807,0.5223485209443679,0.5246919051475558,0.5315507975264263,0.045333178720310514,0.4753080948524442
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",Dallas,7,12000,10,0.09193695378349205,0.18778442502853424,0.01927363843469158,0.5387965888090316,0.552403664905127,0.0,0.4612034111909684,0.5593787807483425,0.5576762177802957,0.0,0.44062121925165754,0.5656530859643364,0.5624264231402067,0.08416666666666667,0.4343469140356636
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",Houston,7,4800,4,0.1845646949725817,0.29213478625632955,0.018469066385550913,0.4854698278479007,0.5433036133552004,0.08333333333333333,0.5145301721520993,0.48569209564515037,0.5069053950871985,0.03333333333333333,0.5143079043548496,0.5274668037188874,0.5302772426553974,0.07083333333333333,0.47253319628111257
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",New York,7,50454,24,0.3009661181280794,0.3111354769265337,0.038238003818114784,0.519123003522492,0.5281919948898424,0.09528665778665779,0.48087699647750803,0.45507046353834407,0.4725264715569409,0.06893489598157794,0.544929536461656,0.5392242872309825,0.5309009639041201,0.12504388343477604,0.4607757127690175
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",Philadelphia,7,33719,20,0.1203051143137258,0.19812660891258027,0.07819969162479458,0.4554158533750449,0.45743164441948736,0.0,0.544584146624955,0.4624395588640128,0.4621108054811396,0.0,0.5375604411359872,0.516939185107107,0.5027123858111799,0.016903012642432057,0.483060814892893
P0_policy_clock_only,parameter_deconfounding,"policy clock, response delay, intervention type, and budget only",San Antonio,7,25076,19,0.15859181137100226,0.37913981474310526,0.0765815035993919,0.5183750143918849,0.5413748520466858,0.0018796992481203006,0.48162498560811506,0.5266112612283775,0.5338351830510879,0.062335201552579614,0.47338873877162246,0.5942243706079857,0.5805614572441762,0.0927671881859892,0.4057756293920143
P1_clock_plus_efficiency,parameter_deconfounding,policy clock plus calibrated effectiveness per cost,Austin,9,18007,15,0.4015109839954458,0.6080571310932019,0.059965767577140644,0.4872565087045077,0.4551182671094478,0.17094017094017092,0.5127434912954922,0.6439853254644743,0.5896734832842617,0.14983606557377047,0.3560146745355257,0.7510945164207052,0.6836168930452015,0.26819100091827364,0.24890548357929476
P1_clock_plus_efficiency,parameter_deconfounding,policy clock plus calibrated effectiveness per cost,Chicago,9,26081,13,0.06093152735614217,0.14494453807802082,0.036493455384194844,0.4711421524284681,0.47131652812790625,0.0,0.528857847571532,0.5476579946965997,0.528175344927881,0.006800334043923787,0.4523420053034003,0.6312840326986013,0.5971474711675253,0.10781618021777956,0.36871596730139866
P1_clock_plus_efficiency,parameter_deconfounding,policy clock plus calibrated effectiveness per cost,Dallas,9,12000,10,0.31985380751972353,0.5252416577181551,0.025300500588844844,0.6329564611895118,0.6286779387307719,0.0,0.36704353881048823,0.6518771168458072,0.6465886763665972,0.0,0.3481228831541928,0.6597912192307106,0.6538243641732636,0.07416666666666666,0.3402087807692894
