city,event_id,t,intervention,n_tokens,total_value,score_id,description,spearman,top10_value_capture,top10_ndcg,top10_precision
Austin,478,3,S,54,2.968362419879999,S3_structure_only,within-channel static OD structure only,-0.2711696430765613,0.6051885360273386,0.5525880214853108,0.0
Austin,478,3,S,54,2.968362419879999,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.998856489422527,0.9998694926099462,0.9999187483860434,0.8333333333333334
Austin,478,3,S,54,2.968362419879999,S5_full_activation,within-channel activated bottleneck score with eta/cost,0.9999999999999999,1.0,1.0,1.0
Austin,478,4,C,46,2.721690638836,S0_efficiency_only,within-channel calibrated efficiency per cost only,-1.0,0.18370675719058824,0.1477339283192822,0.0
Austin,478,4,C,46,2.721690638836,S1_deficit_only,within-channel local/access deficit only,1.0,1.0,1.0,1.0
Austin,478,4,C,46,2.721690638836,S2_exposure_only,within-channel OD exposure only,1.0,1.0,1.0,1.0
Austin,478,4,C,46,2.721690638836,S3_structure_only,within-channel static OD structure only,-0.042368177613321,0.5723395428822998,0.5419245584523693,0.0
Austin,478,4,C,46,2.721690638836,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",1.0,1.0,1.0,1.0
Austin,478,4,C,46,2.721690638836,S5_full_activation,within-channel activated bottleneck score with eta/cost,1.0,1.0,1.0,1.0
Austin,478,4,S,55,2.942157899183,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.46572871572871577,0.27793514691394905,0.24258369675305153,0.0
Austin,478,4,S,55,2.942157899183,S1_deficit_only,within-channel local/access deficit only,0.21479076479076484,0.6685002194205836,0.6309184940972398,0.16666666666666666
Austin,478,4,S,55,2.942157899183,S2_exposure_only,within-channel OD exposure only,0.998773448773449,0.999869492612902,0.9999187483878899,0.8333333333333334
Austin,478,4,S,55,2.942157899183,S3_structure_only,within-channel static OD structure only,-0.1886724386724387,0.5727828847301547,0.5248984944977552,0.0
Austin,478,4,S,55,2.942157899183,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.998773448773449,0.999869492612902,0.9999187483878899,0.8333333333333334
Austin,478,4,S,55,2.942157899183,S5_full_activation,within-channel activated bottleneck score with eta/cost,1.0,1.0,1.0,1.0
Austin,478,5,C,50,2.7792227840500003,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.9999999999999999,0.1557734804161422,0.12793045383690968,0.0
Austin,478,5,C,50,2.7792227840500003,S1_deficit_only,within-channel local/access deficit only,0.9999999999999999,1.0,1.0,1.0
Austin,478,5,C,50,2.7792227840500003,S2_exposure_only,within-channel OD exposure only,0.9999999999999999,1.0,1.0,1.0
Austin,478,5,C,50,2.7792227840500003,S3_structure_only,within-channel static OD structure only,-0.06496998799519808,0.594263560741146,0.5552625428774477,0.0
Austin,478,5,C,50,2.7792227840500003,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.9999999999999999,1.0,1.0,1.0
