variable,n_events,n_cities,total_variance,between_city_variance,within_city_variance,between_city_share,within_city_share
baseline_objective,105,7,0.03406033737108645,0.017878658964432026,0.016181678406654427,0.5249113879772981,0.475088612022702
event_total_precip,105,7,0.11875116113742464,0.003545117162143481,0.11520604397528114,0.029853326301718417,0.9701466736982814
event_peak_positive_abnormal_deficit,105,7,0.0002786178510459251,8.64514532431949e-05,0.0001921663978027302,0.31028684242110877,0.6897131575788914
top_5pct_value_share,105,7,0.0006751846125705585,0.0004044579626614907,0.00027072664990906753,0.599033146092653,0.40096685390734654
marginal_value_gini,105,7,0.0016551840332297602,0.0007186121609713949,0.0009365718722583665,0.4341584660946537,0.5658415339053471
recoverable_fraction,105,7,0.0011562129354574728,0.0005472853155610934,0.0006089276198963793,0.4733430138839883,0.5266569861160116
decision_criticality_score,105,7,1.9081442495306207e-05,8.117548021247775e-06,1.0963894474058432e-05,0.42541584700656615,0.5745841529934339
lp_minus_random,105,7,0.0009751274880223744,0.00046820988914329635,0.000506917598879078,0.4801524876432908,0.5198475123567091
law_minus_random,105,7,0.0003399303756329778,0.00010657762789190852,0.00023335274774106935,0.31352781490460324,0.686472185095397
