target,feature,overall_spearman,within_city_demeaned_corr,n_events
decision_criticality_score,marginal_value_gini,0.8412274391734418,0.7437992347169389,105
decision_criticality_score,top_1pct_value_share,0.7759060748033968,0.7059988065986799,105
decision_criticality_score,top_5pct_value_share,0.7650261684786042,0.701584842849797,105
decision_criticality_score,optimizer_selected_value_share,0.018569977177583193,0.2933716243070595,105
decision_criticality_score,event_total_precip,-0.12415697210386951,-0.17425369349703318,105
decision_criticality_score,event_peak_positive_abnormal_deficit,-0.4333387778400588,-0.24042325859180597,105
decision_criticality_score,baseline_objective,-0.4584698320547376,-0.3557887908164411,105
law_minus_random,marginal_value_gini,0.35503293548494314,0.06902317567422724,105
law_minus_random,top_5pct_value_share,0.33684735025034296,0.061525972819013605,105
law_minus_random,top_1pct_value_share,0.326994641247159,0.04668472968494651,105
law_minus_random,optimizer_selected_value_share,0.2161624144043855,-0.10334691361198046,105
law_minus_random,event_total_precip,0.0003007854468077537,-0.04011097539037279,105
law_minus_random,baseline_objective,-0.039529338585942354,0.21870265263099126,105
law_minus_random,event_peak_positive_abnormal_deficit,-0.10887252535734947,0.10489001047191544,105
lp_minus_random,marginal_value_gini,0.4744970321485484,0.15551568646352756,105
lp_minus_random,top_1pct_value_share,0.37944983508379093,0.11890795879282565,105
lp_minus_random,top_5pct_value_share,0.3324607984228616,0.1089206066345659,105
lp_minus_random,optimizer_selected_value_share,0.2255666407025809,0.20646917234819412,105
lp_minus_random,event_total_precip,-0.16680108812283775,-0.24228052383800372,105
lp_minus_random,event_peak_positive_abnormal_deficit,-0.5779595621662817,-0.29166945285911683,105
lp_minus_random,baseline_objective,-0.6686605846983206,-0.3371606372450269,105
recoverable_fraction,marginal_value_gini,0.3709230491539078,0.0802215727493438,105
recoverable_fraction,optimizer_selected_value_share,0.29998133986702236,0.2844326244448833,105
recoverable_fraction,top_1pct_value_share,0.27351749089157973,0.04541234214146682,105
recoverable_fraction,top_5pct_value_share,0.23728258129157243,0.03461995366948388,105
recoverable_fraction,event_total_precip,-0.1508231577501707,-0.21892238884677265,105
recoverable_fraction,event_peak_positive_abnormal_deficit,-0.529495166415122,-0.2398821705335144,105
recoverable_fraction,baseline_objective,-0.6152498444951275,-0.29625967694454663,105
