phase,n_events,event_share,mean_loss_rank,mean_decision_rank,mean_recoverable_fraction,mean_top5_value_share
high_loss_low_decision,13,0.12380952380952381,0.901831501831502,0.09890109890109891,0.08163627206923077,0.1484570938
moderate_loss_high_decision,19,0.18095238095238095,0.16040100250626568,0.887218045112782,0.17365594368947368,0.18946244226315787
high_rain_low_decision,16,0.1523809523809524,0.6541666666666667,0.2517857142857143,0.113746046749375,0.153413276875
high_speed_impact_low_decision,15,0.14285714285714285,0.8673015873015874,0.11746031746031746,0.08965656003866666,0.14888555548666663
high_decision_not_high_loss,18,0.17142857142857143,0.217989417989418,0.9089947089947089,0.17134058425,0.1953927131611111
