scenario,n,mean_cost_share_R,mean_cap_utilization_R,mean_cost_share_C,mean_cap_utilization_C,mean_cost_share_S,mean_cap_utilization_S,mean_recoverable_fraction,mean_decision_leverage
very_high_budget,5,0.5340414012880489,0.029175590262784955,0.31269410414893006,0.0589843673228865,0.15326449456302094,0.08588868755857916,0.1415306907362715,0.03807803003461807
high_budget,5,0.5516149602516345,0.011825250125544518,0.2677248818640641,0.01974910342812494,0.1806601578843015,0.040267337932558336,0.06532062760145116,0.020930812684721172
fast_response,5,0.7389420186349407,0.009418213755702159,0.1133824279889134,0.00493303072265738,0.14767555337614588,0.019655310771426918,0.046141396200550445,0.018015496561172357
base,5,0.5139910275725703,0.00654987041651692,0.26780615716050693,0.0117133286915778,0.2182028152669228,0.02917929055213222,0.04211680298553154,0.014951089671632663
delayed_response,5,0.3204668148644746,0.00406721938135668,0.3971840674874558,0.0176201555846508,0.2823491176480695,0.03778349353767784,0.03828888764016606,0.01193346748376321
low_budget,5,0.5371825820176206,0.0033923792987199997,0.21490162689639689,0.0046747559284968,0.24791579108598233,0.016528143645391243,0.02294825237082198,0.009319175130491311
