dataset,feature,target,n,pearson,spearman,abs_spearman
scenario,budget_intensity,decision_leverage_fraction,30,0.8776913426914298,0.8158614535391762,0.8158614535391762
scenario,cost_share_S,decision_leverage_fraction,30,-0.4179402063418141,-0.5007786429365962,0.5007786429365962
scenario,destination_volume_hhi,decision_leverage_fraction,30,0.2978838352642817,0.3730740929471354,0.3730740929471354
scenario,congested_volume_share_speed_ratio_lt_0_8,decision_leverage_fraction,30,-0.3358660167468865,-0.31316438459066104,0.31316438459066104
scenario,mean_a_retention,decision_leverage_fraction,30,-0.1610882618443749,-0.28593269897408186,0.28593269897408186
scenario,cost_share_R,decision_leverage_fraction,30,0.20225887339735704,0.2783092324805339,0.2783092324805339
scenario,delay_score,decision_leverage_fraction,30,-0.16786663453241876,-0.26681493838602804,0.26681493838602804
scenario,total_disturbance,decision_leverage_fraction,30,-0.07313259484864378,-0.25053150767252885,0.25053150767252885
scenario,cost_share_C,decision_leverage_fraction,30,0.18397355186494305,0.19312493166562383,0.19312493166562383
scenario,weighted_b0,decision_leverage_fraction,30,-0.08503564870593323,-0.1851754621927387,0.1851754621927387
scenario,p90_deficit,decision_leverage_fraction,30,-0.09478509023304801,-0.11709624815129065,0.11709624815129065
scenario,max_lag_corr,decision_leverage_fraction,30,-0.11396696748132305,-0.0599097083564743,0.0599097083564743
scenario,tmc_deficit_gini,decision_leverage_fraction,30,0.06924199871774323,-0.016339011369947535,0.016339011369947535
scenario,top_10pct_tmc_deficit_share,decision_leverage_fraction,30,0.06178698937296445,-0.016339011369947535,0.016339011369947535
scenario,budget_intensity,recoverable_fraction,30,0.983998524836703,0.9284766908852592,0.9284766908852592
scenario,cost_share_S,recoverable_fraction,30,-0.2714814662442285,-0.3548387096774193,0.3548387096774193
scenario,mean_a_retention,recoverable_fraction,30,-0.10120478472049782,-0.22602299061760758,0.22602299061760758
scenario,destination_volume_hhi,recoverable_fraction,30,0.09796845168173582,0.20696081068600208,0.20696081068600208
scenario,cost_share_C,recoverable_fraction,30,0.1974504354962302,0.2006897331363971,0.2006897331363971
scenario,delay_score,recoverable_fraction,30,-0.05764661952330906,-0.20011120378952105,0.20011120378952105
scenario,weighted_b0,recoverable_fraction,30,-0.061265098628829485,-0.17428278794610705,0.17428278794610705
scenario,total_disturbance,recoverable_fraction,30,-0.05659790902294467,-0.16339011369947534,0.16339011369947534
scenario,cost_share_R,recoverable_fraction,30,0.06150374536712547,0.15283648498331479,0.15283648498331479
scenario,congested_volume_share_speed_ratio_lt_0_8,recoverable_fraction,30,-0.10026233964503277,-0.14432793376786987,0.14432793376786987
scenario,p90_deficit,recoverable_fraction,30,-0.06402652996000065,-0.11709624815129065,0.11709624815129065
scenario,max_lag_corr,recoverable_fraction,30,-0.05838476017072395,-0.057186539794816374,0.057186539794816374
scenario,tmc_deficit_gini,recoverable_fraction,30,0.03089570323059366,0.005446337123315845,0.005446337123315845
scenario,top_10pct_tmc_deficit_share,recoverable_fraction,30,0.02693563279246081,0.005446337123315845,0.005446337123315845
tuning,budget_intensity,recoverable_fraction,72,0.9730118865740538,0.9814607563175664,0.9814607563175664
tuning,log_budget,recoverable_fraction,72,0.9739183458437415,0.9814607563175664,0.9814607563175664
tuning,budget_squared,recoverable_fraction,72,0.9348732592697226,0.9814607563175664,0.9814607563175664
tuning,delay_score,recoverable_fraction,72,-0.10697559803844539,-0.10067421760266786,0.10067421760266786
tuning,weighted_b0,recoverable_fraction,72,-0.06785853326675101,-0.0900338531405973,0.0900338531405973
tuning,mean_a_retention,recoverable_fraction,72,-0.12544705286750182,-0.0900338531405973,0.0900338531405973
tuning,p90_deficit,recoverable_fraction,72,-0.07344333242636795,-0.0900338531405973,0.0900338531405973
tuning,top_10pct_tmc_deficit_share,recoverable_fraction,72,0.012613792509582038,-0.05565729103236924,0.05565729103236924
