city,n_units,horizon,mean_b0,weighted_b0,max_b0,mean_a_retention,total_disturbance,total_budget,mean_period_budget,delay_R,delay_C,delay_S,q_row_sum_min,q_row_sum_max,pwl_enabled,mean_deficit,p90_deficit,severe_deficit_share_20pct,hourly_observations,max_lag_corr,mean_event_deficit_impact,median_event_recovery_hours,events_with_recovery_observed,od_rows,origin_zone_count,destination_zone_count,destination_volume_hhi,top10_destination_volume_share,congested_volume_share_speed_ratio_lt_0_8,volume_weighted_speed_kmph,tmc_deficit_gini,top_10pct_tmc_deficit_share,high_deficit_tmc_share_mean_gt_0_2,overall_data_support_score_0_5,functional_dependence_score_0_5,deficit_signal_score_0_5,baseline_loss_scale,disturbance_ratio,dependence_concentration_proxy
Chicago,35,12,0.3382666174515509,0.3408760438661845,0.3902447936924462,0.9207544239949614,0.8565163727974355,2.663849612430963,0.7458778914806697,2,0,1,1.0,1.0000000000000002,True,0.226559687006538,0.5333333333333333,0.4829293453950411,744.0,0.1041518625102553,0.0717601935364166,4.0,3.0,337138,882,882,0.0018846257749401,0.0577824339428413,0.382552756083854,45.7336399155774,0.2764497568447168,0.2006479886141348,0.5533858267716535,4.8,4.35,5.0,0.3138631254236899,2.512691602152226,1.942408208882941
New York,35,12,0.1651098388326784,0.1625164107325184,0.1880917742146668,0.9099921798282028,0.3326151671774802,1.3002399808073424,0.3640671946260559,2,0,1,0.9999999999999996,1.0000000000000002,True,0.0819105119643336,0.3014285714285714,0.1558918668785955,744.0,0.1406523297362777,0.0271498765654605,2.5,2.0,707640,1935,1940,0.0009493119432091,0.0337081622787335,0.7677892359554258,29.878563705656678,0.4293019740095902,0.3070006865577689,0.0707217998125195,4.39,4.59,4.57,0.14788866286033997,2.046655877263515,0.9830201054878336
Houston,35,12,0.0922266762425893,0.0926188415870923,0.1104775153399721,0.8793135077048005,0.1805028512969487,0.7262850754103907,0.2033598211149093,2,0,1,0.9999999999999998,1.0000000000000002,True,0.0382388918242158,0.1923529411764706,0.0671119048966328,717.0,0.0667491968361065,0.0163806322428219,1.0,3.0,99541,393,393,0.0038936719659154,0.0943214169955035,0.4069717006593613,44.74483709083314,0.4178275810393426,0.2945417888027484,0.0012401030239435,3.63,4.08,2.59,0.08144099847550139,1.9488783081703351,3.9879933829109033
Austin,35,12,0.1014136918960335,0.1004544868496215,0.1289405415843332,0.906916814977416,0.171371179719405,0.7986328236812643,0.2236171906307539,2,0,1,0.9999999999999998,1.0000000000000002,True,0.0567318929078411,0.2070982078853052,0.1021699622741738,744.0,0.1490196604731388,0.0177834194370646,3.0,3.0,38249,207,207,0.0068816044317246,0.1352355324039429,0.4185545535245554,44.37411923008718,0.5613203291033382,0.3989836255632581,0.0564285714285714,3.35,3.78,3.09,0.09110386326384945,1.7059584404223225,7.016839964128543
San Antonio,35,12,0.0935616689567344,0.0936665653316798,0.1124633007925099,0.9085531756322984,0.1752366093021511,0.7367981430342834,0.2063034800495993,2,0,1,1.0,1.0000000000000002,True,0.0444008480488947,0.1882267552182166,0.0778087932230982,744.0,0.2134986797638166,0.0160222107582939,3.0,3.0,78928,304,304,0.0047951886208659,0.1052488057398549,0.4358540163928716,43.52782636697573,0.5680850577363277,0.4114823689793596,0.0289719626168224,3.42,3.98,2.66,0.08510105538266784,1.8708555041131925,4.900437426605755
