city,budget_intensity,fast_minus_base,base_minus_slow,fast_minus_slow,relative_delay_penalty
Chicago,0.06,0.0018402274289587,0.0013932761729625997,0.0032335036019212997,0.19090106227301643
Chicago,0.12,0.0037324743427709015,0.0028325399923238015,0.006565014335094703,0.2048859667932992
Chicago,0.18,0.004740701487565904,0.004133374327229197,0.008874075814795102,0.1974406143402787
Chicago,0.24,0.005920999470097298,0.005679189991892104,0.011600189461989402,0.20171765898563676
Chicago,0.3,0.007247060415141296,0.007014226802421503,0.014261287217562799,0.20453550044532878
Chicago,0.5,0.011975633907294989,0.010690821222720609,0.022666455130015598,0.20921533643899093
Chicago,0.75,0.01608454527340042,0.015469063430929991,0.03155360870433041,0.20775594460408167
Chicago,1.0,0.019821237136593783,0.020561612909303695,0.04038285004589748,0.21009408851580239
Houston,0.06,0.0010907728778448977,0.0006586982229943028,0.0017494711008392005,0.09301191707006573
Houston,0.12,0.0019765673795425973,0.0018529267266221006,0.003829494106164698,0.10989161674858341
Houston,0.18,0.0029655694991988987,0.0033748637357485026,0.006340433234947401,0.1257374313619398
Houston,0.24,0.004108243401925407,0.0046571366250787935,0.0087653800270042,0.13425746353785445
Houston,0.3,0.005215502458179394,0.0061866456498329,0.011402148108012294,0.14326455951492775
Houston,0.5,0.008744062461542607,0.010582995876926904,0.01932705833846951,0.1561871577609376
Houston,0.75,0.012860957311812693,0.015341043904852192,0.028202001216664885,0.16241857757674158
Houston,1.0,0.016210005826016782,0.01988865653450711,0.03609866236052389,0.16461611803359577
New York,0.06,0.0005411176870609002,0.0004117471945821998,0.0009528648816431,0.06480973586767139
New York,0.12,0.0016103128581356,0.0012917582728870988,0.0029020711310226988,0.10777195848165852
New York,0.18,0.0027791741201858983,0.0022629308610978005,0.005042104981283699,0.130882181844823
New York,0.24,0.003931554097392001,0.0031224829492381007,0.007054037046630102,0.1416661836155012
New York,0.3,0.005094592186682997,0.003973634230134297,0.009068226416817295,0.14905316625814208
New York,0.5,0.008172783329335298,0.00701957166469791,0.015192354994033208,0.1586766827152704
New York,0.75,0.011014685767685994,0.010438512599798305,0.0214531983674843,0.1580045156807299
New York,1.0,0.014170918030285001,0.013854901803129593,0.028025819833414595,0.16100011622263402
