city,status,objective,runtime_seconds,n_units,horizon,initial_mean_b,final_weighted_b,final_weighted_ell,total_intervention_cost,total_budget,mean_period_budget,total_u_C,total_e_C,total_cost_C,cap_utilization_C,total_u_R,total_e_R,total_cost_R,cap_utilization_R,total_u_S,total_e_S,total_cost_S,cap_utilization_S,baseline_objective,recoverable_fraction,scenario,optimized_objective,budget_intensity,best_heuristic_policy,best_heuristic_objective,best_heuristic_recoverable_fraction,decision_leverage_fraction,relative_gain_over_best_heuristic,delay_score,log_budget,budget_squared,cost_share_R,cost_share_C,cost_share_S,n_units_city,horizon_city,mean_b0,weighted_b0,max_b0,mean_a_retention,total_disturbance,total_budget_city,mean_period_budget_city,delay_R,delay_C,delay_S,q_row_sum_min,q_row_sum_max,pwl_enabled,mean_deficit,p90_deficit,severe_deficit_share_20pct,hourly_observations,max_lag_corr,mean_event_deficit_impact,median_event_recovery_hours,events_with_recovery_observed,od_rows,origin_zone_count,destination_zone_count,destination_volume_hhi,top10_destination_volume_share,congested_volume_share_speed_ratio_lt_0_8,volume_weighted_speed_kmph,tmc_deficit_gini,top_10pct_tmc_deficit_share,high_deficit_tmc_share_mean_gt_0_2,overall_data_support_score_0_5,functional_dependence_score_0_5,deficit_signal_score_0_5,baseline_loss_scale,disturbance_ratio,dependence_concentration_proxy
Chicago,OPTIMAL,2.980987628663783,0.0399999618530273,35,12,0.3408760438661845,0.1365588070909557,0.1391511945869693,2.663849612430963,2.663849612430963,0.7458778914806697,0.7700178060926897,0.2475407534585038,0.7837789570343486,0.0127225200529849,0.9378762261564572,0.1932492075409269,1.3985627533693183,0.0066411167935235,0.6403484646839324,0.2504856049400985,0.4815079020272968,0.0226715894054981,3.105858167067098,0.0402048424900328,base,2.980987628663783,0.18,access_based,3.026622981578864,0.025511527322272,0.01469331516776089,0.5759480795543501,1.0,0.16551443847757338,0.0324,0.5250156566057138,0.2942279299014524,0.18075641349283403,35,12,0.3382666174515509,0.3408760438661845,0.3902447936924462,0.9207544239949614,0.8565163727974355,2.663849612430963,0.7458778914806697,2,0,1,1.0,1.0000000000000002,True,0.226559687006538,0.5333333333333333,0.4829293453950411,744.0,0.1041518625102553,0.0717601935364166,4.0,3.0,337138,882,882,0.0018846257749401,0.0577824339428413,0.382552756083854,45.7336399155774,0.2764497568447168,0.2006479886141348,0.5533858267716535,4.8,4.35,5.0,0.3138631254236899,2.512691602152226,1.942408208882941
Chicago,OPTIMAL,3.037728474022215,0.0410001277923584,35,12,0.3408760438661845,0.137729587785608,0.1410502915271011,1.3319248062154811,1.3319248062154816,0.3729389457403348,0.0715529611837537,0.0229646350441865,0.0726787552244057,0.0011822245879352,0.707362322877087,0.1461636564834084,1.0586328884624028,0.0050088440996276,0.2571963622162466,0.1035215357920392,0.2006131625286724,0.0091060580954662,3.105858167067098,0.0219358674414996,low_budget,3.037728474022215,0.09,access_based,3.066157313262027,0.0127825714084558,0.009153296033043882,0.7160762682685962,1.0,0.08617769624105233,0.0081,0.7948143044729323,0.054566710436840984,0.1506189850902265,35,12,0.3382666174515509,0.3408760438661845,0.3902447936924462,0.9207544239949614,0.8565163727974355,2.663849612430963,0.7458778914806697,2,0,1,1.0,1.0000000000000002,True,0.226559687006538,0.5333333333333333,0.4829293453950411,744.0,0.1041518625102553,0.0717601935364166,4.0,3.0,337138,882,882,0.0018846257749401,0.0577824339428413,0.382552756083854,45.7336399155774,0.2764497568447168,0.2006479886141348,0.5533858267716535,4.8,4.35,5.0,0.3138631254236899,2.512691602152226,1.942408208882941
Chicago,OPTIMAL,2.91180979726593,0.0429999828338623,35,12,0.3408760438661845,0.1323255139990971,0.1330622354310242,4.439749354051603,4.439749354051606,1.2431298191344495,0.8800203498202168,0.2829037182382901,0.895747379467827,0.014540022917697,1.8539461031304176,0.3808510742109836,2.7539212923158782,0.0131278224742343,1.0552306396903446,0.3834529110710904,0.7900806822678985,0.0373605265110912,3.105858167067098,0.0624781813473505,high_budget,2.91180979726593,0.3,access_based,2.9762788054423703,0.0417209526818448,0.020757228665505747,0.497525280014481,1.0,0.262364264467491,0.09,0.6202875596575558,0.20175629478956747,0.17795614555287695,35,12,0.3382666174515509,0.3408760438661845,0.3902447936924462,0.9207544239949614,0.8565163727974355,2.663849612430963,0.7458778914806697,2,0,1,1.0,1.0000000000000002,True,0.226559687006538,0.5333333333333333,0.4829293453950411,744.0,0.1041518625102553,0.0717601935364166,4.0,3.0,337138,882,882,0.0018846257749401,0.0577824339428413,0.382552756083854,45.7336399155774,0.2764497568447168,0.2006479886141348,0.5533858267716535,4.8,4.35,5.0,0.3138631254236899,2.512691602152226,1.942408208882941
Chicago,OPTIMAL,2.684102189014481,0.0450000762939453,35,12,0.3408760438661845,0.122381042777187,0.1192136991840764,11.099373385129017,11.099373385129011,3.107824547836124,3.060290472667765,0.9663126704560504,3.044183270304337,0.0505632552889142,4.257415465750305,0.8322399935920994,6.226694129029106,0.0301468280761009,2.4862714274595272,0.9140535990936056,1.828495985795571,0.0880266418407147,3.105858167067098,0.1357937018904138,very_high_budget,2.684102189014481,0.75,damage_based,2.8079466819039016,0.0959192175361046,0.0398744843543092,0.41570902451638736,1.0,0.5596157879354227,0.5625,0.5609951042255822,0.2742662278920128,0.16473866788240468,35,12,0.3382666174515509,0.3408760438661845,0.3902447936924462,0.9207544239949614,0.8565163727974355,2.663849612430963,0.7458778914806697,2,0,1,1.0,1.0000000000000002,True,0.226559687006538,0.5333333333333333,0.4829293453950411,744.0,0.1041518625102553,0.0717601935364166,4.0,3.0,337138,882,882,0.0018846257749401,0.0577824339428413,0.382552756083854,45.7336399155774,0.2764497568447168,0.2006479886141348,0.5533858267716535,4.8,4.35,5.0,0.3138631254236899,2.512691602152226,1.942408208882941
Chicago,OPTIMAL,2.9938253030755537,0.0379998683929443,35,12,0.3408760438661845,0.136611271331045,0.1376490792331311,2.663849612430964,2.663849612430963,0.7458778914806697,0.7700178060926897,0.2475407534585038,0.7837789570343486,0.0127225200529849,0.7516749409461817,0.155336368423711,1.1251018155660448,0.005322622468048,1.0073366268818835,0.3604239333169413,0.7549688398305705,0.0356648350973372,3.105858167067098,0.0360714681628036,delayed_response,2.9938253030755537,0.18,exposure_based,3.029394188875744,0.0246192756005854,0.011452192562218091,0.46517179254233537,2.0,0.16551443847757338,0.0324,0.42235935929555135,0.2942279299014523,0.28341271080299624,35,12,0.3382666174515509,0.3408760438661845,0.3902447936924462,0.9207544239949614,0.8565163727974355,2.663849612430963,0.7458778914806697,2,0,1,1.0,1.0000000000000002,True,0.226559687006538,0.5333333333333333,0.4829293453950411,744.0,0.1041518625102553,0.0717601935364166,4.0,3.0,337138,882,882,0.0018846257749401,0.0577824339428413,0.382552756083854,45.7336399155774,0.2764497568447168,0.2006479886141348,0.5533858267716535,4.8,4.35,5.0,0.3138631254236899,2.512691602152226,1.942408208882941
Chicago,OPTIMAL,2.966263682231,0.0420000553131103,35,12,0.3408760438661845,0.132794725661222,0.1366653558280314,2.663849612430964,2.663849612430963,0.7458778914806697,0.1097780750766627,0.0352328315737304,0.1115052922409975,0.001813794110331,1.5609326759307929,0.3220623132889957,2.3316698414084267,0.0110529896361337,0.2829159984378713,0.1138736893712431,0.2206744787815396,0.0100166639050128,3.105858167067098,0.0449455439775987,fast_response,2.966263682231,0.18,access_based,3.0227360097423714,0.0267630242121519,0.018182519765446728,0.6793895794926963,0.0,0.16551443847757338,0.0324,0.8753008542702986,0.041858703930076784,0.0828404417996245,35,12,0.3382666174515509,0.3408760438661845,0.3902447936924462,0.9207544239949614,0.8565163727974355,2.663849612430963,0.7458778914806697,2,0,1,1.0,1.0000000000000002,True,0.226559687006538,0.5333333333333333,0.4829293453950411,744.0,0.1041518625102553,0.0717601935364166,4.0,3.0,337138,882,882,0.0018846257749401,0.0577824339428413,0.382552756083854,45.7336399155774,0.2764497568447168,0.2006479886141348,0.5533858267716535,4.8,4.35,5.0,0.3138631254236899,2.512691602152226,1.942408208882941
New York,OPTIMAL,1.338098481640107,0.0419998168945312,35,12,0.1625164107325184,0.0544343475023278,0.0562926803549639,1.3002399808073424,1.3002399808073424,0.3640671946260559,0.1554093497248913,0.0496880635548634,0.1570857033952516,0.0053642753913758,0.3681199127460324,0.0758252168025327,0.5487020437866786,0.0054456089009388,0.8477068271896384,0.3034763506788915,0.5944522336254122,0.0627007624919675,1.3877016328423497,0.035744824412034,base,1.338098481640107,0.18,access_based,1.351001754767541,0.0264465193426618,0.009298305069372209,0.35158899168907987,1.0,0.16551443847757338,0.0324,0.42200059364885834,0.12081285432994782,0.4571865520211939,35,12,0.1651098388326784,0.1625164107325184,0.1880917742146668,0.9099921798282028,0.3326151671774802,1.3002399808073424,0.3640671946260559,2,0,1,0.9999999999999996,1.0000000000000002,True,0.0819105119643336,0.3014285714285714,0.1558918668785955,744.0,0.1406523297362777,0.0271498765654605,2.5,2.0,707640,1935,1940,0.0009493119432091,0.0337081622787335,0.7677892359554258,29.878563705656678,0.4293019740095902,0.3070006865577689,0.0707217998125195,4.39,4.59,4.57,0.14788866286033997,2.046655877263515,0.9830201054878336
New York,OPTIMAL,1.3600983829224866,0.0409998893737793,35,12,0.1625164107325184,0.055241754879976,0.0577895659173856,0.6501199904036712,0.6501199904036712,0.1820335973130279,0.0,0.0,0.0,0.0,0.1170310033878181,0.0240541674986806,0.1739608550576745,0.0017312431402595,0.6816925099510104,0.2519431300489043,0.4761591353459966,0.0504214886421218,1.3877016328423497,0.0198913435471895,low_budget,1.3600983829224866,0.09,exposure_based,1.3692187493794266,0.0133190615514847,0.006572281995704796,0.4934493297669438,1.0,0.08617769624105233,0.0081,0.2675826887735894,0.0,0.7324173112264104,35,12,0.1651098388326784,0.1625164107325184,0.1880917742146668,0.9099921798282028,0.3326151671774802,1.3002399808073424,0.3640671946260559,2,0,1,0.9999999999999996,1.0000000000000002,True,0.0819105119643336,0.3014285714285714,0.1558918668785955,744.0,0.1406523297362777,0.0271498765654605,2.5,2.0,707640,1935,1940,0.0009493119432091,0.0337081622787335,0.7677892359554258,29.878563705656678,0.4293019740095902,0.3070006865577689,0.0707217998125195,4.39,4.59,4.57,0.14788866286033997,2.046655877263515,0.9830201054878336
New York,OPTIMAL,1.3103452055277778,0.0390000343322753,35,12,0.1625164107325184,0.0536228980092634,0.0547670456811962,2.167066634678904,2.1670666346789043,0.6067786577100931,0.3677201863660687,0.1170210192992724,0.3694691205504785,0.0126926233854495,0.7516876967785545,0.1541188203291459,1.1138229071676942,0.0111197386247551,0.9767903137160184,0.3472552377088019,0.6837746069607309,0.0722484419145316,1.3877016328423497,0.0557442792339497,high_budget,1.3103452055277778,0.3,access_based,1.3282976980803676,0.0428074258587621,0.012936853375187527,0.3022104953909423,1.0,0.262364264467491,0.09,0.5139772304845303,0.17049273641981158,0.3155300330956581,35,12,0.1651098388326784,0.1625164107325184,0.1880917742146668,0.9099921798282028,0.3326151671774802,1.3002399808073424,0.3640671946260559,2,0,1,0.9999999999999996,1.0000000000000002,True,0.0819105119643336,0.3014285714285714,0.1558918668785955,744.0,0.1406523297362777,0.0271498765654605,2.5,2.0,707640,1935,1940,0.0009493119432091,0.0337081622787335,0.7677892359554258,29.878563705656678,0.4293019740095902,0.3070006865577689,0.0707217998125195,4.39,4.59,4.57,0.14788866286033997,2.046655877263515,0.9830201054878336
New York,OPTIMAL,1.2145703532038326,0.0439999103546142,35,12,0.1625164107325184,0.0509181344905149,0.0499172982257338,5.417666586697255,5.41766658669726,1.516946644275233,1.8281965801901776,0.5713307839793166,1.7945403326719216,0.0631039891941648,1.884496376851426,0.3802726745787615,2.735836459448587,0.0278774113766813,1.2647562488468276,0.4528468753182409,0.8872897945767468,0.0935478854547863,1.3877016328423497,0.124761170226414,very_high_budget,1.2145703532038326,0.75,damage_based,1.2468852026892183,0.1014745726462142,0.02328659758019965,0.22948209559243138,1.0,0.5596157879354227,0.5625,0.5049842797942318,0.3312386068715089,0.16377711333425946,35,12,0.1651098388326784,0.1625164107325184,0.1880917742146668,0.9099921798282028,0.3326151671774802,1.3002399808073424,0.3640671946260559,2,0,1,0.9999999999999996,1.0000000000000002,True,0.0819105119643336,0.3014285714285714,0.1558918668785955,744.0,0.1406523297362777,0.0271498765654605,2.5,2.0,707640,1935,1940,0.0009493119432091,0.0337081622787335,0.7677892359554258,29.878563705656678,0.4293019740095902,0.3070006865577689,0.0707217998125195,4.39,4.59,4.57,0.14788866286033997,2.046655877263515,0.9830201054878336
