city,event_id,event_start,policy_scenario,budget_scale,delay_add_hours,baseline_objective,optimized_objective,lp_recoverable_fraction,static_replay_gain,static_replay_recoverable_fraction,static_fraction_of_base_lp_gain,static_selected_action_count,static_allocated_cost,event_peak_positive_abnormal_deficit,event_total_precip,residual_replay_gain,residual_replay_recoverable_fraction,residual_fraction_of_base_lp_gain,residual_selected_action_count,residual_allocated_cost,residual_value_proxy,residual_minus_static_fraction_of_base_lp_gain,residual_minus_static_recoverable_fraction,residual_relative_to_static_gain
Austin,478,2024-07-06 17:00:00,low_budget,0.5,0,0.1342685328,0.1197952744,0.1077933755,0.007480098288,0.05570998753,0.5168219964,182,0.7295715764,0.02623511767,1.27165423,0.008390926348,0.06249361763,0.5797537867,215,0.7295715764,0.06263204528,0.06293179026,0.006783630103,1.121766857
Austin,479,2024-07-12 13:00:00,low_budget,0.5,0,0.1559423619,0.135740448,0.1295473124,0.01071140514,0.06868823204,0.5302173452,182,1.013258718,0.02521753832,0.01574804,0.01174249198,0.07530020601,0.5812564123,211,1.013258718,0.07570500379,0.05103906715,0.006611973973,1.096260651
Austin,480,2024-07-12 15:00:00,low_budget,0.5,0,0.1171135872,0.1024962322,0.1248134854,0.008059845217,0.06882075267,0.5513887577,182,0.726455456,0.0164342092,0.05118113,0.00845178563,0.07216742168,0.5782021184,203,0.726455456,0.07296219928,0.02681336071,0.003346669009,1.048628777
Austin,481,2024-07-13 14:00:00,low_budget,0.5,0,0.04695458667,0.0404420913,0.1386977466,0.003326613761,0.07084747193,0.5108047798,132,0.3121949667,0.005791424598,0.02755907,0.003728053109,0.07939699556,0.5724461823,170,0.3121949667,0.07952366969,0.06164140251,0.008549523628,1.12067507
Austin,482,2024-07-18 08:00:00,low_budget,0.5,0,0.1898500668,0.1689173774,0.110259057,0.01075165905,0.0566323691,0.5136300876,182,1.058700359,0.04297045833,0.513779805,0.01219073818,0.06421245137,0.5823780208,219,1.058700359,0.06422957416,0.06874793316,0.007580082273,1.133847169
Austin,483,2024-07-21 17:00:00,low_budget,0.5,0,0.09318860247,0.08304424524,0.108858347,0.005183990781,0.05562902161,0.5110221047,182,0.5145277718,0.02164519741,0.29133874,0.00589367121,0.0632445498,0.5809802511,219,0.5145277718,0.06347743454,0.06995814643,0.007615528191,1.136898474
Austin,484,2024-07-22 14:00:00,low_budget,0.5,0,0.1084480967,0.09424006269,0.1310122947,0.007646815326,0.0705112912,0.5382036196,182,0.7148098493,0.01704210899,0.005905515,0.008216580382,0.07576509531,0.5783052309,210,0.7148098493,0.0758894202,0.04010161129,0.005253804111,1.074510111
Austin,485,2024-07-22 23:00:00,low_budget,0.5,0,0.1053035213,0.08601671448,0.1831544337,0.008282960465,0.07865796284,0.4294625101,182,1.063863006,0.03052262292,0.3543309,0.01102630545,0.1047097506,0.5717019699,251,1.063863006,0.1101361726,0.1422394598,0.02605178772,1.331203438
Austin,486,2024-07-23 03:00:00,low_budget,0.5,0,0.1806597614,0.1547181633,0.1435936695,0.01144878577,0.06337208508,0.4413292403,182,1.441635112,0.03052262292,0.005905515,0.01448681664,0.08018839684,0.558439638,250,1.441635112,0.08705609563,0.1171103977,0.01681631176,1.265358347
Austin,487,2024-07-23 11:00:00,low_budget,0.5,0,0.2254069291,0.2005184667,0.1104156935,0.01322215026,0.0586590231,0.5312562123,182,1.239681507,0.03052262292,0.490157745,0.01446106891,0.06415538764,0.5810350468,210,1.239681507,0.06424229044,0.04977883452,0.005496364543,1.09370024
Austin,488,2024-07-23 15:00:00,low_budget,0.5,0,0.08044947701,0.07111970567,0.1159705655,0.004757666705,0.05913856599,0.5099446203,182,0.4763736917,0.01805766215,0.084645715,0.005422512841,0.0674027109,0.581205331,225,0.4763736917,0.06784201507,0.07126071067,0.008264144911,1.139742058
Austin,489,2024-07-23 19:00:00,low_budget,0.5,0,0.03867617163,0.03375246942,0.1273058319,0.002316931651,0.0599059202,0.4705669748,89,0.2220496831,0.002355466562,0.12598432,0.002776428184,0.07178653076,0.5638903551,112,0.2220496831,0.07191616071,0.09332338028,0.01188061056,1.198321143
Austin,490,2024-07-25 21:00:00,low_budget,0.5,0,0.06749221661,0.05583143395,0.172772258,0.005990609471,0.08876000481,0.513739913,182,0.6024345179,0.01358562402,0.005905515,0.006727020978,0.09967106305,0.57689275,224,0.6024345179,0.1003861919,0.06315283695,0.01091105824,1.122927644
Austin,491,2024-07-27 07:00:00,low_budget,0.5,0,0.02247193429,0.01924756525,0.143484268,0.001275297189,0.05675066384,0.3955183702,59,0.1392813099,0.002076205508,0.005905515,0.001796675278,0.07995196386,0.5572176307,81,0.1392813099,0.08087462297,0.1616992605,0.02320130002,1.408828698
Austin,492,2024-07-28 09:00:00,low_budget,0.5,0,0.1299120167,0.1145169576,0.1185037345,0.008695659656,0.0669349909,0.5648344434,182,0.7585080507,0.01758517343,0.076771695,0.008952049363,0.06890855512,0.5814884689,195,0.7585080507,0.06926190343,0.0166540255,0.001973564217,1.029484791
Chicago,145,2019-07-02 20:00:00,low_budget,0.5,0,0.1258245198,0.1109568609,0.1181618565,0.007754665561,0.061630798,0.5215794657,431,2.461535902,0.02501185643,1.16141795,0.008884019701,0.07060642645,0.5975399213,565,2.461535902,0.07080352249,0.07596045558,0.008975628452,1.145635441
