policy_scenario,budget_scale,delay_add_hours,n_events,mean_static_fraction_of_base_lp_gain,mean_residual_fraction_of_base_lp_gain,median_residual_fraction_of_base_lp_gain,mean_residual_minus_static,median_residual_minus_static,positive_improvement_share,mean_static_recoverable_fraction,mean_residual_recoverable_fraction,mean_residual_selected_actions,mean_residual_allocated_cost
low_budget,0.5,0,105,0.4958764943,0.571081886,0.5784976269,0.07520539168,0.05455777884,0.9047619048,0.06512705255,0.07694809057,377.1428571,3.072812005
base,1,0,105,0.8228030683,0.9660102597,0.9893561014,0.1432071913,0.1110135765,0.9142857143,0.1073090964,0.1294152698,837.2,6.145624009
high_budget,2,0,105,1.329340579,1.591643911,1.614690043,0.2623033318,0.2205673316,0.9238095238,0.1722116444,0.212085127,1804.885714,12.29124802
delay_2h,1,2,105,0.7560498873,0.8780115339,0.883677403,0.1219616465,0.09587188873,0.8857142857,0.09958788711,0.1184575748,936.8190476,6.145624009
delay_4h,1,4,105,0.6804386034,0.7734043806,0.7774530646,0.09296577715,0.07182058409,0.8476190476,0.09072369763,0.1051296181,1028.87619,6.145624009
scarce_and_late,0.5,2,105,0.4574664705,0.5222431058,0.5298931731,0.06477663526,0.04942448094,0.8476190476,0.06064219063,0.07085323466,427.3238095,3.072812005
