city,event_id,event_start,baseline_objective,recoverable_fraction,top_1pct_value_share,top_5pct_value_share,top_10pct_value_share,marginal_value_gini,optimizer_selected_value_share,loss_magnitude_rank,recoverable_rank,top_tail_rank,decision_criticality_score,decision_criticality_rank,event_peak_positive_abnormal_deficit,event_total_precip
New York,107,2019-06-16 03:00:00,0.3743013216,0.1341549552,0.07731368758,0.2331397354,0.3601014042,0.5566747017,0.1390962473,0.8571428571,0.5333333333,0.4857142857,0.01741103156,0.3428571429,0.02734209638,0.03412075333
Austin,489,2024-07-23 19:00:00,0.03867617163,0.1273058319,0.06888785253,0.2302225505,0.3730063846,0.5926351805,0.1593923836,0.2095238095,0.3904761905,0.4380952381,0.0173693509,0.3333333333,0.002355466562,0.12598432
Philadelphia,648,2023-07-16 04:00:00,0.08146607583,0.1693919213,0.05909015449,0.1943361557,0.3203464197,0.527264984,0.2071052571,0.4476190476,0.8761904762,0.1619047619,0.01735702271,0.3238095238,0.01069273532,0.50787429
New York,123,2019-06-30 15:00:00,0.2729615004,0.1165328165,0.08335342554,0.249860614,0.383598571,0.5899760959,0.1310495196,0.7714285714,0.2095238095,0.5619047619,0.01717831102,0.3142857143,0.02021357153,0.04724412
New York,122,2019-06-29 18:00:00,0.4169878714,0.10857205,0.08737849839,0.2588650523,0.3954501994,0.6032363853,0.1343668627,0.8761904762,0.1333333333,0.6476190476,0.01695426591,0.3047619048,0.03686080824,0.04986879333
New York,105,2019-06-13 08:00:00,0.2561590109,0.09878326619,0.09392903384,0.2722782135,0.4131325013,0.6201939011,0.1418949607,0.7619047619,0.1142857143,0.7142857143,0.01668106464,0.2952380952,0.03122607429,0.4317587633
New York,121,2019-06-25 07:00:00,0.5339519264,0.1237967923,0.07947633895,0.2378257009,0.3660136946,0.5644479734,0.1378255155,0.9238095238,0.3142857143,0.5047619048,0.01661851047,0.2857142857,0.04783041442,0.4973755967
New York,110,2019-06-18 13:00:00,0.672594944,0.114527596,0.08228514073,0.2460781476,0.3775908623,0.58198488,0.1319724389,0.980952381,0.1904761905,0.5238095238,0.01640192778,0.2761904762,0.06813897394,0.80708705
San Antonio,505,2024-07-25 17:00:00,0.06805121557,0.1487430447,0.06224772624,0.204157072,0.3328561315,0.5399148602,0.2204088384,0.380952381,0.7714285714,0.2285714286,0.01639556459,0.2666666667,0.009153059049,0.00393701
Philadelphia,654,2023-07-20 18:00:00,0.06758702171,0.1946529106,0.05469623375,0.175501151,0.2896523105,0.4753724886,0.2597486,0.3714285714,0.9619047619,0.02857142857,0.01623958457,0.2571428571,0.01436661912,0.12992133
Austin,481,2024-07-13 14:00:00,0.04695458667,0.1386977466,0.06312761887,0.2115974,0.3436349201,0.5469570834,0.1916589732,0.2476190476,0.6,0.2857142857,0.01605214165,0.2476190476,0.005791424598,0.02755907
New York,119,2019-06-20 21:00:00,0.01783321113,0.1276266689,0.06979496234,0.225822557,0.3551047659,0.5485857647,0.09288493248,0.07619047619,0.4,0.380952381,0.01581077975,0.2380952381,0.009006987358,0.03805776333
