city,event_id,event_start,perturbation_id,unit,t,intervention,perturbed_u,perturbed_e,perturbed_cost
San Antonio,506,2024-07-27 11:00:00,0,170,5,C,0.000100808744,2.984980337e-05,9.084769566e-05
San Antonio,506,2024-07-27 11:00:00,0,170,6,C,7.265482462e-05,2.161623682e-05,6.694810646e-05
San Antonio,506,2024-07-27 11:00:00,0,170,7,C,5.338245693e-05,1.565376121e-05,4.807052448e-05
San Antonio,506,2024-07-27 11:00:00,0,170,8,C,3.787262192e-05,1.133593429e-05,3.423588235e-05
San Antonio,506,2024-07-27 11:00:00,0,171,2,C,0.002502065089,0.0007253649734,0.002340855984
San Antonio,506,2024-07-27 11:00:00,0,171,5,C,0.0002417612137,7.222368122e-05,0.0002361789824
San Antonio,506,2024-07-27 11:00:00,0,172,2,C,0.002665863159,0.0007033986935,0.002102770303
San Antonio,506,2024-07-27 11:00:00,0,176,1,S,0.001420219944,0.0005074189206,0.0008353847219
San Antonio,506,2024-07-27 11:00:00,0,176,3,S,0.0006609783473,0.0002423645769,0.0003791125713
San Antonio,506,2024-07-27 11:00:00,0,176,4,S,0.0002437309925,8.994923063e-05,0.0001526315052
San Antonio,506,2024-07-27 11:00:00,0,176,7,S,0.0001841738357,6.671662563e-05,0.000108358491
San Antonio,506,2024-07-27 11:00:00,0,212,1,S,0.001412874066,0.0004807145815,0.0008059678446
San Antonio,506,2024-07-27 11:00:00,0,212,3,S,0.0007193205184,0.0002515328842,0.0003997252582
San Antonio,506,2024-07-27 11:00:00,0,212,4,S,0.000258938306,9.116423579e-05,0.0001576239972
San Antonio,506,2024-07-27 11:00:00,0,212,7,S,0.0001988530236,6.865019131e-05,0.0001134630733
San Antonio,506,2024-07-27 11:00:00,0,212,8,S,6.890191756e-05,2.44317114e-05,4.194080502e-05
San Antonio,506,2024-07-27 11:00:00,0,213,0,C,0.002826425421,0.0009255185539,0.002279509548
San Antonio,506,2024-07-27 11:00:00,0,213,1,C,0.001286599594,0.0004021530458,0.001021380249
San Antonio,506,2024-07-27 11:00:00,0,213,2,C,0.0002275254497,7.067771053e-05,0.0001700695286
San Antonio,506,2024-07-27 11:00:00,0,213,3,C,0.0001720957916,5.091723713e-05,0.000145731661
San Antonio,506,2024-07-27 11:00:00,0,213,4,C,0.0001155895225,3.668150847e-05,9.413879862e-05
San Antonio,506,2024-07-27 11:00:00,0,213,5,C,8.272023907e-05,2.64258852e-05,6.524654309e-05
San Antonio,506,2024-07-27 11:00:00,0,213,6,C,5.933477863e-05,1.9037587e-05,4.79737926e-05
