city,event_id,unit,t,intervention,selected_count,mean_perturbed_cost,total_perturbed_cost,n_successful_perturbations,selection_frequency,selected_by_base_lp,selected_by_static_small_signal_greedy,selected_by_residual_finite_greedy
Chicago,159,47,2,R,3,0.0158815088,0.0476445264,3,1,True,True,True
Philadelphia,656,101,2,C,3,0.01571939782,0.04715819345,3,1,True,True,True
Philadelphia,656,550,2,C,3,0.01570516529,0.04711549588,3,1,True,True,True
Chicago,159,700,4,R,3,0.01565339148,0.04696017443,3,1,True,True,False
Chicago,159,691,2,R,3,0.01487189154,0.04461567461,3,1,True,False,True
Philadelphia,656,113,1,C,3,0.01482588206,0.04447764619,3,1,True,True,True
Philadelphia,656,546,1,C,3,0.01469681309,0.04409043926,3,1,True,True,True
Philadelphia,656,267,3,R,3,0.01448112766,0.04344338299,3,1,True,True,False
Philadelphia,656,113,0,C,3,0.01447982926,0.04343948779,3,1,True,True,True
Philadelphia,656,113,3,C,3,0.01443933686,0.04331801058,3,1,True,True,True
Philadelphia,656,234,1,C,3,0.01437944973,0.04313834919,3,1,True,True,True
Philadelphia,656,546,0,C,3,0.01432240296,0.04296720888,3,1,True,True,True
Philadelphia,656,546,3,C,3,0.01428031782,0.04284095346,3,1,True,True,True
Philadelphia,656,48,1,C,3,0.0142185339,0.0426556017,3,1,True,True,True
Philadelphia,656,113,2,C,3,0.01420020351,0.04260061054,3,1,True,True,True
Philadelphia,656,319,1,C,3,0.01413994217,0.04241982652,3,1,True,True,True
Philadelphia,656,489,0,C,3,0.01406932869,0.04220798606,3,1,True,True,True
Philadelphia,656,546,2,C,3,0.01403177832,0.04209533496,3,1,True,True,True
Philadelphia,656,234,0,C,3,0.01403129537,0.04209388611,3,1,True,True,True
Philadelphia,656,234,3,C,3,0.01399055706,0.04197167118,3,1,True,True,True
Philadelphia,656,48,0,C,3,0.01386272308,0.04158816923,3,1,True,True,True
Philadelphia,656,248,0,C,3,0.01383986356,0.04151959067,3,1,True,True,True
Philadelphia,656,48,3,C,3,0.01382108887,0.0414632666,3,1,True,True,True
Philadelphia,656,101,3,R,3,0.01381931851,0.04145795552,3,1,True,True,False
Philadelphia,656,319,0,C,3,0.01379619947,0.04138859841,3,1,True,True,True
Philadelphia,656,489,2,C,3,0.01379575284,0.04138725852,3,1,True,True,True
Philadelphia,656,319,3,C,3,0.01375597737,0.04126793212,3,1,True,True,True
Philadelphia,656,234,2,C,3,0.01374997146,0.04124991438,3,1,True,True,True
Philadelphia,656,281,0,C,3,0.01361374451,0.04084123353,3,1,True,True,True
Philadelphia,656,48,2,C,3,0.01357521241,0.04072563723,3,1,True,True,True
Philadelphia,656,248,2,C,3,0.01356686952,0.04070060855,3,1,True,True,True
Philadelphia,656,301,0,C,3,0.01354887516,0.04064662549,3,1,True,True,True
Philadelphia,656,319,2,C,3,0.01351844037,0.0405553211,3,1,True,True,True
Philadelphia,656,48,4,C,3,0.01347153109,0.04041459328,3,1,True,True,True
Philadelphia,656,101,4,C,3,0.01343150159,0.04029450476,3,1,True,True,True
Philadelphia,656,413,4,C,3,0.01343063028,0.04029189085,3,1,True,True,True
Philadelphia,656,281,2,C,3,0.01341442153,0.04024326459,3,1,True,True,True
Philadelphia,656,350,3,C,3,0.01330886126,0.03992658379,3,1,True,True,True
Philadelphia,656,301,2,C,3,0.0132784759,0.03983542771,3,1,True,True,True
Philadelphia,656,550,1,C,3,0.01313059779,0.03939179337,3,1,True,True,True
Philadelphia,656,319,4,C,3,0.0130495411,0.03914862329,3,1,True,True,True
Chicago,159,411,0,C,3,0.01303706947,0.03911120841,3,1,True,True,True
Philadelphia,656,550,3,C,3,0.0130334522,0.03910035659,3,1,True,True,True
Philadelphia,656,343,0,C,3,0.01300395623,0.03901186868,3,1,True,True,True
Chicago,159,793,3,R,3,0.01296392807,0.03889178421,3,1,True,True,True
Philadelphia,656,350,4,C,3,0.01248863757,0.0374659127,3,1,True,True,True
Chicago,159,849,2,C,3,0.01236685883,0.03710057649,3,1,True,True,True
Philadelphia,656,493,1,C,3,0.01228704176,0.03686112528,3,1,True,True,True
Philadelphia,656,86,4,C,3,0.01225981776,0.03677945328,3,1,True,True,True
Chicago,159,700,2,C,3,0.01222142393,0.03666427178,3,1,True,True,True
Chicago,159,849,0,C,3,0.0121343299,0.03640298971,3,1,True,True,True
Chicago,159,849,3,C,3,0.0121212676,0.03636380281,3,1,True,True,True
Philadelphia,656,489,1,C,3,0.01202663584,0.03607990753,3,1,True,True,True
Chicago,159,463,2,C,3,0.01200104243,0.03600312728,3,1,True,True,True
Philadelphia,656,113,4,C,3,0.01198304378,0.03594913134,3,1,True,True,True
Chicago,159,700,3,C,3,0.01192330138,0.03576990415,3,1,True,True,True
Chicago,159,700,0,C,3,0.01185975602,0.03557926807,3,1,True,True,True
Philadelphia,656,314,4,C,3,0.01184562962,0.03553688885,3,1,True,True,True
Chicago,159,849,1,C,3,0.01182443899,0.03547331697,3,1,True,True,True
Philadelphia,656,489,3,C,3,0.0118065323,0.03541959691,3,1,True,True,True
Chicago,159,463,0,C,3,0.01177664312,0.03532992935,3,1,True,True,True
Philadelphia,656,583,0,C,3,0.01177467411,0.03532402234,3,1,True,True,True
Chicago,159,463,3,C,3,0.01176403749,0.03529211247,3,1,True,True,True
Philadelphia,656,493,0,C,3,0.01174931632,0.03524794895,3,1,True,True,True
Chicago,159,411,2,C,3,0.01173565909,0.03520697726,3,1,True,True,True
Philadelphia,656,493,3,C,3,0.01173351036,0.03520053108,3,1,True,True,True
Chicago,159,700,1,C,3,0.01170905315,0.03512715946,3,1,True,True,True
Philadelphia,656,546,4,C,3,0.01167284266,0.03501852797,3,1,True,True,True
Philadelphia,656,248,1,C,3,0.01163995379,0.03491986136,3,1,True,True,True
Chicago,159,719,2,C,3,0.01160277673,0.03480833019,3,1,True,True,True
Philadelphia,656,493,2,C,3,0.011551143,0.034653429,3,1,True,True,True
Philadelphia,656,234,4,C,3,0.01149331488,0.03447994465,3,1,True,True,True
Chicago,159,411,3,C,3,0.01149198526,0.03447595579,3,1,True,True,True
Philadelphia,656,248,3,C,3,0.01148565174,0.03445695522,3,1,True,True,True
Chicago,159,463,1,C,3,0.01147758652,0.03443275957,3,1,True,True,True
Philadelphia,656,301,1,C,3,0.01142520292,0.03427560875,3,1,True,True,True
Chicago,159,173,2,C,3,0.01140556607,0.03421669821,3,1,True,True,True
Chicago,159,719,0,C,3,0.01137207627,0.03411622881,3,1,True,True,True
Chicago,159,719,3,C,3,0.01135911668,0.03407735004,3,1,True,True,True
Philadelphia,656,267,4,C,3,0.01131693026,0.03395079077,3,1,True,True,True
Philadelphia,656,281,1,C,3,0.01125186078,0.03375558234,3,1,True,True,True
Chicago,159,47,3,R,3,0.01120386703,0.03361160108,3,1,True,True,True
Philadelphia,656,301,3,C,3,0.01120001691,0.03360005074,3,1,True,True,True
Chicago,159,411,1,C,3,0.01119747408,0.03359242224,3,1,True,True,True
Chicago,159,173,0,C,3,0.0111882411,0.0335647233,3,1,True,True,True
Chicago,159,173,3,C,3,0.01117603288,0.03352809863,3,1,True,True,True
Philadelphia,656,59,0,C,3,0.01113934119,0.03341802358,3,1,True,True,True
Philadelphia,656,343,2,C,3,0.01112189039,0.03336567116,3,1,True,True,True
Philadelphia,656,426,1,C,3,0.01106698465,0.03320095396,3,1,True,True,True
Chicago,159,719,1,C,3,0.01106462214,0.03319386641,3,1,True,True,True
Philadelphia,656,426,0,C,3,0.01104324626,0.03312973879,3,1,True,True,True
Philadelphia,656,321,0,C,3,0.01091244723,0.03273734168,3,1,True,True,True
Chicago,159,173,1,C,3,0.01089861247,0.0326958374,3,1,True,True,True
Philadelphia,656,596,0,C,3,0.01089528602,0.03268585806,3,1,True,True,True
Philadelphia,656,596,1,C,3,0.01087603808,0.03262811423,3,1,True,True,True
Chicago,159,209,2,C,3,0.01086513639,0.03259540917,3,1,True,True,True
Philadelphia,656,321,3,C,3,0.01072791553,0.03218374658,3,1,True,True,True
Philadelphia,656,321,2,C,3,0.01072196681,0.03216590044,3,1,True,True,True
Philadelphia,656,426,2,C,3,0.01067034557,0.03201103672,3,1,True,True,True
Chicago,159,209,0,C,3,0.01065710912,0.03197132735,3,1,True,True,True
Chicago,159,209,3,C,3,0.01064542319,0.03193626958,3,1,True,True,True
Philadelphia,656,343,3,C,3,0.01059819475,0.03179458424,3,1,True,True,True
Chicago,159,31,0,C,3,0.0105139775,0.03154193251,3,1,True,True,True
Chicago,159,396,2,C,3,0.0104470706,0.03134121179,3,1,True,True,True
Chicago,159,257,2,C,3,0.01040296669,0.03120890007,3,1,True,True,True
Chicago,159,209,1,C,3,0.01037987151,0.03113961454,3,1,True,True,True
Chicago,159,31,1,C,3,0.01024599075,0.03073797224,3,1,True,True,True
Chicago,159,396,0,C,3,0.01024376854,0.03073130561,3,1,True,True,True
Chicago,159,396,3,C,3,0.01023234805,0.03069704416,3,1,True,True,True
