model_id,family,description,train_mode,train_parameter_scenario,test_parameter_scenario,heldout_city,n_features,n_tokens,n_events,pearson,spearman,mae,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,base,Dallas,7,12000,10,0.6437339268,0.8101497982,0.01405996823,0.8773806775,0.9101644164,0.5,0.1226193225,0.9253228356,0.9264897263,0.4166666667,0.07467716444,0.9586133835,0.9506190125,0.6833333333,0.04138661646
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,base,Houston,7,4800,4,0.5604668225,0.7835209508,0.01716850621,0.9952346712,0.9968091,0.9166666667,0.004765328756,0.987096242,0.9890838149,0.9,0.01290375802,0.9916667285,0.9917674301,0.9,0.008333271508
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,base,New York,7,50454,24,0.539591205,0.6856066608,0.01099334378,0.9332308052,0.9212425285,0.4245184575,0.06676919476,0.9459123512,0.9382932546,0.7137851367,0.0540876488,0.9531322913,0.9463075923,0.6974966868,0.04686770867
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,base,Philadelphia,7,33719,20,-0.004391259801,0.2782146478,0.0740807306,0.9974200935,0.9975600899,0.9316039845,0.002579906469,0.9857878942,0.988839171,0.8782597595,0.0142121058,0.9845661134,0.9869139685,0.8503743624,0.01543388663
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,base,San Antonio,7,25076,19,0.1323137088,0.5186168407,0.0686935489,0.9965083389,0.9974520604,0.9156384551,0.003491661086,0.9915771894,0.9922799084,0.8662338303,0.00842281056,0.9868923602,0.9886202093,0.8705404605,0.01310763982
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,low_efficiency_all,Austin,6,18007,15,0.5158820264,0.7258423298,0.04330506256,0.9544625238,0.9717387549,0.8341880342,0.04553747619,0.9596167716,0.96759499,0.8157741348,0.04038322839,0.9594570004,0.964725859,0.716271809,0.04054299958
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,low_efficiency_all,Chicago,6,26081,13,0.4123944559,0.4202340469,0.02500288806,0.9586944654,0.9691874053,0.7174916267,0.0413055346,0.9692243093,0.9713455703,0.8052736206,0.03077569073,0.9668684547,0.9689204629,0.7773129717,0.03313154531
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,low_efficiency_all,Dallas,6,12000,10,0.5581241785,0.7409004023,0.03833081852,0.6901762373,0.6763358664,0,0.3098237627,0.8219926141,0.7836977318,0.1666666667,0.1780073859,0.8524070584,0.8190779139,0.4583333333,0.1475929416
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,low_efficiency_all,Houston,6,4800,4,0.5092163469,0.7252128769,0.02943477954,0.9690579116,0.9798900688,0.8333333333,0.03094208838,0.9497992813,0.9601246051,0.8,0.05020071875,0.9603448377,0.9641365043,0.7916666667,0.03965516235
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,low_efficiency_all,New York,6,50454,24,0.2613114791,0.3797158846,0.01427390449,0.9324137511,0.9212521957,0.4286245564,0.06758624893,0.9102376463,0.9122531902,0.6567258771,0.08976235375,0.9122473621,0.9129825735,0.6552576424,0.08775263789
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,low_efficiency_all,Philadelphia,6,33719,20,0.3639681288,0.6048770063,0.05299390576,0.957783402,0.9682714603,0.773385302,0.04221659803,0.9688476879,0.9702598719,0.8159169769,0.03115231206,0.9707277412,0.9711346,0.7806561611,0.02927225878
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,low_efficiency_all,San Antonio,6,25076,19,0.3039636829,0.7136056651,0.04494262239,0.9549499933,0.9695376035,0.7502570529,0.04505000673,0.9703005281,0.9736818014,0.782404581,0.02969947186,0.9770976889,0.9778782762,0.7938729921,0.02290231107
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,low_efficiency_all,Austin,7,18007,15,0.2408887091,0.4582204216,0.05447890626,0.543989087,0.5731686089,0,0.456010913,0.6627185342,0.6452684938,0.2829508197,0.3372814658,0.7695233314,0.7272104545,0.5130257117,0.2304766686
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,low_efficiency_all,Chicago,7,26081,13,0.2278839727,0.2476867369,0.03378373827,0.6544356672,0.6709017956,0,0.3455643328,0.6695839027,0.6699370851,0.1504204877,0.3304160973,0.823330801,0.7847871769,0.4507625741,0.176669199
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,low_efficiency_all,Dallas,7,12000,10,0.6337227575,0.8077672617,0.01246895874,0.9876494849,0.9884401166,0.75,0.0123505151,0.9538047549,0.9600850055,0.6333333333,0.04619524507,0.9573357476,0.9604760169,0.6666666667,0.04266425244
