train_mode,train_parameter_scenario,test_parameter_scenario,model_id,family,description,n_features,n_cities,n_events,mean_city_spearman,mean_event_spearman,median_event_spearman,mean_event_top_1pct_value_capture,median_event_top_1pct_value_capture,mean_event_top_1pct_ndcg,median_event_top_1pct_ndcg,mean_event_top_1pct_precision,median_event_top_1pct_precision,mean_event_top_1pct_regret,median_event_top_1pct_regret,mean_event_top_5pct_value_capture,median_event_top_5pct_value_capture,mean_event_top_5pct_ndcg,median_event_top_5pct_ndcg,mean_event_top_5pct_precision,median_event_top_5pct_precision,mean_event_top_5pct_regret,median_event_top_5pct_regret,mean_event_top_10pct_value_capture,median_event_top_10pct_value_capture,mean_event_top_10pct_ndcg,median_event_top_10pct_ndcg,mean_event_top_10pct_precision,median_event_top_10pct_precision,mean_event_top_10pct_regret,median_event_top_10pct_regret
base_train_transfer,base,high_efficiency_all,E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",6,7,105,0.6157697446,0.8916104833,0.9300158018,0.9260534082,0.9542701455,0.9310012657,0.9716651653,0.6207916609,0.75,0.07394659177,0.04572985455,0.9397300777,0.9596157869,0.9392202022,0.9675991327,0.7096884132,0.7833333333,0.06026992225,0.0403842131,0.9447613567,0.9606739877,0.9431251436,0.9656218613,0.714495612,0.735915493,0.05523864327,0.03932601226
base_train_transfer,base,high_efficiency_all,E2_full_factorized,factorized,compact activated law with eta/cost,7,7,105,0.5029069532,0.658755456,0.6713261378,0.710273457,0.7194543455,0.7180287074,0.7300870056,0.09738602204,0,0.289726543,0.2805456545,0.7377434785,0.7459731662,0.7320082681,0.7418279053,0.2384260415,0.2166666667,0.2622565215,0.2540268338,0.7713913733,0.8045866451,0.7584430021,0.7841542661,0.2828351468,0.3166666667,0.2286086267,0.1954133549
base_train_transfer,base,high_efficiency_all,E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,7,7,105,0.5752682065,0.8206658846,0.8253927064,0.8666648156,0.8584257319,0.8386851834,0.7924905379,0.5072738597,0.5833333333,0.1333351844,0.1415742681,0.8892818183,0.8932286469,0.8702379161,0.8509144936,0.6018219813,0.6166666667,0.1107181817,0.1067713531,0.9215671492,0.9368040002,0.9001094208,0.8966751245,0.6581858362,0.6586538462,0.07843285083,0.06319599984
base_train_transfer,base,low_efficiency_all,E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",6,7,105,0.6157697446,0.8916104833,0.9300158018,0.9260534082,0.9542701455,0.9310012657,0.9716651653,0.6207916609,0.75,0.07394659177,0.04572985455,0.9397300777,0.9596157869,0.9392202022,0.9675991327,0.7096884132,0.7833333333,0.06026992225,0.0403842131,0.9447613567,0.9606739877,0.9431251436,0.9656218613,0.714495612,0.735915493,0.05523864327,0.03932601226
base_train_transfer,base,low_efficiency_all,E2_full_factorized,factorized,compact activated law with eta/cost,7,7,105,0.5161147277,0.7735611405,0.7919840966,0.682149199,0.5479195228,0.6887520428,0.5759929793,0.1714873229,0,0.317850801,0.4520804772,0.8158977522,0.8705911772,0.7850809381,0.7909965962,0.4618238303,0.5578947368,0.1841022478,0.1294088228,0.8865622308,0.916322809,0.8469988689,0.851946454,0.6066918537,0.6310679612,0.1134377692,0.08367719095
base_train_transfer,base,low_efficiency_all,E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,7,7,105,0.5440640207,0.7038938996,0.6831030197,0.7225658906,0.7306844244,0.7242018899,0.7081986706,0.1458876351,0,0.2774341094,0.2693155756,0.7873137849,0.7759908206,0.7710151793,0.7604576506,0.295058477,0.3009708738,0.2126862151,0.2240091794,0.8191583103,0.8042762534,0.8001365299,0.8051632787,0.3305970388,0.3265306122,0.1808416897,0.1957237466
base_train_transfer,base,slow_response_2h,E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",6,7,105,0.8174658494,0.9473363095,0.9631513223,0.9532928627,0.961905285,0.9596687387,0.9689504858,0.6945801081,0.7586206897,0.04670713731,0.03809471496,0.9559831643,0.9581432039,0.9583373054,0.9641816045,0.7591688078,0.7727272727,0.04401683567,0.0418567961,0.961131643,0.9683489648,0.9613126192,0.969518589,0.7839498773,0.8,0.03886835702,0.0316510352
base_train_transfer,base,slow_response_2h,E2_full_factorized,factorized,compact activated law with eta/cost,7,7,105,0.8169085251,0.9435813268,0.9547206287,0.9551746118,0.9683403022,0.9606492869,0.9746580006,0.6733370529,0.75,0.04482538815,0.03165969778,0.9522863923,0.956520861,0.9554187215,0.9632146725,0.7338423057,0.7391304348,0.04771360771,0.04347913902,0.9549822509,0.9586563563,0.9564671334,0.9614229258,0.7471735336,0.7401129944,0.04501774911,0.04134364373
base_train_transfer,base,slow_response_2h,E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,7,7,105,0.8297874455,0.9706277756,0.9765448893,0.9791203817,0.9886797621,0.9786942476,0.9924312164,0.784276108,0.8333333333,0.0208796183,0.01132023793,0.97556389,0.9811852147,0.9761870487,0.9847443198,0.8256662759,0.8375,0.02443611,0.01881478535,0.9788240966,0.9846239748,0.9783959839,0.9853618965,0.8213257178,0.8333333333,0.02117590342,0.01537602518
base_train_transfer,base,slow_response_4h,E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",6,7,105,0.8771775198,0.9277455276,0.9311908987,0.9655815683,0.9633191902,0.9713721448,0.9722348173,0.7692075735,0.8125,0.03441843175,0.03668080985,0.9659749638,0.9718772945,0.9682082864,0.9716017,0.7873068454,0.7959183673,0.03402503619,0.02812270549,0.9730915954,0.9749444135,0.9726398,0.9744393838,0.8027164069,0.8083333333,0.02690840461,0.02505558653
base_train_transfer,base,slow_response_4h,E2_full_factorized,factorized,compact activated law with eta/cost,7,7,105,0.8776824352,0.9269582495,0.9296930439,0.9631337433,0.964216289,0.9697536344,0.9716454574,0.7031715354,0.75,0.03686625673,0.03578371103,0.9637912495,0.9708383493,0.966352056,0.9716040508,0.742920502,0.775,0.03620875054,0.02916165066,0.9696014544,0.9706334625,0.9696512398,0.9700240584,0.7757613956,0.7666666667,0.03039854561,0.02936653752
base_train_transfer,base,slow_response_4h,E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,7,7,105,0.8856353367,0.9461741163,0.9420944019,0.9926590702,0.9941580168,0.9928214548,0.9952285519,0.8845415364,0.9047619048,0.007340929757,0.005841983243,0.9780642053,0.9794894572,0.980901101,0.9839291661,0.8334293826,0.8360655738,0.02193579466,0.02051054276,0.9833095195,0.9857604857,0.9838361597,0.9856357443,0.8501911455,0.8583333333,0.01669048052,0.01423951425
