model_id,family,description,train_mode,train_parameter_scenario,test_parameter_scenario,heldout_city,n_features,city,event_id,n_tokens,total_value,spearman,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Chicago,6,Chicago,145,1896,34.63140364,0.9300158018,0.9609991952,0.9704316387,0.6842105263,0.0390008048,0.970845099,0.9730861769,0.7789473684,0.029154901,0.9670384424,0.9694507435,0.8,0.03296155761
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Chicago,6,Chicago,146,1331,74.84148959,0.9518441462,0.9579805871,0.9703893622,0.7857142857,0.04201941292,0.9738580537,0.9753420204,0.8358208955,0.02614194626,0.9708537143,0.9727458525,0.723880597,0.02914628569
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Chicago,6,Chicago,147,1332,79.09330939,0.9518399494,0.9579805871,0.9703893622,0.7857142857,0.04201941293,0.9738580537,0.9753420204,0.8358208955,0.02614194626,0.9708537143,0.9727458525,0.723880597,0.02914628569
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Chicago,6,Chicago,149,1200,169.7199764,0.9584951837,0.9492300403,0.9662846806,0.75,0.05076995966,0.9678931011,0.9714853445,0.8333333333,0.03210689893,0.9699377197,0.9722278943,0.7333333333,0.03006228028
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Chicago,6,Chicago,150,1593,44.48471871,0.9361474824,0.9630761108,0.9727011605,0.75,0.0369238892,0.9752824487,0.9762712826,0.825,0.0247175513,0.9699462681,0.9718715032,0.7875,0.03005373194
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Chicago,6,Chicago,152,5711,462.115457,0.9106254996,0.9351902406,0.9490745317,0.775862069,0.06480975936,0.9582796808,0.9596394998,0.8146853147,0.04172031918,0.9635526761,0.9631932876,0.8076923077,0.0364473239
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Chicago,6,Chicago,153,1793,11.56714516,0.9305052842,0.9635763203,0.9723648304,0.6666666667,0.03642367966,0.9715120194,0.9736162323,0.7888888889,0.02848798062,0.967138902,0.9697210412,0.7888888889,0.03286109797
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Chicago,6,Chicago,154,2226,208.7482714,0.9272688853,0.9641554944,0.9713600176,0.7391304348,0.03584450559,0.9604273875,0.9636717481,0.7767857143,0.03957261253,0.9608496167,0.9627341001,0.8161434978,0.03915038327
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Chicago,6,Chicago,155,1900,30.61347246,0.9249547224,0.9609991952,0.9704316387,0.6842105263,0.03900080485,0.9660663056,0.9691219891,0.7684210526,0.03393369443,0.9652972939,0.9675409944,0.8,0.03470270609
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Chicago,6,Chicago,156,1753,53.49009663,0.9296244746,0.9635763204,0.9723648304,0.6666666667,0.03642367963,0.9723058758,0.9741840298,0.8068181818,0.02769412424,0.9648171103,0.9680464085,0.7670454545,0.03518288967
