window_hours,target,feature,spearman
12,decision_criticality_score,early_precip_max,-0.02427573424
12,decision_criticality_score,event_peak_precip_observed_so_far,-0.02427573424
12,decision_criticality_score,early_positive_deficit_last,-0.05029904233
12,decision_criticality_score,early_precip_sum,-0.05064131223
12,decision_criticality_score,early_precip_mean,-0.05367728875
12,decision_criticality_score,mean_a_retention,-0.07381970244
12,decision_criticality_score,early_rainy_hour_share,-0.08304732891
12,decision_criticality_score,early_abnormal_deficit_mean,-0.4149077338
12,decision_criticality_score,early_positive_deficit_sum,-0.4409605142
12,decision_criticality_score,early_positive_deficit_mean,-0.4462995841
12,decision_criticality_score,early_positive_deficit_max,-0.4761559184
12,decision_criticality_score,city_signal_b0,-0.5238722643
12,decision_criticality_score,weighted_b0,-0.5238722643
12,decision_criticality_score,early_positive_deficit_start,-0.5277481874
12,decision_criticality_score,q_density,-0.686971215
12,decision_criticality_score,delay_C,
12,decision_criticality_score,delay_R,
12,decision_criticality_score,delay_S,
1,marginal_value_gini,n_units,0.8630994994
1,marginal_value_gini,early_mean_deficit_mean,0.3107900794
1,marginal_value_gini,early_p90_deficit_max,0.3069014038
1,marginal_value_gini,mean_a_retention,0.0915024703
1,marginal_value_gini,dynamic_rain_kernel_sum,0.0007664236693
1,marginal_value_gini,early_last_precip,-0.07684758683
1,marginal_value_gini,early_precip_max,-0.07684758683
1,marginal_value_gini,early_precip_mean,-0.07684758683
1,marginal_value_gini,early_precip_sum,-0.07684758683
1,marginal_value_gini,event_peak_precip_observed_so_far,-0.07684758683
1,marginal_value_gini,city_signal_b0,-0.321964045
1,marginal_value_gini,weighted_b0,-0.321964045
1,marginal_value_gini,early_positive_deficit_last,-0.3334589859
1,marginal_value_gini,early_positive_deficit_max,-0.3334589859
1,marginal_value_gini,early_positive_deficit_mean,-0.3334589859
1,marginal_value_gini,early_positive_deficit_start,-0.3334589859
1,marginal_value_gini,early_positive_deficit_sum,-0.3334589859
1,marginal_value_gini,early_abnormal_deficit_mean,-0.3462179054
1,marginal_value_gini,q_density,-0.8251828173
1,marginal_value_gini,delay_C,
1,marginal_value_gini,delay_R,
1,marginal_value_gini,delay_S,
1,marginal_value_gini,early_positive_deficit_slope,
1,marginal_value_gini,early_rainy_hour_share,
2,marginal_value_gini,n_units,0.8630994994
2,marginal_value_gini,early_p90_deficit_max,0.3470040258
2,marginal_value_gini,early_mean_deficit_mean,0.3365276613
2,marginal_value_gini,early_positive_deficit_slope,0.1126986051
2,marginal_value_gini,mean_a_retention,0.0915024703
2,marginal_value_gini,early_last_precip,0.08037711747
2,marginal_value_gini,early_rainy_hour_share,0.05586245896
2,marginal_value_gini,early_precip_max,0.03129928668
2,marginal_value_gini,event_peak_precip_observed_so_far,0.03129928668
2,marginal_value_gini,early_precip_mean,0.02625294917
2,marginal_value_gini,early_precip_sum,0.02625294917
2,marginal_value_gini,dynamic_rain_kernel_sum,0.0007664236693
2,marginal_value_gini,early_positive_deficit_last,-0.3105163556
2,marginal_value_gini,city_signal_b0,-0.321964045
2,marginal_value_gini,weighted_b0,-0.321964045
2,marginal_value_gini,early_positive_deficit_start,-0.3334589859
2,marginal_value_gini,early_positive_deficit_mean,-0.3343444491
2,marginal_value_gini,early_positive_deficit_sum,-0.3343444491
2,marginal_value_gini,early_positive_deficit_max,-0.3347805323
2,marginal_value_gini,early_abnormal_deficit_mean,-0.3486968051
2,marginal_value_gini,q_density,-0.8251828173
2,marginal_value_gini,delay_C,
2,marginal_value_gini,delay_R,
2,marginal_value_gini,delay_S,
3,marginal_value_gini,n_units,0.8630994994
3,marginal_value_gini,early_p90_deficit_max,0.3510027582
3,marginal_value_gini,early_mean_deficit_mean,0.3376387115
3,marginal_value_gini,early_positive_deficit_slope,0.1172590894
3,marginal_value_gini,mean_a_retention,0.0915024703
3,marginal_value_gini,early_precip_max,0.03805272802
3,marginal_value_gini,event_peak_precip_observed_so_far,0.03805272802
3,marginal_value_gini,early_precip_mean,0.02868919953
3,marginal_value_gini,early_precip_sum,0.02868919953
3,marginal_value_gini,dynamic_rain_kernel_sum,0.0007664236693
3,marginal_value_gini,early_rainy_hour_share,-0.05422562737
3,marginal_value_gini,early_last_precip,-0.1213878094
3,marginal_value_gini,early_positive_deficit_last,-0.3201795646
3,marginal_value_gini,city_signal_b0,-0.321964045
3,marginal_value_gini,weighted_b0,-0.321964045
3,marginal_value_gini,early_positive_deficit_start,-0.3334589859
3,marginal_value_gini,early_positive_deficit_max,-0.3374727226
3,marginal_value_gini,early_positive_deficit_mean,-0.344069136
3,marginal_value_gini,early_positive_deficit_sum,-0.344069136
3,marginal_value_gini,early_abnormal_deficit_mean,-0.3722122866
3,marginal_value_gini,q_density,-0.8251828173
3,marginal_value_gini,delay_C,
3,marginal_value_gini,delay_R,
3,marginal_value_gini,delay_S,
6,marginal_value_gini,n_units,0.8630994994
6,marginal_value_gini,early_p90_deficit_max,0.4344303588
6,marginal_value_gini,early_mean_deficit_mean,0.3776103133
6,marginal_value_gini,early_positive_deficit_slope,0.2128338098
6,marginal_value_gini,mean_a_retention,0.0915024703
6,marginal_value_gini,early_precip_max,0.07589386773
6,marginal_value_gini,event_peak_precip_observed_so_far,0.07589386773
6,marginal_value_gini,early_precip_mean,0.06893055287
6,marginal_value_gini,early_precip_sum,0.06893055287
6,marginal_value_gini,early_last_precip,0.06838745892
6,marginal_value_gini,early_rainy_hour_share,0.05301501163
6,marginal_value_gini,dynamic_rain_kernel_sum,0.0007664236693
6,marginal_value_gini,early_positive_deficit_last,-0.07844386056
6,marginal_value_gini,early_positive_deficit_max,-0.265731908
6,marginal_value_gini,early_positive_deficit_mean,-0.2816407083
6,marginal_value_gini,early_positive_deficit_sum,-0.2816407083
6,marginal_value_gini,city_signal_b0,-0.321964045
6,marginal_value_gini,weighted_b0,-0.321964045
6,marginal_value_gini,early_positive_deficit_start,-0.3334589859
6,marginal_value_gini,early_abnormal_deficit_mean,-0.3444779589
6,marginal_value_gini,q_density,-0.8251828173
6,marginal_value_gini,delay_C,
6,marginal_value_gini,delay_R,
6,marginal_value_gini,delay_S,
12,marginal_value_gini,n_units,0.8630994994
12,marginal_value_gini,early_mean_deficit_mean,0.5253013731
12,marginal_value_gini,early_p90_deficit_max,0.5094926774
12,marginal_value_gini,early_positive_deficit_slope,0.2329566209
12,marginal_value_gini,early_rainy_hour_share,0.1258182127
12,marginal_value_gini,early_precip_max,0.1186421367
12,marginal_value_gini,event_peak_precip_observed_so_far,0.1186421367
12,marginal_value_gini,early_precip_sum,0.1130692832
12,marginal_value_gini,early_precip_mean,0.1112827684
12,marginal_value_gini,early_last_precip,0.09353276522
12,marginal_value_gini,mean_a_retention,0.0915024703
12,marginal_value_gini,dynamic_rain_kernel_sum,0.0007664236693
12,marginal_value_gini,early_positive_deficit_last,-0.2115384785
12,marginal_value_gini,early_positive_deficit_max,-0.2719207442
12,marginal_value_gini,early_positive_deficit_sum,-0.2862144239
12,marginal_value_gini,early_positive_deficit_mean,-0.2913714406
12,marginal_value_gini,city_signal_b0,-0.321964045
12,marginal_value_gini,weighted_b0,-0.321964045
12,marginal_value_gini,early_positive_deficit_start,-0.3334589859
12,marginal_value_gini,early_abnormal_deficit_mean,-0.3684022231
12,marginal_value_gini,q_density,-0.8251828173
12,marginal_value_gini,delay_C,
12,marginal_value_gini,delay_R,
12,marginal_value_gini,delay_S,
1,recoverable_fraction,dynamic_rain_kernel_sum,0.24522165
1,recoverable_fraction,n_units,0.1517191502
1,recoverable_fraction,early_last_precip,0.0185859578
1,recoverable_fraction,early_precip_max,0.0185859578
1,recoverable_fraction,early_precip_mean,0.0185859578
1,recoverable_fraction,early_precip_sum,0.0185859578
1,recoverable_fraction,event_peak_precip_observed_so_far,0.0185859578
1,recoverable_fraction,early_mean_deficit_mean,-0.1069355173
1,recoverable_fraction,early_p90_deficit_max,-0.1131660792
1,recoverable_fraction,q_density,-0.2135417692
1,recoverable_fraction,early_abnormal_deficit_mean,-0.503659548
1,recoverable_fraction,early_positive_deficit_last,-0.5069725848
1,recoverable_fraction,early_positive_deficit_max,-0.5069725848
1,recoverable_fraction,early_positive_deficit_mean,-0.5069725848
1,recoverable_fraction,early_positive_deficit_start,-0.5069725848
1,recoverable_fraction,early_positive_deficit_sum,-0.5069725848
1,recoverable_fraction,mean_a_retention,-0.5349098926
1,recoverable_fraction,city_signal_b0,-0.5415016336
1,recoverable_fraction,weighted_b0,-0.5415016336
1,recoverable_fraction,delay_C,
