window_hours,target,feature_group,n_features,n_events,pearson,spearman,mae,top20_recall,top20_precision
2,marginal_value_gini,static_city,7,105,0.6198282187,0.917462356,0.02127134009,0.8095238095,0.8095238095
2,marginal_value_gini,start_state,3,105,-0.2458118966,-0.3367582566,0.03191074845,0.04761904762,0.04761904762
2,marginal_value_gini,rain_plus_speed,14,105,0.02979071705,0.1580888123,0.0269253333,0,0
2,marginal_value_gini,speed_plus_static,19,105,0.491130327,0.8181102586,0.01966761218,0.4285714286,0.4285714286
2,marginal_value_gini,all_early,24,105,0.4624996438,0.8082942353,0.01959515982,0.4285714286,0.4285714286
3,recoverable_fraction,early_rain,5,105,-0.04916088248,-0.04665448476,0.02620786017,0.09523809524,0.09523809524
3,recoverable_fraction,early_speed,9,105,0.443873611,0.4223927016,0.02460988682,0.2857142857,0.2857142857
3,recoverable_fraction,static_city,7,105,0.4771725006,0.5664423762,0.02810307645,0.5238095238,0.5238095238
3,recoverable_fraction,start_state,3,105,0.4418316609,0.4399647522,0.02282176369,0.2857142857,0.2857142857
3,recoverable_fraction,rain_plus_speed,14,105,0.3881099724,0.3689508605,0.02592992157,0.2380952381,0.2380952381
3,recoverable_fraction,speed_plus_static,19,105,0.4639793473,0.5958532034,0.02266473403,0.619047619,0.619047619
3,recoverable_fraction,all_early,24,105,0.4509427076,0.5857039187,0.02279315158,0.619047619,0.619047619
3,decision_criticality_score,early_rain,5,105,-0.2866065499,-0.2860386461,0.003108744318,0.09523809524,0.09523809524
3,decision_criticality_score,early_speed,9,105,0.5233304689,0.5466721957,0.002349019607,0.5238095238,0.5238095238
3,decision_criticality_score,static_city,7,105,0.5593403572,0.7675027566,0.003072823414,0.4761904762,0.4761904762
3,decision_criticality_score,start_state,3,105,0.2314685066,0.2508086253,0.002931711964,0.1904761905,0.1904761905
3,decision_criticality_score,rain_plus_speed,14,105,0.4707767568,0.4859630935,0.002470078493,0.5238095238,0.5238095238
3,decision_criticality_score,speed_plus_static,19,105,0.6036983613,0.7039705577,0.002327061676,0.5714285714,0.5714285714
3,decision_criticality_score,all_early,24,105,0.5759129051,0.6896330085,0.00234886043,0.5238095238,0.5238095238
3,top_5pct_value_share,early_rain,5,105,-0.6646419436,-0.8346519057,0.02431316825,0,0
3,top_5pct_value_share,early_speed,9,105,0.01438243957,0.01762481935,0.01996713708,0.04761904762,0.04761904762
3,top_5pct_value_share,static_city,7,105,0.7073357008,0.7148071641,0.01637041051,0.9047619048,0.9047619048
3,top_5pct_value_share,start_state,3,105,-0.5013671805,-0.5274134166,0.02412767063,0.04761904762,0.04761904762
3,top_5pct_value_share,rain_plus_speed,14,105,-0.06273268546,-0.04780660188,0.02065357678,0,0
3,top_5pct_value_share,speed_plus_static,19,105,0.6173585979,0.7160037004,0.01342449457,0.5238095238,0.5238095238
3,top_5pct_value_share,all_early,24,105,0.5853727146,0.7032109011,0.01400029809,0.4761904762,0.4761904762
3,marginal_value_gini,early_rain,5,105,-0.5338427797,-0.7362704243,0.03212038601,0,0
3,marginal_value_gini,early_speed,9,105,0.1104772093,0.2279277485,0.02721287911,0.04761904762,0.04761904762
3,marginal_value_gini,static_city,7,105,0.6198282187,0.917462356,0.02127134009,0.8095238095,0.8095238095
3,marginal_value_gini,start_state,3,105,-0.244379194,-0.3364123636,0.03199088496,0.04761904762,0.04761904762
3,marginal_value_gini,rain_plus_speed,14,105,0.06429253407,0.1838473574,0.02763489415,0.04761904762,0.04761904762
3,marginal_value_gini,speed_plus_static,19,105,0.5111779413,0.7812674159,0.01986413913,0.380952381,0.380952381
3,marginal_value_gini,all_early,24,105,0.4689441025,0.7571282789,0.02069823746,0.380952381,0.380952381
6,recoverable_fraction,early_rain,5,105,-0.1229687189,-0.1900580327,0.02683238047,0.09523809524,0.09523809524
6,recoverable_fraction,early_speed,9,105,0.4109893674,0.3551212938,0.02584698285,0.2380952381,0.2380952381
6,recoverable_fraction,static_city,7,105,0.4771725006,0.5664423762,0.02810307645,0.5238095238,0.5238095238
6,recoverable_fraction,start_state,3,105,0.4333349384,0.4333102667,0.02319818239,0.2857142857,0.2857142857
6,recoverable_fraction,rain_plus_speed,14,105,0.358760312,0.3009226622,0.02789005417,0.2380952381,0.2380952381
6,recoverable_fraction,speed_plus_static,19,105,0.4953221068,0.620733983,0.02199517269,0.5714285714,0.5714285714
6,recoverable_fraction,all_early,24,105,0.5442768779,0.6314430852,0.02023225923,0.5714285714,0.5714285714
6,decision_criticality_score,early_rain,5,105,-0.3560444005,-0.522167131,0.003407060844,0,0
6,decision_criticality_score,early_speed,9,105,0.380186067,0.4327907941,0.002624810143,0.4761904762,0.4761904762
6,decision_criticality_score,static_city,7,105,0.5593403572,0.7675027566,0.003072823414,0.4761904762,0.4761904762
6,decision_criticality_score,start_state,3,105,0.2527321911,0.2620834078,0.002901880486,0.1904761905,0.1904761905
6,decision_criticality_score,rain_plus_speed,14,105,0.3232098881,0.3681111341,0.002895322992,0.2857142857,0.2857142857
6,decision_criticality_score,speed_plus_static,19,105,0.3974259774,0.5295459258,0.002858994747,0.3333333333,0.3333333333
6,decision_criticality_score,all_early,24,105,0.4682207267,0.5677068215,0.002587268326,0.380952381,0.380952381
6,top_5pct_value_share,early_rain,5,105,-0.6219425455,-0.8314199829,0.02458083614,0,0
6,top_5pct_value_share,early_speed,9,105,0.1033061402,0.07552520715,0.01974258736,0.1428571429,0.1428571429
6,top_5pct_value_share,static_city,7,105,0.7073357008,0.7148071641,0.01637041051,0.9047619048,0.9047619048
6,top_5pct_value_share,start_state,3,105,-0.4926025095,-0.5096510369,0.02388618184,0.04761904762,0.04761904762
6,top_5pct_value_share,rain_plus_speed,14,105,0.08118423096,0.07786784594,0.01993629372,0.1428571429,0.1428571429
6,top_5pct_value_share,speed_plus_static,19,105,0.5397548228,0.5679457844,0.01533957383,0.5238095238,0.5238095238
6,top_5pct_value_share,all_early,24,105,0.5452657991,0.5721069817,0.01523068869,0.5714285714,0.5714285714
6,marginal_value_gini,early_rain,5,105,-0.5079295918,-0.8006810022,0.03285797989,0,0
6,marginal_value_gini,early_speed,9,105,0.1739497138,0.1745134878,0.0261388277,0.2380952381,0.2380952381
6,marginal_value_gini,static_city,7,105,0.6198282187,0.917462356,0.02127134009,0.8095238095,0.8095238095
6,marginal_value_gini,start_state,3,105,-0.2257181088,-0.3116529992,0.03162918138,0.04761904762,0.04761904762
6,marginal_value_gini,rain_plus_speed,14,105,0.1544214799,0.1649385414,0.02635458414,0.1904761905,0.1904761905
6,marginal_value_gini,speed_plus_static,19,105,0.4408109519,0.617937801,0.02291579037,0.380952381,0.380952381
6,marginal_value_gini,all_early,24,105,0.4564284762,0.6571128009,0.02225304672,0.380952381,0.380952381
12,recoverable_fraction,early_rain,5,105,-0.05446281647,-0.1296104792,0.02690489759,0.09523809524,0.09523809524
12,recoverable_fraction,early_speed,9,105,0.4862353076,0.4619842422,0.02372768474,0.3333333333,0.3333333333
12,recoverable_fraction,static_city,7,105,0.4771725006,0.5664423762,0.02810307645,0.5238095238,0.5238095238
12,recoverable_fraction,start_state,3,105,0.417536829,0.4229972761,0.02346159079,0.2857142857,0.2857142857
12,recoverable_fraction,rain_plus_speed,14,105,0.4661423765,0.4282189509,0.02462908356,0.2857142857,0.2857142857
12,recoverable_fraction,speed_plus_static,19,105,0.6149253269,0.7313290483,0.01872453775,0.5238095238,0.5238095238
12,recoverable_fraction,all_early,24,105,0.6859785053,0.7821791416,0.01667095755,0.619047619,0.619047619
12,decision_criticality_score,early_rain,5,105,-0.4368114938,-0.7046001769,0.00342317199,0,0
12,decision_criticality_score,early_speed,9,105,0.2835869082,0.3981235745,0.002987821404,0.1904761905,0.1904761905
12,decision_criticality_score,static_city,7,105,0.5593403572,0.7675027566,0.003072823414,0.4761904762,0.4761904762
12,decision_criticality_score,start_state,3,105,0.2547727346,0.2345083546,0.002889662614,0.1904761905,0.1904761905
12,decision_criticality_score,rain_plus_speed,14,105,0.260824549,0.3534003732,0.003045579798,0.1428571429,0.1428571429
12,decision_criticality_score,speed_plus_static,19,105,0.374573066,0.5866680489,0.002784409892,0.4285714286,0.4285714286
12,decision_criticality_score,all_early,24,105,0.3605376028,0.6089259797,0.002763408257,0.4285714286,0.4285714286
12,top_5pct_value_share,early_rain,5,105,-0.4931733186,-0.6927837909,0.02377901566,0.04761904762,0.04761904762
12,top_5pct_value_share,early_speed,9,105,0.07066264004,0.09578090944,0.02420805681,0,0
12,top_5pct_value_share,static_city,7,105,0.7073357008,0.7148071641,0.01637041051,0.9047619048,0.9047619048
12,top_5pct_value_share,start_state,3,105,-0.4717565947,-0.4940857533,0.02367629473,0.04761904762,0.04761904762
12,top_5pct_value_share,rain_plus_speed,14,105,0.04639613509,0.03748746144,0.02346347719,0.04761904762,0.04761904762
12,top_5pct_value_share,speed_plus_static,19,105,0.4883277589,0.5558657343,0.01498376772,0.619047619,0.619047619
12,top_5pct_value_share,all_early,24,105,0.3941019908,0.4644870991,0.01658725644,0.619047619,0.619047619
12,marginal_value_gini,early_rain,5,105,-0.3959327167,-0.6520724973,0.03178062016,0.04761904762,0.04761904762
12,marginal_value_gini,early_speed,9,105,0.03688757964,-0.03275501663,0.03300775191,0,0
12,marginal_value_gini,static_city,7,105,0.6198282187,0.917462356,0.02127134009,0.8095238095,0.8095238095
12,marginal_value_gini,start_state,3,105,-0.1993457789,-0.293686383,0.03135016368,0.04761904762,0.04761904762
12,marginal_value_gini,rain_plus_speed,14,105,0.007559234369,-0.0006079331087,0.03177885678,0.04761904762,0.04761904762
12,marginal_value_gini,speed_plus_static,19,105,0.4127715868,0.6422341621,0.02118843215,0.5714285714,0.5714285714
12,marginal_value_gini,all_early,24,105,0.288811529,0.5617616373,0.02471934458,0.5714285714,0.5714285714
