city,event_id,event_start,window_hours,recoverable_fraction,decision_criticality_score,top_5pct_value_share,marginal_value_gini,baseline_objective,event_peak_positive_abnormal_deficit,event_total_precip,n_units,q_density,mean_a_retention,dynamic_rain_kernel_sum,delay_R,delay_C,delay_S,weighted_b0,city_signal_b0,early_observed_hours,early_precip_sum,early_precip_max,early_precip_mean,early_rainy_hour_share,early_last_precip,event_peak_precip_observed_so_far,early_positive_deficit_start,early_positive_deficit_last,early_positive_deficit_max,early_positive_deficit_mean,early_positive_deficit_sum,early_positive_deficit_slope,early_abnormal_deficit_mean,early_p90_deficit_max,early_mean_deficit_mean,early_observation_count_sum,log_early_precip_sum,log_early_precip_max,log_early_positive_deficit_sum,log_early_positive_deficit_max,log_early_p90_deficit_max,log_baseline_objective,log_n_units
Philadelphia,658,2023-07-29 09:00:00,1,0.126623227,0.02320796907,0.2767547552,0.6622602184,0.0198147851,0.00879234695,0.01574804,642,0.3698018265,0.6959682464,0.01649734242,2,0,1,0,0,1,0.01574804,0.01574804,0.01574804,1,0.01574804,0.01574804,0,0,0,0,0,0,-0.0007965608861,0.2220272718,0.06195962514,76892,0.01562532628,0.01562532628,0,0,0.2005111779,0.01962102757,6.466144724
Philadelphia,658,2023-07-29 09:00:00,2,0.126623227,0.02320796907,0.2767547552,0.6622602184,0.0198147851,0.00879234695,0.01574804,642,0.3698018265,0.6959682464,0.01649734242,2,0,1,0,0,2,0.01574804,0.01574804,0.00787402,0.5,0,0.01574804,0,0,0,0,0,0,-0.0009140186551,0.2322434202,0.06367214402,153770,0.01562532628,0.01562532628,0,0,0.2088364269,0.01962102757,6.466144724
Philadelphia,658,2023-07-29 09:00:00,3,0.126623227,0.02320796907,0.2767547552,0.6622602184,0.0198147851,0.00879234695,0.01574804,642,0.3698018265,0.6959682464,0.01649734242,2,0,1,0,0,3,0.01574804,0.01574804,0.005249346667,0.3333333333,0,0.01574804,0,0,0,0,0,0,-0.002021110822,0.2421406355,0.06483766465,230648,0.01562532628,0.01562532628,0,0,0.2168362102,0.01962102757,6.466144724
Philadelphia,658,2023-07-29 09:00:00,6,0.126623227,0.02320796907,0.2767547552,0.6622602184,0.0198147851,0.00879234695,0.01574804,642,0.3698018265,0.6959682464,0.01649734242,2,0,1,0,0,6,0.01574804,0.01574804,0.002624673333,0.1666666667,0,0.01574804,0,0,0,0,0,0,-0.00357229739,0.2448897486,0.06598085648,461273,0.01562532628,0.01562532628,0,0,0.2190469707,0.01962102757,6.466144724
Philadelphia,658,2023-07-29 09:00:00,12,0.126623227,0.02320796907,0.2767547552,0.6622602184,0.0198147851,0.00879234695,0.01574804,642,0.3698018265,0.6959682464,0.01649734242,2,0,1,0,0,12,0.14173236,0.080708705,0.01181103,0.25,0.080708705,0.080708705,0,9.869568749e-05,0.00879234695,0.0007409202198,0.008891042637,8.972335227e-06,-0.002127387305,0.2448897486,0.06498138368,923675,0.132546723,0.07761703426,0.008851750047,0.008753919349,0.2190469707,0.01962102757,6.466144724
Chicago,152,2019-07-17 19:00:00,1,0.2680336809,0.02116409507,0.1722164847,0.4584960653,0.02216888903,0.01334210144,0.27952771,882,0.4333816671,0.8000622696,0.007129881557,2,0,1,0.000636304742,0.000636304742,1,0.27952771,0.27952771,0.27952771,1,0.27952771,0.27952771,0,0,0,0,0,0,-0.0003159428247,0.5363503771,0.2952574498,75811,0.2464910333,0.2464910333,0,0,0.4294097188,0.02192673158,6.783325201
Chicago,152,2019-07-17 19:00:00,2,0.2680336809,0.02116409507,0.1722164847,0.4584960653,0.02216888903,0.01334210144,0.27952771,882,0.4333816671,0.8000622696,0.007129881557,2,0,1,0.000636304742,0.000636304742,2,0.27952771,0.27952771,0.139763855,0.5,0,0.27952771,0,0,0,0,0,0,-0.00210141538,0.5363503771,0.2826089185,151616,0.2464910333,0.2464910333,0,0,0.4294097188,0.02192673158,6.783325201
Chicago,152,2019-07-17 19:00:00,3,0.2680336809,0.02116409507,0.1722164847,0.4584960653,0.02216888903,0.01334210144,0.27952771,882,0.4333816671,0.8000622696,0.007129881557,2,0,1,0.000636304742,0.000636304742,3,0.27952771,0.27952771,0.09317590333,0.3333333333,0,0.27952771,0,0,0,0,0,0,-0.003645299345,0.5363503771,0.276119837,227420,0.2464910333,0.2464910333,0,0,0.4294097188,0.02192673158,6.783325201
Chicago,152,2019-07-17 19:00:00,6,0.2680336809,0.02116409507,0.1722164847,0.4584960653,0.02216888903,0.01334210144,0.27952771,882,0.4333816671,0.8000622696,0.007129881557,2,0,1,0.000636304742,0.000636304742,6,0.27952771,0.27952771,0.04658795167,0.1666666667,0,0.27952771,0,0,0,0,0,0,-0.002560336881,0.5363503771,0.2132617182,454815,0.2464910333,0.2464910333,0,0,0.4294097188,0.02192673158,6.783325201
Chicago,152,2019-07-17 19:00:00,12,0.2680336809,0.02116409507,0.1722164847,0.4584960653,0.02216888903,0.01334210144,0.27952771,882,0.4333816671,0.8000622696,0.007129881557,2,0,1,0.000636304742,0.000636304742,12,0.27952771,0.27952771,0.02329397583,0.08333333333,0,0.27952771,0,0,0.001004162238,0.0002605083735,0.003126100481,0,-0.001104223956,0.5363503771,0.159213967,909803,0.2464910333,0.2464910333,0.003121224389,0.001003658404,0.4294097188,0.02192673158,6.783325201
New York,100,2019-06-05 21:00:00,1,0.169567208,0.0177129754,0.2044100421,0.5110312076,0.06728818434,0.01875161061,0.01049869333,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0,0,1,0.01049869333,0.01049869333,0.01049869333,1,0.01049869333,0.01049869333,0,0,0,0,0,0,-0.01119207009,0.308053042,0.09009067703,115194,0.01044396477,0.01044396477,0,0,0.2685398042,0.06512102427,7.570958583
New York,100,2019-06-05 21:00:00,2,0.169567208,0.0177129754,0.2044100421,0.5110312076,0.06728818434,0.01875161061,0.01049869333,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0,0,2,0.01049869333,0.01049869333,0.005249346667,0.5,0,0.01049869333,0,0,0,0,0,0,-0.00966184082,0.308053042,0.08693544706,230378,0.01044396477,0.01044396477,0,0,0.2685398042,0.06512102427,7.570958583
New York,100,2019-06-05 21:00:00,3,0.169567208,0.0177129754,0.2044100421,0.5110312076,0.06728818434,0.01875161061,0.01049869333,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0,0,3,0.01049869333,0.01049869333,0.003499564444,0.3333333333,0,0.01049869333,0,0,0,0,0,0,-0.008229110031,0.308053042,0.08140283891,345560,0.01044396477,0.01044396477,0,0,0.2685398042,0.06512102427,7.570958583
