city,n_units,horizon,q_nnz,q_density,mean_b0,weighted_b0,max_b0,mean_a_retention,total_disturbance,total_budget,mean_period_budget,delay_R,delay_C,delay_S,q_row_sum_min,q_row_sum_max,pwl_enabled
New York,1940,12,707646,0.18802370071208419,0.1299194750747679,0.13279219203290554,0.1880917742146668,0.8944032184857202,10.373815993874189,56.70985087013619,15.878758243638137,2,0,1,0.9999999999999982,1.0000000000000018,True
Chicago,882,12,337138,0.43338166710372733,0.27394126014699244,0.2810483716165473,0.39024479369244625,0.9114760647573434,13.048356196271211,54.36364307617064,15.221820061327781,2,0,1,0.9999999999999982,1.000000000000002,True
Houston,393,12,99541,0.6444910617744368,0.07895733900741196,0.08093499451967996,0.11047751533997215,0.8749508231277265,1.394161219446137,6.981802701730402,1.954904756484513,2,0,1,0.9999999999999988,1.0000000000000013,True
Philadelphia,642,12,152419,0.3698018264574296,0.08865674506756667,0.09014347145521533,0.12502120722933116,0.919933479435258,1.762311556737656,12.806466825010004,3.5858107110028015,2,0,1,0.999999999999999,1.0000000000000016,True
San Antonio,304,12,78928,0.8540512465373962,0.08128804421397987,0.08289092433563396,0.11246330079250992,0.9032416434836744,1.087136639214632,5.560102224236222,1.5568286227861423,2,0,1,0.9999999999999984,1.0000000000000013,True
Dallas,366,12,87499,0.6531920929260354,0.07852340436751419,0.08056680301576818,0.10450035165889947,0.8946220580895059,1.6267563625178283,6.466402349664793,1.810592657906142,2,0,1,0.9999999999999987,1.0000000000000009,True
Austin,207,12,38249,0.8926462694578636,0.09261374870043157,0.09397522221660151,0.1289405415843332,0.9023896928338896,0.8079841731255804,4.3134853457226,1.207775896802328,2,0,1,0.9999999999999989,1.000000000000001,True
