city,policy,objective,baseline_objective,recoverable_fraction,total_intervention_cost,total_budget,total_cost_R,total_cost_C,total_cost_S,scenario
Chicago,damage_based,3.0341016569704875,3.105858167067098,0.023103601721894185,2.6638496124309636,2.663849612430963,1.0335736496232137,1.0676709246623302,0.5626050381454195,base
Chicago,exposure_based,3.027897619362169,3.105858167067098,0.025101129385617815,2.663849612430963,2.663849612430963,0.47949293023757333,0.8524318759779083,1.3319248062154816,base
Chicago,access_based,3.026622981578864,3.105858167067098,0.02551152732227202,2.6638496124309627,2.663849612430963,0.8268589196985708,0.7117806164415532,1.1252100762908388,base
Chicago,damage_based,3.069979912018791,3.105858167067098,0.011551800860947536,1.3319248062154818,1.3319248062154816,0.5167868248116069,0.5338354623311651,0.28130251907270976,low_budget
Chicago,exposure_based,3.0665096565737553,3.105858167067098,0.012669126655741603,1.3319248062154816,1.3319248062154816,0.23974646511878667,0.42621593798895413,0.6659624031077408,low_budget
Chicago,access_based,3.066157313262027,3.105858167067098,0.012782571408455845,1.3319248062154814,1.3319248062154816,0.4134294598492854,0.3558903082207766,0.5626050381454194,low_budget
Chicago,damage_based,2.9862639835727496,3.105858167067098,0.038506002869822864,4.439749354051605,4.439749354051606,1.7226227493720228,1.7794515411038834,0.9376750635756992,high_budget
Chicago,exposure_based,2.981059584036788,3.105858167067098,0.04018167485998203,4.439749354051607,4.439749354051606,0.799154883729289,1.4207197932965139,2.2198746770258033,high_budget
Chicago,access_based,2.9762788054423703,3.105858167067098,0.041720952681844836,4.439749354051606,4.439749354051606,1.3780981994976185,1.186301027402589,1.8753501271513984,high_budget
Chicago,damage_based,2.8079466819039016,3.105858167067098,0.09591921753610466,11.099373385129013,11.099373385129013,4.306556873430057,4.448628852759708,2.344187658939248,very_high_budget
Chicago,exposure_based,2.8445884194030757,3.105858167067098,0.08412159654757922,11.099373385129013,11.099373385129013,1.9978872093232223,3.5517994832412842,5.5496866925645065,very_high_budget
Chicago,access_based,2.8210022185116443,3.105858167067098,0.09171569763742515,11.099373385129015,11.099373385129013,3.445245498744047,2.9657525685064727,4.688375317878496,very_high_budget
Chicago,damage_based,3.038712371063221,3.105858167067098,0.02161907994249579,2.663849612430963,2.663849612430963,0.9589858604751467,1.0229182511734898,0.6819455007823267,delayed_response
Chicago,exposure_based,3.029394188875744,3.105858167067098,0.02461927560058541,2.6638496124309623,2.663849612430963,0.3862581938024895,0.7591971395428243,1.5183942790856486,delayed_response
Chicago,access_based,3.029735099950149,3.105858167067098,0.02450951171052118,2.663849612430963,2.663849612430963,0.7075184570616637,0.6521103851230997,1.3042207702461996,delayed_response
Chicago,damage_based,3.029566005776182,3.105858167067098,0.024563955334431564,2.6638496124309627,2.663849612430963,1.3319248062154814,0.7991548837292889,0.5327699224861926,fast_response
Chicago,exposure_based,3.025495979618763,3.105858167067098,0.025874390627509625,2.6638496124309627,2.663849612430963,0.6659624031077407,0.6659624031077407,1.3319248062154814,fast_response
Chicago,access_based,3.0227360097423714,3.105858167067098,0.02676302421215193,2.663849612430963,2.663849612430963,1.0655398449723854,0.5327699224861925,1.0655398449723852,fast_response
New York,damage_based,1.3537406247402548,1.3877016328423497,0.024472845818113265,1.300239980807342,1.3002399808073424,0.5044931125532487,0.5211361843075828,0.27461068394651067,base
New York,exposure_based,1.3513682718302067,1.3877016328423497,0.026182401282992984,1.3002399808073422,1.3002399808073424,0.23404319654532157,0.4160767938583495,0.6501199904036711,base
New York,access_based,1.351001754767541,1.3877016328423497,0.026446519342661845,1.3002399808073426,1.3002399808073424,0.4035944900425992,0.34742412287172186,0.5492213678930216,base
New York,damage_based,1.3707211287913026,1.3877016328423497,0.012236422909056466,0.650119990403671,0.6501199904036712,0.25224655627662435,0.2605680921537914,0.13730534197325533,low_budget
New York,exposure_based,1.3692187493794266,1.3877016328423497,0.013319061551484768,0.6501199904036711,0.6501199904036712,0.11702159827266079,0.20803839692917475,0.32505999520183554,low_budget
New York,access_based,1.369271725388549,1.3877016328423497,0.013280886191689434,0.6501199904036713,0.6501199904036712,0.2017972450212996,0.17371206143586093,0.2746106839465108,low_budget
New York,damage_based,1.331099952672191,1.3877016328423497,0.04078807636352255,2.1670666346789043,2.1670666346789043,0.8408218542554149,0.8685603071793048,0.45768447324418454,high_budget
New York,exposure_based,1.3299576874478578,1.3877016328423497,0.04161121096054221,2.1670666346789043,2.1670666346789043,0.3900719942422028,0.6934613230972493,1.0835333173394521,high_budget
New York,access_based,1.3282976980803676,1.3877016328423497,0.04280742585876218,2.1670666346789043,2.1670666346789043,0.672657483404332,0.5790402047862032,0.9153689464883691,high_budget
New York,damage_based,1.2468852026892185,1.3877016328423497,0.10147457264621429,5.417666586697259,5.41766658669726,2.1020546356385363,2.1714007679482616,1.1442111831104613,very_high_budget
New York,exposure_based,1.2680449771317202,1.3877016328423497,0.0862265006243047,5.41766658669726,5.41766658669726,0.9751799856055068,1.7336533077431233,2.70883329334863,very_high_budget
New York,access_based,1.2581830879823737,1.3877016328423497,0.09333313573659974,5.41766658669726,5.41766658669726,1.6816437085108293,1.4476005119655078,2.2884223662209227,very_high_budget
New York,damage_based,1.3557474415465594,1.3877016328423497,0.023026701518207737,1.3002399808073422,1.3002399808073424,0.46808639309064315,0.4992921526300194,0.33286143508667965,delayed_response
New York,exposure_based,1.3518295259058073,1.3877016328423497,0.02585001421600086,1.300239980807342,1.3002399808073424,0.18853479721706456,0.3705683945300925,0.741136789060185,delayed_response
New York,access_based,1.3520309119221001,1.3877016328423497,0.025704892230462573,1.3002399808073424,1.3002399808073424,0.3453437389024302,0.31829874730163743,0.6365974946032749,delayed_response
New York,damage_based,1.351968204601417,1.3877016328423497,0.02575008012907065,1.3002399808073424,1.3002399808073424,0.6501199904036711,0.3900719942422026,0.26004799616146845,fast_response
New York,exposure_based,1.3505650810910474,1.3877016328423497,0.026761193380768433,1.3002399808073422,1.3002399808073424,0.32505999520183554,0.32505999520183554,0.6501199904036711,fast_response
New York,access_based,1.3497527167497614,1.3877016328423497,0.027346596123015154,1.3002399808073424,1.3002399808073424,0.520095992322937,0.26004799616146845,0.520095992322937,fast_response
Houston,damage_based,0.661066570694721,0.6796610664763543,0.027358483071621142,0.7262850754103907,0.7262850754103907,0.28179860925923156,0.29109505822448456,0.1533914079266745,base
Houston,exposure_based,0.6594195365032297,0.6796610664763543,0.0297818000346336,0.7262850754103909,0.7262850754103907,0.13073131357387036,0.23241122413132506,0.36314253770519545,base
Houston,access_based,0.6591298816903424,0.6796610664763543,0.030207975414060617,0.7262850754103907,0.7262850754103907,0.22543888740738527,0.19406337214965638,0.306782815853349,base
Houston,damage_based,0.6703638185855377,0.6796610664763543,0.01367924153581035,0.36314253770519533,0.36314253770519533,0.14089930462961578,0.14554752911224228,0.07669570396333725,low_budget
Houston,exposure_based,0.6693881271481877,0.6796610664763543,0.015114797411341696,0.36314253770519545,0.36314253770519533,0.06536565678693518,0.11620561206566253,0.18157126885259772,low_budget
Houston,access_based,0.6693217354185473,0.6796610664763543,0.01521248099646244,0.36314253770519533,0.36314253770519533,0.11271944370369263,0.09703168607482819,0.1533914079266745,low_budget
Houston,damage_based,0.6486702401736322,0.6796610664763543,0.045597471786035126,1.2104751256839847,1.2104751256839847,0.46966434876538604,0.4851584303741411,0.25565234654445756,high_budget
Houston,exposure_based,0.6471834923931589,0.6796610664763543,0.04778495589216647,1.2104751256839847,1.2104751256839847,0.21788552262311728,0.38735204021887515,0.6052375628419924,high_budget
