city,unit,t,intervention,u,e,cost,effective_cost,scenario
Chicago,140,1,S,0.0,0.0,0.6984293755817608,0.0,base
Chicago,627,1,R,0.0,0.0,1.3305432313783172,0.0,base
Chicago,627,1,C,0.0,0.0,0.9047693973372557,0.0,base
Chicago,627,1,S,0.0,0.0,0.691882480316725,0.0,base
Chicago,242,1,R,0.0,0.0,1.3409320271737193,0.0,base
Chicago,242,1,C,0.0,0.0,0.9118337784781291,0.0,base
Chicago,242,1,S,0.0,0.0,0.6972846541303341,0.0,base
Chicago,393,1,R,0.0,0.0,1.3212233432277032,0.0,base
Chicago,393,1,C,0.0,0.0,0.8984318733948381,0.0,base
Chicago,393,1,S,0.0,0.0,0.6870361384784057,0.0,base
Chicago,562,1,R,0.0,0.0,1.348883083481087,0.0,base
Chicago,562,1,C,0.0,0.0,0.917240496767139,0.0,base
Chicago,562,1,S,0.0,0.0,0.7014192034101653,0.0,base
Chicago,209,1,R,0.0,0.0,1.4148494788342247,0.0,base
Chicago,209,1,C,0.0,0.0,0.9620976456072728,0.0,base
Chicago,209,1,S,0.0,0.0,0.7357217289937968,0.0,base
Chicago,306,1,R,0.0,0.0,1.298886720725085,0.0,base
Chicago,306,1,C,0.0,0.0,0.8832429700930576,0.0,base
Chicago,306,1,S,0.0,0.0,0.6754210947770442,0.0,base
Chicago,88,1,R,0.0,0.0,1.3399509743508744,0.0,base
Chicago,88,1,C,0.0,0.0,0.9111666625585946,0.0,base
Chicago,88,1,S,0.0,0.0,0.6967745066624548,0.0,base
Chicago,289,1,R,0.0,0.0,1.3252330261495326,0.0,base
Chicago,289,1,C,0.0,0.0,0.9011584577816821,0.0,base
Chicago,289,1,S,0.0,0.0,0.689121173597757,0.0,base
Chicago,414,1,R,0.0,0.0,1.318657755915006,0.0,base
Chicago,414,1,C,0.0,0.0,0.8966872740222039,0.0,base
Chicago,414,1,S,0.0,0.0,0.6857020330758031,0.0,base
Chicago,325,1,R,0.0,0.0,1.3002659828285899,0.0,base
Chicago,325,1,C,0.0,0.0,0.884180868323441,0.0,base
Chicago,325,1,S,0.0,0.0,0.6761383110708667,0.0,base
Chicago,849,2,R,0.0,0.0,1.5000000000000002,0.0,base
Chicago,849,2,C,0.0,0.0,1.02,0.0,base
Chicago,849,2,S,0.41411738066930603,0.16668224571939566,0.7800000000000001,0.32301155692205874,base
Chicago,411,2,R,0.0,0.0,1.49372605438864,0.0,base
Chicago,411,2,C,0.0,0.0,1.015733716984275,0.0,base
Chicago,411,2,S,0.0,0.0,0.7767375482820927,0.0,base
