city,budget_intensity,delay_name,delay_R,delay_C,delay_S,baseline_objective,optimized_objective,recoverable_fraction,total_budget,weighted_b0
Chicago,0.06,fast,0,0,0,3.105858167067098,3.0485163682598406,0.01846246535507634,0.8879498708103211,0.3408760438661845
Chicago,0.06,base,2,0,1,3.105858167067098,3.0516962931680838,0.017438617923161592,0.8879498708103211,0.3408760438661845
Chicago,0.06,slow,4,2,2,3.105858167067098,3.055362101237633,0.016258329618814793,0.8879498708103211,0.3408760438661845
Chicago,0.12,fast,0,0,0,3.105858167067098,2.998227520739645,0.03465407643810403,1.7758997416206421,0.3408760438661845
Chicago,0.12,base,2,0,1,3.105858167067098,3.008506528694614,0.031344521589797614,1.7758997416206421,0.3408760438661845
Chicago,0.12,slow,4,2,2,3.105858167067098,3.0167647909034088,0.02868559070352561,1.7758997416206421,0.3408760438661845
Chicago,0.18,fast,0,0,0,3.105858167067098,2.9484766102094553,0.050672486762735836,2.663849612430963,0.3408760438661845
Chicago,0.18,base,2,0,1,3.105858167067098,2.965812740153491,0.04509073479226311,2.663849612430963,0.3408760438661845
Chicago,0.18,slow,4,2,2,3.105858167067098,2.978876515308976,0.04088456231020765,2.663849612430963,0.3408760438661845
Chicago,0.24,fast,0,0,0,3.105858167067098,2.899345329467577,0.06649139351863376,3.5517994832412842,0.3408760438661845
Chicago,0.24,base,2,0,1,3.105858167067098,2.923333580434646,0.05876784347973374,3.5517994832412842,0.3408760438661845
Chicago,0.24,slow,4,2,2,3.105858167067098,2.9418998048212917,0.052790035290192994,3.5517994832412842,0.3408760438661845
Chicago,0.3,fast,0,0,0,3.105858167067098,2.8522599627816367,0.0816515728163264,4.439749354051606,0.3408760438661845
Chicago,0.3,base,2,0,1,3.105858167067098,2.8821547261187965,0.07202628997046168,4.439749354051606,0.3408760438661845
Chicago,0.3,slow,4,2,2,3.105858167067098,2.9053831915352544,0.0645473697600154,4.439749354051606,0.3408760438661845
Chicago,0.5,fast,0,0,0,3.105858167067098,2.7166989969058295,0.1252984358035758,7.399582256752676,0.3408760438661845
Chicago,0.5,base,2,0,1,3.105858167067098,2.758636856377971,0.11179561074967326,7.399582256752676,0.3408760438661845
Chicago,0.5,slow,4,2,2,3.105858167067098,2.795048281083707,0.10007214407890774,7.399582256752676,0.3408760438661845
Chicago,0.75,fast,0,0,0,3.105858167067098,2.55790122017722,0.17642690599980637,11.099373385129013,0.3408760438661845
