city,status,objective,runtime_seconds,n_units,horizon,initial_mean_b,final_weighted_b,final_weighted_ell,total_intervention_cost,total_budget,mean_period_budget,total_u_C,total_e_C,total_cost_C,cap_utilization_C,total_u_R,total_e_R,total_cost_R,cap_utilization_R,total_u_S,total_e_S,total_cost_S,cap_utilization_S,baseline_objective,recoverable_fraction,scenario,optimized_objective,budget_intensity
Chicago,OPTIMAL,2.980987628663783,0.039999961853027344,35,12,0.3408760438661845,0.13655880709095577,0.1391511945869693,2.663849612430963,2.663849612430963,0.7458778914806697,0.7700178060926897,0.24754075345850385,0.7837789570343486,0.012722520052984913,0.9378762261564573,0.19324920754092695,1.3985627533693183,0.006641116793523507,0.6403484646839324,0.2504856049400985,0.4815079020272968,0.02267158940549811,3.105858167067098,0.040204842490032866,base,2.980987628663783,0.18
Chicago,OPTIMAL,3.037728474022215,0.0410001277923584,35,12,0.3408760438661845,0.13772958778560804,0.14105029152710116,1.3319248062154811,1.3319248062154816,0.37293894574033487,0.07155296118375376,0.022964635044186547,0.07267875522440577,0.0011822245879352798,0.707362322877087,0.1461636564834084,1.0586328884624028,0.005008844099627652,0.25719636221624664,0.10352153579203925,0.2006131625286724,0.009106058095466258,3.105858167067098,0.021935867441499668,low_budget,3.037728474022215,0.09
Chicago,OPTIMAL,2.91180979726593,0.042999982833862305,35,12,0.3408760438661845,0.13232551399909717,0.13306223543102422,4.439749354051603,4.439749354051606,1.2431298191344495,0.8800203498202168,0.2829037182382901,0.895747379467827,0.014540022917697045,1.8539461031304179,0.3808510742109836,2.7539212923158782,0.013127822474234397,1.0552306396903446,0.3834529110710904,0.7900806822678985,0.03736052651109121,3.105858167067098,0.0624781813473505,high_budget,2.91180979726593,0.3
Chicago,OPTIMAL,2.684102189014481,0.04500007629394531,35,12,0.3408760438661845,0.12238104277718709,0.11921369918407643,11.099373385129015,11.099373385129013,3.107824547836124,3.0602904726677655,0.9663126704560505,3.0441832703043374,0.050563255288914234,4.257415465750305,0.8322399935920994,6.226694129029106,0.030146828076100914,2.4862714274595272,0.9140535990936055,1.828495985795571,0.08802664184071472,3.105858167067098,0.13579370189041384,very_high_budget,2.684102189014481,0.75
Chicago,OPTIMAL,2.9938253030755537,0.037999868392944336,35,12,0.3408760438661845,0.13661127133104506,0.1376490792331311,2.663849612430964,2.663849612430963,0.7458778914806697,0.7700178060926897,0.24754075345850385,0.7837789570343486,0.012722520052984913,0.7516749409461817,0.155336368423711,1.1251018155660448,0.005322622468048055,1.0073366268818837,0.3604239333169413,0.7549688398305705,0.03566483509733723,3.105858167067098,0.0360714681628036,delayed_response,2.9938253030755537,0.18
Chicago,OPTIMAL,2.9662636822309993,0.04200005531311035,35,12,0.3408760438661845,0.13279472566122208,0.13666535582803144,2.6638496124309636,2.663849612430963,0.7458778914806697,0.10977807507666279,0.03523283157373049,0.1115052922409975,0.0018137941103310092,1.5609326759307929,0.3220623132889957,2.3316698414084267,0.011052989636133772,0.2829159984378713,0.11387368937124318,0.22067447878153965,0.010016663905012884,3.105858167067098,0.044945543977598756,fast_response,2.9662636822309993,0.18
New York,OPTIMAL,1.338098481640107,0.04199981689453125,35,12,0.1625164107325184,0.05443434750232785,0.0562926803549639,1.3002399808073424,1.3002399808073424,0.3640671946260559,0.1554093497248913,0.04968806355486341,0.15708570339525169,0.005364275391375892,0.36811991274603245,0.07582521680253275,0.5487020437866786,0.005445608900938886,0.8477068271896384,0.30347635067889156,0.5944522336254122,0.0627007624919675,1.3877016328423497,0.03574482441203408,base,1.338098481640107,0.18
New York,OPTIMAL,1.3600983829224866,0.0409998893737793,35,12,0.1625164107325184,0.05524175487997604,0.05778956591738566,0.6501199904036712,0.6501199904036712,0.18203359731302796,0.0,0.0,0.0,0.0,0.11703100338781817,0.02405416749868067,0.17396085505767456,0.0017312431402595467,0.6816925099510104,0.2519431300489043,0.47615913534599663,0.050421488642121835,1.3877016328423497,0.019891343547189577,low_budget,1.3600983829224866,0.09
New York,OPTIMAL,1.3103452055277778,0.03900003433227539,35,12,0.1625164107325184,0.053622898009263426,0.05476704568119626,2.1670666346789034,2.1670666346789043,0.6067786577100931,0.3677201863660687,0.11702101929927246,0.3694691205504785,0.012692623385449525,0.7516876967785545,0.15411882032914592,1.1138229071676942,0.011119738624755135,0.9767903137160185,0.34725523770880196,0.6837746069607309,0.07224844191453164,1.3877016328423497,0.055744279233949756,high_budget,1.3103452055277778,0.3
New York,OPTIMAL,1.2145703532038326,0.04399991035461426,35,12,0.1625164107325184,0.0509181344905149,0.04991729822573381,5.417666586697255,5.41766658669726,1.516946644275233,1.8281965801901776,0.5713307839793166,1.7945403326719216,0.06310398919416488,1.884496376851426,0.38027267457876157,2.735836459448587,0.027877411376681392,1.2647562488468276,0.4528468753182409,0.8872897945767468,0.09354788545478637,1.3877016328423497,0.12476117022641409,very_high_budget,1.2145703532038326,0.75
New York,OPTIMAL,1.3412387544910618,0.03699994087219238,35,12,0.1625164107325184,0.05519769459156908,0.056843701466679684,1.3002399808073428,1.3002399808073424,0.3640671946260559,0.4749630097480911,0.1507422929810514,0.47557452358991553,0.01639433141902811,0.12087393867491548,0.02484403177743171,0.17967319015796768,0.0017880917971252973,0.9220166890259566,0.3268004467421388,0.6449922670594594,0.06819710255714853,1.3877016328423497,0.033481893550936226,delayed_response,1.3412387544910618,0.18
New York,OPTIMAL,1.3342418171755717,0.03899979591369629,35,12,0.1625164107325184,0.054233477847343434,0.05644061859962876,1.3002399808073437,1.3002399808073424,0.3640671946260559,0.0,0.0,0.0,0.0,0.527738751171754,0.10875973912672796,0.7871434752222133,0.007806855161171255,0.7351876063294978,0.27154096588628746,0.5130965055851302,0.054378261461366914,1.3877016328423497,0.038523998532219994,fast_response,1.3342418171755717,0.18
Houston,OPTIMAL,0.6474040730662509,0.03299999237060547,35,12,0.09261884158709238,0.021241489696159178,0.021359271133173232,0.7262850754103907,0.7262850754103907,0.20335982111490938,0.3279199098447717,0.10304030703321175,0.3241572682974575,0.019852398879427115,0.21791223653196556,0.04402176901908655,0.31681220717729724,0.005653924950832175,0.11749089685045157,0.037184775519604654,0.08531559993563598,0.01524202412334412,0.6796610664763543,0.04746041078583041,base,0.6474040730662509,0.18
Houston,OPTIMAL,0.6624168263628808,0.03900003433227539,35,12,0.09261884158709238,0.021591664003377878,0.022275578677943844,0.36314253770519545,0.36314253770519533,0.10167991055745469,0.19724777035527546,0.06207913401915622,0.19538581704830424,0.011941456732603455,0.08108999173040916,0.01653193784327146,0.11928600199447267,0.0021039512732461043,0.06675060845765385,0.02541539154602143,0.04847071866241855,0.008659516708383587,0.6796610664763543,0.02537182275700267,low_budget,0.6624168263628808,0.09
