city,n_units,horizon,q_nnz,q_density,mean_b0,weighted_b0,max_b0,mean_a_retention,total_disturbance,total_budget,mean_period_budget,delay_R,delay_C,delay_S,q_row_sum_min,q_row_sum_max,pwl_enabled,scenario_type,event_id,event_start,event_end,event_total_precip,event_peak_precip,event_peak_positive_abnormal_deficit,city_signal_b0,city_signal_h_total,city_signal_h_peak,dynamic_a_retention,dynamic_rain_kernel_sum,h_observed_innovation_steps,h_rain_kernel_fallback_steps,h_signal_source,scenario
Austin,207,12,38249,0.8926462694578636,0.025855034316432,0.0262351176731196,0.035996406302758,0.7606880839803384,1.1330885753276978,1.4591431527365544,0.4085600827662353,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,478,2024-07-06 17:00:00,2024-07-06 22:00:00,1.27165423,1.01574858,0.0262351176731197,0.0262351176731197,0.0055543266008075,0.0055543266008075,0.7540815049632587,0.0004088333920429,12,0,observed_innovation,base
Austin,207,12,38249,0.8926462694578636,0.014881678981072,0.0151004479229751,0.0207188649032049,0.7606880839803384,5.926236609476864,2.0265174356757227,0.5674248819892024,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,479,2024-07-12 13:00:00,2024-07-12 13:00:00,0.01574804,0.01574804,0.0252175383196645,0.0151004479229751,0.0290500269435485,0.0138305698242881,0.7540815049632587,0.0004088333920429,12,0,observed_innovation,base
Austin,207,12,38249,0.8926462694578636,0.0161961172873791,0.0164342092020351,0.0225488781514824,0.7606880839803384,3.104785552584647,1.4529109119912302,0.4068150553575445,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,480,2024-07-12 15:00:00,2024-07-12 16:00:00,0.05118113,0.045275615,0.0164342092020351,0.0164342092020351,0.0152194571192603,0.0050970905195726,0.7540815049632587,0.0004088333920429,12,0,observed_innovation,base
Austin,207,12,38249,0.8926462694578636,0.0039155091973075,0.0039730693560233,0.0054513275141504,0.7606880839803384,1.9645559665953904,0.6243899333485636,0.1748291813375978,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,481,2024-07-13 14:00:00,2024-07-13 16:00:00,0.02755907,0.01574804,0.0057914245983745,0.0039730693560233,0.009630125748007,0.0039588624366233,0.7540815049632587,0.0004088333920429,12,0,observed_innovation,base
Austin,207,12,38249,0.8926462694578636,0.0423479203942733,0.0429704583315743,0.0589584577584687,0.7606880839803384,0.6446503318444067,2.1174007170282727,0.5928722007679166,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,482,2024-07-18 08:00:00,2024-07-18 11:00:00,0.5137798050000001,0.3956695050000001,0.0429704583315743,0.0429704583315743,0.0031600340558965,0.0031600340558965,0.7540815049632587,0.0004088333920429,12,0,observed_innovation,base
Austin,207,12,38249,0.8926462694578636,0.0213316108841351,0.0216451974053969,0.0296987164310067,0.7606880839803384,0.157936740431312,1.0290555435256374,0.2881355521871785,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,483,2024-07-21 17:00:00,2024-07-21 19:00:00,0.29133874,0.24015761,0.021645197405397,0.021645197405397,0.0007741956434154,0.0007741956434154,0.7540815049632587,0.0004088333920429,12,0,observed_innovation,base
Austin,207,12,38249,0.8926462694578636,0.0042323317337829,0.0042945493596542,0.0058924204405515,0.7606880839803384,5.477772658509188,1.429619698665506,0.4002935156263418,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,484,2024-07-22 14:00:00,2024-07-22 14:00:00,0.005905515,0.005905515,0.0170421089920781,0.0042945493596543,0.0268516857841712,0.0099424468772587,0.7540815049632587,0.0004088333920429,12,0,observed_innovation,base
Austin,207,12,38249,0.8926462694578636,0.0167952100808,0.0170421089920781,0.0233829589475511,0.7606880839803384,5.97995156739735,2.127726012177664,0.595763283409746,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,485,2024-07-22 23:00:00,2024-07-23 01:00:00,0.3543309,0.20078751,0.0305226229217658,0.0170421089920781,0.0293133341784244,0.0264915637630985,0.7540815049632587,0.0004088333920429,12,0,observed_innovation,base
Austin,207,12,38249,0.8926462694578636,0.0076536197623044,0.0077661322213661,0.0106556736022444,0.7606880839803384,11.23023503499655,2.883270223303553,0.8073156625249952,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,486,2024-07-23 03:00:00,2024-07-23 03:00:00,0.005905515,0.005905515,0.0305226229217658,0.0077661322213662,0.055049882724448,0.0264915637630985,0.7540815049632587,0.0004088333920429,12,0,observed_innovation,base
Austin,207,12,38249,0.8926462694578636,0.0278700855200743,0.0282797912480188,0.0388018406703725,0.7606880839803384,5.250283467599201,2.479363013307284,0.6942216437260395,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,487,2024-07-23 11:00:00,2024-07-23 13:00:00,0.4901577450000001,0.4409451200000001,0.0305226229217658,0.0282797912480188,0.0257365485460236,0.0108693616546787,0.7540815049632587,0.0004088333920429,12,0,observed_innovation,base
Austin,207,12,38249,0.8926462694578636,0.017796050335991,0.0180576621545909,0.0247763685260917,0.7606880839803384,0.550650395732485,0.952747383438592,0.2667692673628057,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,488,2024-07-23 15:00:00,2024-07-23 16:00:00,0.084645715,0.045275615,0.018057662154591,0.018057662154591,0.0026992524744833,0.0013979668862401,0.7540815049632587,0.0004088333920429,12,0,observed_innovation,base
Austin,207,12,38249,0.8926462694578636,0.0068749978973016,0.0069760641827317,0.0095716452978984,0.7606880839803384,0.5506503957324849,0.4440993661066357,0.124347822509858,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,489,2024-07-23 19:00:00,2024-07-23 19:00:00,0.12598432,0.12598432,0.002355466561708,0.0069760641827317,0.0026992524744833,0.0013979668862401,0.7540815049632587,0.0004088333920429,12,0,observed_innovation,base
Austin,207,12,38249,0.8926462694578636,0.0010817844960798,0.0010976873286753,0.0015061033675816,0.7606880839803384,5.13104410187875,1.2048690358276395,0.3373633300317391,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,490,2024-07-25 21:00:00,2024-07-25 21:00:00,0.005905515,0.005905515,0.0135856240244855,0.0010976873286753,0.0251520449200004,0.0087856598288638,0.7540815049632587,0.0004088333920429,12,0,observed_innovation,base
Austin,207,12,38249,0.8926462694578636,0.0015847103492151,0.0016080064710278,0.0022062967275306,0.7606880839803384,0.9100210458192716,0.2785626198240336,0.0779975335507294,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,491,2024-07-27 07:00:00,2024-07-27 07:00:00,0.005905515,0.005905515,0.002076205507701,0.0016080064710279,0.0044608640596582,0.0017330773532413,0.7540815049632587,0.0004088333920429,12,0,observed_innovation,base
Austin,207,12,38249,0.8926462694578636,0.0079676355049346,0.0080847641697245,0.0110928587987071,0.7606880839803384,5.092993234319648,1.5170161013642522,0.4247645083819906,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,492,2024-07-28 09:00:00,2024-07-28 11:00:00,0.076771695,0.05511814,0.0175851734335335,0.0080847641697245,0.0249655220386747,0.0114886023011546,0.7540815049632587,0.0004088333920429,12,0,observed_innovation,base
Chicago,882,12,337138,0.4333816671037273,0.0243793601405228,0.0250118564281654,0.0347297751470047,0.800062269565398,0.3777234887281092,4.923071804850587,1.3784601053581649,2,0,1,0.9999999999999982,1.000000000000002,True,observed_rainfall_event,145,2019-07-02 20:00:00,2019-07-02 21:00:00,1.16141795,0.7716539600000001,0.0250118564281655,0.0250118564281655,0.0004393686151223,0.0003084468410293,0.7942534536841872,0.0071298815569445,12,0,observed_innovation,base
Chicago,882,12,337138,0.4333816671037273,0.0076543828599114,0.0078529675936856,0.0109041006031962,0.800062269565398,0.3777234887281092,1.6040000635132552,0.4491200177837114,2,0,1,0.9999999999999982,1.000000000000002,True,observed_rainfall_event,146,2019-07-02 23:00:00,2019-07-02 23:00:00,0.0393701,0.0393701,0.002347054095767,0.0078529675936856,0.0004393686151223,0.0003084468410293,0.7942534536841872,0.0071298815569445,12,0,observed_innovation,base
Chicago,882,12,337138,0.4333816671037273,0.0073620850043001,0.0075530863844713,0.0104877058027248,0.800062269565398,0.2651705489895367,1.5206691426260108,0.425787359935283,2,0,1,0.9999999999999982,1.000000000000002,True,observed_rainfall_event,147,2019-07-03 02:00:00,2019-07-03 03:00:00,0.0314960799999999,0.01968505,0.0006227181642452,0.0075530863844713,0.0003084468410293,0.0003084468410293,0.7942534536841872,0.0071298815569445,12,0,observed_innovation,base
Chicago,882,12,337138,0.4333816671037273,0.0026325364716784,0.0027008348000933,0.003750196855073,0.800062269565398,0.5694222126721966,0.6505468606558396,0.1821531209836351,2,0,1,0.9999999999999982,1.000000000000002,True,observed_rainfall_event,149,2019-07-13 20:00:00,2019-07-13 20:00:00,0.14173236,0.14173236,0.0027008348000933,0.0027008348000933,0.0006623529022357,0.0005894065277523,0.7942534536841872,0.0071298815569445,12,0,observed_innovation,base
