formula_id,heldout_city,model_type,formula,complexity,n_tokens,mean_spearman,global_spearman,mean_top_1pct_value_capture,mean_top_5pct_value_capture,mean_top_10pct_value_capture,positive_score_share
R5_log_horizon_efficiency,New York,leave_city_log_linear,linear(log active horizon + log eta/cost),3,50454,0.1052016435,0.05956081387,0.003735575533,0.03552302294,0.08425047285,0.994767511
R5_log_horizon_efficiency,Philadelphia,leave_city_log_linear,linear(log active horizon + log eta/cost),3,33719,0.1287350855,0.1262910997,0.004714477024,0.03707559402,0.09013975757,0.9817017112
R5_log_horizon_efficiency,San Antonio,leave_city_log_linear,linear(log active horizon + log eta/cost),3,25076,0.2435014477,0.2357758501,0.005096358215,0.03946153264,0.09201118203,0.978983889
R6_log_exposure_efficiency,Austin,leave_city_log_linear,linear(log exposure + log eta/cost),3,18007,0.9355255313,0.7142237323,0.02812960565,0.1059230147,0.1882690131,0.9951685456
R6_log_exposure_efficiency,Chicago,leave_city_log_linear,linear(log exposure + log eta/cost),3,26081,0.8898963796,0.4165182641,0.02575820417,0.1101882699,0.194156493,0.9836279284
R6_log_exposure_efficiency,Dallas,leave_city_log_linear,linear(log exposure + log eta/cost),3,12000,0.7806863079,0.7037223869,0.0168170077,0.08289403152,0.1576349475,0.98875
R6_log_exposure_efficiency,Houston,leave_city_log_linear,linear(log exposure + log eta/cost),3,4800,0.9164062071,0.7177455486,0.0296138715,0.116008276,0.2027815314,0.985625
R6_log_exposure_efficiency,New York,leave_city_log_linear,linear(log exposure + log eta/cost),3,50454,0.6973438067,0.4231918031,0.01861443256,0.08776642248,0.166287557,0.9803979863
R6_log_exposure_efficiency,Philadelphia,leave_city_log_linear,linear(log exposure + log eta/cost),3,33719,0.8906040213,0.5839264498,0.02526859757,0.1071815723,0.1889485073,0.983570094
R6_log_exposure_efficiency,San Antonio,leave_city_log_linear,linear(log exposure + log eta/cost),3,25076,0.9068473838,0.6905850203,0.02572997221,0.1060588254,0.1890242759,0.9925027915
R7_minimal_log_law,Austin,leave_city_log_linear,linear(log horizon + log exposure + log eta/cost + delay),4,18007,0.9392648999,0.7166253925,0.02812962985,0.1075890916,0.1882499473,0.9951685456
R7_minimal_log_law,Chicago,leave_city_log_linear,linear(log horizon + log exposure + log eta/cost + delay),4,26081,0.8922930267,0.4175264346,0.02659745473,0.1108206762,0.1957679515,0.9836662705
R7_minimal_log_law,Dallas,leave_city_log_linear,linear(log horizon + log exposure + log eta/cost + delay),4,12000,0.8428819399,0.7498300164,0.01731509482,0.08422409303,0.1642921131,0.9925833333
R7_minimal_log_law,Houston,leave_city_log_linear,linear(log horizon + log exposure + log eta/cost + delay),4,4800,0.9255197434,0.7245767052,0.02997594664,0.1175203391,0.2019609248,0.98625
R7_minimal_log_law,New York,leave_city_log_linear,linear(log horizon + log exposure + log eta/cost + delay),4,50454,0.7746208541,0.4076968199,0.01954619532,0.09193953385,0.1709633542,0.9804178063
R7_minimal_log_law,Philadelphia,leave_city_log_linear,linear(log horizon + log exposure + log eta/cost + delay),4,33719,0.8962626004,0.584316952,0.02619644477,0.1089521603,0.1906671741,0.9824134761
R7_minimal_log_law,San Antonio,leave_city_log_linear,linear(log horizon + log exposure + log eta/cost + delay),4,25076,0.9110726039,0.6935616272,0.02636195285,0.1064557394,0.1904874941,0.9917052161
R8_minimal_plus_intervention,Austin,leave_city_log_linear,minimal log law + intervention type,7,18007,0.9545163914,0.7230735577,0.02811633889,0.1070332653,0.1898475303,0.9955572833
R8_minimal_plus_intervention,Chicago,leave_city_log_linear,minimal log law + intervention type,7,26081,0.9070716538,0.4183169547,0.02751131829,0.1120181662,0.1976096663,0.983896323
R8_minimal_plus_intervention,Dallas,leave_city_log_linear,minimal log law + intervention type,7,12000,0.846572488,0.7485199482,0.01679897411,0.0858747039,0.1622928637,0.9928333333
R8_minimal_plus_intervention,Houston,leave_city_log_linear,minimal log law + intervention type,7,4800,0.9213293696,0.7238633035,0.02997594664,0.1175337186,0.2070069281,0.9866666667
R8_minimal_plus_intervention,New York,leave_city_log_linear,minimal log law + intervention type,7,50454,0.7536843466,0.3755540277,0.02422458751,0.1005402601,0.1785555737,0.980794387
R8_minimal_plus_intervention,Philadelphia,leave_city_log_linear,minimal log law + intervention type,7,33719,0.9154710564,0.5967129389,0.02672834842,0.1101637306,0.1937735621,0.9822651917
R8_minimal_plus_intervention,San Antonio,leave_city_log_linear,minimal log law + intervention type,7,25076,0.9498887709,0.7136266182,0.02649787696,0.1071175732,0.1933879545,0.9914659435
R9_augmented_structure,Austin,leave_city_log_linear,minimal log law + ranks + scarcity,10,18007,0.9367807733,0.7151121805,0.02911180322,0.1061228954,0.1913848761,0.9941689343
R9_augmented_structure,Chicago,leave_city_log_linear,minimal log law + ranks + scarcity,10,26081,0.9006449583,0.4205685848,0.02659717947,0.1106046664,0.1954636533,0.9839730072
R9_augmented_structure,Dallas,leave_city_log_linear,minimal log law + ranks + scarcity,10,12000,0.8474595494,0.7510834221,0.01696116696,0.08389062736,0.169870124,0.9925833333
R9_augmented_structure,Houston,leave_city_log_linear,minimal log law + ranks + scarcity,10,4800,0.9228816531,0.7228474712,0.02997594664,0.1165701543,0.2034687036,0.9860416667
R9_augmented_structure,New York,leave_city_log_linear,minimal log law + ranks + scarcity,10,50454,0.7292593319,0.4091793224,0.01928499884,0.08629398454,0.1577427205,0.9830538709
R9_augmented_structure,Philadelphia,leave_city_log_linear,minimal log law + ranks + scarcity,10,33719,0.8965330167,0.5861435106,0.02618931893,0.1082556348,0.1890831043,0.9830066135
R9_augmented_structure,San Antonio,leave_city_log_linear,minimal log law + ranks + scarcity,10,25076,0.8997215184,0.6910905821,0.02599679261,0.1064335902,0.1873065948,0.9901499442
