model_id,family,description,heldout_city,city,event_id,n_tokens,total_value,spearman,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Austin,Austin,478,1200,55.569172329355204,0.7676952887880477,0.4340402552516618,0.39722504300062017,0.08333333333333333,0.5659597447483382,0.7513734493103754,0.661341657842139,0.2833333333333333,0.24862655068962458,0.7950174525718954,0.7207365468657657,0.35,0.20498254742810462
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Austin,Austin,479,1200,48.133556549231045,0.7714007243400913,0.4367694823330759,0.40487687503751124,0.08333333333333333,0.5632305176669241,0.7542796965928414,0.6682437450925168,0.2833333333333333,0.24572030340715856,0.8117412916765128,0.7361337004940696,0.36666666666666664,0.18825870832348723
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Austin,Austin,480,1200,63.25149797860775,0.7706896547602026,0.4410571538622567,0.42258239521180496,0.08333333333333333,0.5589428461377433,0.7627641746466246,0.6819653378632827,0.2833333333333333,0.2372358253533754,0.8142588340449217,0.7437176962064466,0.38333333333333336,0.18574116595507828
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Austin,Austin,481,1200,157.37377520542103,0.7731354405561415,0.5760740140963595,0.5017800601274497,0.25,0.4239259859036405,0.7395840199602568,0.6686121143961006,0.3,0.2604159800397432,0.8290221138876815,0.7558207873811181,0.475,0.17097788611231846
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Austin,Austin,482,1200,39.06594002771434,0.780506361962533,0.40843411095713855,0.3836805530333318,0.0,0.5915658890428614,0.7587629713257691,0.6680038221014897,0.2833333333333333,0.2412370286742309,0.8211513944580794,0.7409872358869498,0.38333333333333336,0.1788486055419206
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Austin,Austin,483,1200,80.783353846222,0.7652087866609022,0.48139890573207295,0.45356394236641623,0.08333333333333333,0.5186010942679271,0.7587604521690511,0.6842479216484141,0.2833333333333333,0.24123954783094892,0.8093730176589706,0.7434920874291783,0.36666666666666664,0.19062698234102937
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Austin,Austin,484,1200,68.15282726513195,0.7874343414906307,0.4583625502941467,0.42554318789019147,0.08333333333333333,0.5416374497058534,0.7532499381800032,0.673106846647486,0.2833333333333333,0.2467500618199968,0.8115824949699669,0.7396157059636117,0.36666666666666664,0.18841750503003307
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Austin,Austin,485,1207,71.22528468484174,0.7510083786430197,0.45462952732289186,0.41334144152764457,0.07692307692307693,0.5453704726771081,0.7473968058913014,0.6648654345509986,0.2786885245901639,0.2526031941086986,0.8008510207257192,0.7285729826140784,0.34710743801652894,0.19914897927428077
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Austin,Austin,486,1200,41.3002648955538,0.7574816548575959,0.3818640834435432,0.3569015868593291,0.0,0.6181359165564568,0.7358646254140003,0.6426327517969788,0.2833333333333333,0.26413537458599967,0.7926948772780481,0.7124742561965167,0.35,0.2073051227219519
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Austin,Austin,487,1200,33.355703233747,0.7651156622095406,0.44159599926823623,0.397389644073031,0.08333333333333333,0.5584040007317638,0.7306929324508098,0.6468543006408148,0.26666666666666666,0.2693070675491902,0.8020896936418,0.7244545861137226,0.35833333333333334,0.19791030635819995
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Austin,Austin,488,1200,92.444509335744,0.7876533952669823,0.45076080283925424,0.43220577430188295,0.08333333333333333,0.5492391971607458,0.7292658802428031,0.6600900014293257,0.26666666666666666,0.27073411975719686,0.806876614290277,0.7372276682446091,0.35833333333333334,0.19312338570972298
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Austin,Austin,489,1200,194.6619118285222,0.7474574254172843,0.5758172462800872,0.49681875550350507,0.25,0.42418275371991276,0.7422337790464884,0.6680125014690333,0.3,0.25776622095351165,0.8249144075755618,0.7513311813964167,0.4666666666666667,0.17508559242443822
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Austin,Austin,490,1200,109.87994490279009,0.7867576530520414,0.4911028919034121,0.4454138918415816,0.16666666666666666,0.5088971080965878,0.7729285242660201,0.6884352259481415,0.2833333333333333,0.2270714757339799,0.8201993514686602,0.7482438037562825,0.38333333333333336,0.1798006485313398
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Austin,Austin,491,1200,331.85167937204,0.7561770591222708,0.5657180338328737,0.4883012254235003,0.25,0.43428196616712633,0.7615865197005132,0.6803645486567671,0.3,0.23841348029948684,0.8353391598182596,0.7592471680001837,0.48333333333333334,0.16466084018174043
