comparison,base_model,next_model,delta_top5_value_capture,delta_top5_ndcg,delta_top5_precision,delta_event_spearman
scalar_od_over_local,O0_local_action_no_od,O1_scalar_od_graph,0.30840858398434,0.3313454025378201,0.618602147735875,0.21068268782145105
message_od_over_local,O0_local_action_no_od,O2_message_only_od,0.2295247593663613,0.2666634322028427,0.3890012449310363,0.11313303110121886
message_over_scalar_od,O1_scalar_od_graph,O3_scalar_plus_message,0.003913938310696974,0.015794900059078465,-0.008419626359969179,0.0005848783061921381
message_over_factorized,O4_factorized_low_dim,O5_factorized_plus_message,-0.006070759104400136,-0.008175652540397649,-0.04994293071292388,0.01890128356834353
factorized_over_local,O0_local_action_no_od,O4_factorized_low_dim,0.2834362962183371,0.3170328394833598,0.5288097063759072,0.15467240721100683
full_reference_over_scalar_message,O3_scalar_plus_message,O6_full_interaction_reference,-0.015255948984460144,-0.020057033951109138,-0.027423423863908725,-0.01096902948051659
