city,event_id,event_start,screen_mode,screen_mode_label,strategy,strategy_label,requested_screen_fraction,n_units,active_unit_count,active_unit_fraction,full_action_tokens,active_action_tokens,active_action_token_fraction,full_estimated_total_variables,restricted_estimated_total_variables,restricted_total_variable_fraction,restricted_variable_reduction,full_estimated_total_constraints,restricted_estimated_total_constraints,restricted_constraint_fraction,small_signal_value_capture,finite_value_capture,footprint_mass_capture,origin_exposure_capture,destination_importance_capture,local_need_capture,positive_footprint_unit_share,positive_value_unit_share,top5_small_units_share,top5_finite_units_share,top5_footprint_units_share,footprint_blend,footprint_relative_max,footprint_relative_gini,hybrid_relative_max,hybrid_relative_gini,od_footprint_relative_cosine,od_hybrid_relative_cosine
New York,112,2019-06-19 07:00:00,unit_block,active units with all actions,finite_value_only,finite value only,0.01,1940,20,0.010309278350515464,69840,720,0.010309278350515464,475300,129700,0.2728802861350726,0.7271197138649275,550973,130493,0.23684100672809738,0.031225238146173142,0.07544473645223759,0.1552933423267682,0.023964941823742134,0.03647543225539307,0.020531040016149513,0.013726835964310227,0.010309278350515464,0.1134020618556701,0.20618556701030927,0.12371134020618557,0.5,17.452751744411987,0.6929920579978646,9.295737907715509,0.3486069779830636,0.410089891835713,0.6711295232821788
New York,112,2019-06-19 07:00:00,token_columns,active action columns,finite_value_only,finite value only,0.01,1940,105,0.05412371134020619,69840,641,0.009178121420389462,475300,129305,0.2720492320639596,0.7279507679360404,550973,129959,0.23587181223036338,0.03915983876752996,0.10763953701319232,0.4053211319062337,0.12287010544296778,0.14928099468049416,0.07791413054802512,0.06863417982155114,0.05412371134020619,0.5463917525773195,0.865979381443299,0.3917525773195876,0.5,17.452751744411987,0.6929920579978646,9.295737907715509,0.3486069779830636,0.410089891835713,0.6711295232821788
New York,113,2019-06-19 10:00:00,unit_block,active units with all actions,finite_value_only,finite value only,0.01,1940,20,0.010309278350515464,69840,720,0.010309278350515464,475300,129700,0.2728802861350726,0.7271197138649275,550973,130493,0.23684100672809738,0.034896083721935284,0.07765699438231359,0.12918797566819584,0.024578361377819467,0.04223332897436289,0.0177078847683493,0.013717421124828532,0.010309278350515464,0.13402061855670103,0.20618556701030927,0.10309278350515463,0.5,17.587509122087564,0.7078595237005096,9.363116596553297,0.3536240963415225,0.4022784271906411,0.66530841181084
New York,113,2019-06-19 10:00:00,token_columns,active action columns,finite_value_only,finite value only,0.01,1940,145,0.07474226804123711,69840,641,0.009178121420389462,475300,129305,0.2720492320639596,0.7279507679360404,550973,129959,0.23587181223036338,0.03876519273224629,0.11861892427700903,0.5333100706049783,0.1565985542832256,0.20121510227035544,0.10036319800482452,0.09602194787379972,0.07474226804123711,0.6907216494845361,1.0,0.4639175257731959,0.5,17.587509122087564,0.7078595237005096,9.363116596553297,0.3536240963415225,0.4022784271906411,0.66530841181084
New York,115,2019-06-20 01:00:00,unit_block,active units with all actions,finite_value_only,finite value only,0.01,1940,20,0.010309278350515464,69840,720,0.010309278350515464,475300,129700,0.2728802861350726,0.7271197138649275,550973,130493,0.23684100672809738,0.03403543238943118,0.0707984345602874,0.1462042864120532,0.023354677658550517,0.040757808902515624,0.012260907322562709,0.013726835964310227,0.010309278350515464,0.12371134020618557,0.20618556701030927,0.10309278350515463,0.5,17.636422617120584,0.6957092499764326,9.387573344069807,0.35256328563345884,0.4139253610762857,0.672650022177561
New York,115,2019-06-20 01:00:00,token_columns,active action columns,finite_value_only,finite value only,0.01,1940,84,0.04329896907216495,69840,641,0.009178121420389462,475300,129305,0.2720492320639596,0.7279507679360404,550973,129959,0.23587181223036338,0.03049634153639623,0.09665118366377683,0.3433633111005039,0.1006586205653068,0.12702994177964363,0.04747272658951799,0.05628002745367193,0.04329896907216495,0.44329896907216493,0.7628865979381443,0.30927835051546393,0.5,17.636422617120584,0.6957092499764326,9.387573344069807,0.35256328563345884,0.4139253610762857,0.672650022177561
New York,116,2019-06-20 04:00:00,unit_block,active units with all actions,finite_value_only,finite value only,0.01,1940,20,0.010309278350515464,69840,720,0.010309278350515464,475300,129700,0.2728802861350726,0.7271197138649275,550973,130493,0.23684100672809738,0.032970105498819686,0.072052800259979,0.13837449995547893,0.022545952690945198,0.0402877781207827,0.012211094234522065,0.013726835964310227,0.010309278350515464,0.1134020618556701,0.20618556701030927,0.1134020618556701,0.5,17.45809194970101,0.7046492306103735,9.29840801036002,0.35602197750972486,0.409042123339284,0.668540291929829
New York,116,2019-06-20 04:00:00,token_columns,active action columns,finite_value_only,finite value only,0.01,1940,107,0.05515463917525773,69840,641,0.009178121420389462,475300,129305,0.2720492320639596,0.7279507679360404,550973,129959,0.23587181223036338,0.03529977411015928,0.10772894343904224,0.42087156927026004,0.12553281820314735,0.14675399827102834,0.060195522657337526,0.07000686341798215,0.05515463917525773,0.5154639175257731,0.8556701030927835,0.41237113402061853,0.5,17.45809194970101,0.7046492306103735,9.29840801036002,0.35602197750972486,0.409042123339284,0.668540291929829
New York,117,2019-06-20 07:00:00,unit_block,active units with all actions,finite_value_only,finite value only,0.01,1940,20,0.010309278350515464,69840,720,0.010309278350515464,475300,129700,0.2728802861350726,0.7271197138649275,550973,130493,0.23684100672809738,0.034913361190750856,0.0756408613476191,0.11202341956151327,0.0240865370256843,0.04257020008652488,0.011629456557578811,0.013764624913971095,0.010309278350515464,0.13402061855670103,0.20618556701030927,0.1134020618556701,0.5,17.321119486279464,0.7193024302240911,9.229921778649247,0.3620796766728789,0.40410356151573273,0.6644564468513166
New York,117,2019-06-20 07:00:00,token_columns,active action columns,finite_value_only,finite value only,0.01,1940,158,0.08144329896907217,69840,641,0.009178121420389462,475300,129305,0.2720492320639596,0.7279507679360404,550973,129959,0.23587181223036338,0.038576456591245874,0.11785010010271679,0.5660702284212782,0.16951274592539978,0.21120357466902984,0.08736683616185567,0.10461114934618032,0.08144329896907217,0.711340206185567,1.0,0.5154639175257731,0.5,17.321119486279464,0.7193024302240911,9.229921778649247,0.3620796766728789,0.40410356151573273,0.6644564468513166
