city,event_id,unit,origin_exposure,destination_importance,b0,h_total,h_peak,a_retention,local_need,out_degree,in_degree,small_signal_value,finite_value,max_small_signal_value,max_finite_value,positive_action_tokens,footprint_weight,od_structure_score,need_structure_score,small_signal_rank,finite_value_rank,footprint_rank,od_structure_rank,need_structure_rank,hybrid_screen_score,n_units
New York,112,1565,0.0019535158816445485,0.003720663615497284,0.0009196150971318339,0.011400796422970367,0.011400796422970367,0.9362567388997339,0.02,1150.0,1581.0,1.5113089255527574,0.025804566432941243,0.07706984269569671,0.0020350943835755423,33,0.0006619751472110377,0.0028370897485709163,0.00012578730066772713,1.0,0.9979381443298969,0.8896907216494845,1.0,0.9644329896907217,0.9719072164948453,1940
New York,112,1286,0.0012133590034249906,0.003819148903506908,0.0006521710612880133,0.008085197302531091,0.008085197302531091,0.9371352768402809,0.02,517.0,803.0,1.4008042757359578,0.01848386802437213,0.07931028498917916,0.0014849008513973516,33,0.00031032552970291767,0.002516253953465949,0.00012583612679941734,0.9994845360824742,0.993298969072165,0.7123711340206186,0.9989690721649485,0.9654639175257732,0.9260824742268041,1940
New York,112,1695,0.001033617519917935,0.0037289982403161098,0.0007868939963324909,0.009755405589386737,0.009755405589386737,0.9363253727688736,0.02,411.0,1571.0,1.3395519718734508,0.020448181546575597,0.07725771368358132,0.0017456020387014487,33,0.0004894368174864278,0.0023813078801170223,0.0001257914327314822,0.9989690721649485,0.9963917525773196,0.8329896907216495,0.9979381443298969,0.9649484536082474,0.9566752577319587,1940
New York,112,1910,0.000834172983074143,0.003689302647266453,0.0006338268851400125,0.007857778006716198,0.007857778006716198,0.9359642996771963,0.02,314.0,1340.0,1.2897612841540045,0.01615808860052064,0.07635615278209404,0.0013897535449614745,33,0.0002928098859592167,0.002261737815170298,0.00012577175281488823,0.9984536082474227,0.9891752577319588,0.6958762886597938,0.9974226804123711,0.9639175257731959,0.9203350515463918,1940
New York,112,1605,0.0008573690678443911,0.00365802858140626,0.0007975670114987202,0.009887722765897826,0.009887722765897826,0.9356760628345003,0.02,566.0,1513.0,1.2847008997720226,0.02007201575327075,0.07564644006595225,0.0017326364142011517,33,0.0005067650496740288,0.0022576988246253257,0.0001257562480457086,0.9979381443298969,0.9948453608247423,0.8371134020618557,0.9969072164948454,0.9634020618556701,0.9568041237113403,1940
New York,112,1224,0.002166779467392212,0.0027416060809931694,0.0003992768171080139,0.00494997713984622,0.00494997713984622,0.9271509259090708,0.02,1231.0,1147.0,1.2591178014641147,0.012368679545441496,0.05537133096192401,0.0009843061509977953,33,3.581802869087235e-05,0.002454192774192691,0.00012530191251404366,0.9974226804123711,0.9778350515463917,0.327319587628866,0.9984536082474227,0.9608247422680413,0.8251546391752578,1940
New York,112,1166,0.0031515452508165875,0.001977066977457089,0.0007511823848639521,0.00931267600223789,0.00931267600223789,0.9196447501787166,0.02,1471.0,1358.0,1.2223516361307707,0.0177017716096175,0.06010738017245276,0.0015088422132361733,33,0.0005325840343172304,0.0025643061141368386,0.00012492287633812356,0.9969072164948454,0.9922680412371134,0.8489690721649484,0.9994845360824742,0.9448453608247422,0.9591494845360824,1940
New York,112,945,0.0010406938293412433,0.003204973940816914,0.000432417813731991,0.0053608378977249545,0.0053608378977249545,0.9315122917596451,0.02,556.0,1510.0,1.1827212548869794,0.010907491110562908,0.06550445302926504,0.0008142125575814232,33,5.541561129595471e-05,0.002122833885079079,0.00012553163677643853,0.9963917525773196,0.9716494845360825,0.3525773195876289,0.9958762886597938,0.9623711340206186,0.8291752577319588,1940
New York,112,175,0.0007887301376052019,0.003343291621168786,0.0005425711253938478,0.006726447798529794,0.006726447798529794,0.932777848161478,0.02,457.0,1373.0,1.1764948153481412,0.012816604454810195,0.06857294880312052,0.001069173710344659,33,0.0001915217741550109,0.002066010879386994,0.00012560021064581976,0.9958762886597938,0.979381443298969,0.5592783505154639,0.9948453608247423,0.9628865979381444,0.8824484536082474,1940
New York,112,717,0.0014330061755740552,0.0027246237762818645,0.0007695406152627184,0.00954026953361324,0.00954026953361324,0.9271142000287568,0.02,949.0,1698.0,1.1130824098718723,0.016697474532595447,0.055022930360193636,0.001218339664467853,33,0.0005163334172963293,0.00207881497592796,0.0001252934931829639,0.9953608247422681,0.9896907216494846,0.8412371134020619,0.9953608247422681,0.9603092783505155,0.9554123711340207,1940
New York,112,1048,0.0009894271775163048,0.0029451262657042465,0.0006238472254736193,0.007734056605684473,0.007734056605684473,0.9291415148183191,0.02,356.0,1352.0,1.0945007210739357,0.01370030340444064,0.05980252907080916,0.0010729846128247008,33,0.000316460802762918,0.0019672767216102754,0.00012540281188227565,0.9948453608247423,0.984020618556701,0.715979381443299,0.993298969072165,0.9618556701030928,0.9221907216494846,1940
New York,112,731,0.0014572016727916126,0.0025588492472451594,0.0025238831861520246,0.031289480229740124,0.031289480229740124,0.9255906038645393,0.033813363415892146,1094.0,1831.0,1.067879589907943,0.04116130195052533,0.05146603158005938,0.0036656041835678938,33,0.00280029682656316,0.002008025460018386,0.00021169077138418212,0.9943298969072165,0.9994845360824742,0.9829896907216494,0.9943298969072165,0.984020618556701,0.9927835051546391,1940
