city,event_id,lambda0_fraction,lambda0_top5_footprint_mass,best_lambda_loss_le_0p001,best_fraction_loss_le_0p001,best_delta_fraction_loss_le_0p001,best_top5_footprint_loss_le_0p001,best_delta_top5_footprint_loss_le_0p001,best_lambda_loss_le_0p0025,best_fraction_loss_le_0p0025,best_delta_fraction_loss_le_0p0025,best_top5_footprint_loss_le_0p0025,best_delta_top5_footprint_loss_le_0p0025,best_lambda_loss_le_0p005,best_fraction_loss_le_0p005,best_delta_fraction_loss_le_0p005,best_top5_footprint_loss_le_0p005,best_delta_top5_footprint_loss_le_0p005,best_lambda_loss_le_0p01,best_fraction_loss_le_0p01,best_delta_fraction_loss_le_0p01,best_top5_footprint_loss_le_0p01,best_delta_top5_footprint_loss_le_0p01,best_lambda_loss_le_0p02,best_fraction_loss_le_0p02,best_delta_fraction_loss_le_0p02,best_top5_footprint_loss_le_0p02,best_delta_top5_footprint_loss_le_0p02,best_lambda_loss_le_0p05,best_fraction_loss_le_0p05,best_delta_fraction_loss_le_0p05,best_top5_footprint_loss_le_0p05,best_delta_top5_footprint_loss_le_0p05
Austin,484,0.9869312649,0.022394934,0.25,0.9867098502,-0.0002214147546,0.1072732505,0.08487831655,0.25,0.9867098502,-0.0002214147546,0.1072732505,0.08487831655,0.25,0.9867098502,-0.0002214147546,0.1072732505,0.08487831655,0.5,0.9775586561,-0.009372608795,0.1113296001,0.08893466606,0.75,0.9696007733,-0.01733049162,0.1127242387,0.09032930469,0.75,0.9696007733,-0.01733049162,0.1127242387,0.09032930469
Chicago,157,0.9967472545,0.07917939341,0.1,0.9962653537,-0.0004819007695,0.09275518953,0.01357579612,0.25,0.994950828,-0.001796426519,0.1468611147,0.06768172131,0.35,0.9934995083,-0.003247746204,0.1495533821,0.07037398874,0.75,0.9873437055,-0.009403548994,0.153950855,0.07477146164,2,0.9768613382,-0.01988591629,0.1594412735,0.08026188013,8,0.9664444224,-0.03030283208,0.161174649,0.08199525556
Dallas,64,0.9999894263,0.02186133548,0,0.9999894263,0,0.02186133548,0,0,0.9999894263,0,0.02186133548,0,0,0.9999894263,0,0.02186133548,0,0.25,0.993275608,-0.006713818322,0.02276525167,0.0009039161886,0.5,0.9805849363,-0.01940448995,0.02802129119,0.006159955702,0.75,0.9663259463,-0.03366347996,0.03051902008,0.008657684592
Houston,52,0.9773306349,0.04394113757,0.2,0.9768832369,-0.0004473980267,0.04599014351,0.002049005946,0.2,0.9768832369,-0.0004473980267,0.04599014351,0.002049005946,0.2,0.9768832369,-0.0004473980267,0.04599014351,0.002049005946,0.5,0.9701943792,-0.007136255708,0.04756557286,0.003624435296,1.5,0.9579459435,-0.0193846914,0.04883288724,0.004891749672,8,0.9382152749,-0.03911535999,0.05995722596,0.01601608839
Philadelphia,641,0.9028513212,0.03526710933,0.02,0.9037412579,0.0008899367611,0.03889939843,0.003632289096,0.02,0.9037412579,0.0008899367611,0.03889939843,0.003632289096,0.02,0.9037412579,0.0008899367611,0.03889939843,0.003632289096,0.35,0.8967986326,-0.006052688569,0.06584945548,0.03058234614,0.5,0.8916408685,-0.01121045271,0.06587193462,0.03060482529,1,0.864930275,-0.0379210462,0.1069691138,0.07170200448
San Antonio,499,0.9375094613,0.08534526252,0.25,0.9403670184,0.002857557082,0.09827166721,0.01292640469,0.25,0.9403670184,0.002857557082,0.09827166721,0.01292640469,0.25,0.9403670184,0.002857557082,0.09827166721,0.01292640469,0.25,0.9403670184,0.002857557082,0.09827166721,0.01292640469,0.75,0.9239795572,-0.01352990407,0.1015756705,0.01623040793,2,0.8976522337,-0.03985722756,0.1100852226,0.02473996008
