city,event_id,event_start,policy_scenario,budget_scale,delay_add_hours,policy_score,allocated_cost,value_proxy,selected_action_count,baseline_objective,optimized_objective,lp_recoverable_fraction,replay_objective,replay_gain,replay_recoverable_fraction,replay_fraction_of_base_lp_gain,objective_gap_to_base_lp,event_peak_positive_abnormal_deficit,event_total_precip,oracle_replay_gain,oracle_replay_recoverable_fraction,law_replay_gain,law_replay_recoverable_fraction,law_allocated_cost,relative_to_oracle_replay_gain,law_minus_policy_replay_gain,law_minus_policy_recoverable_fraction,law_to_policy_replay_gain_ratio,law_minus_policy_replay_gain_per_cost
Austin,478,2024-07-06 17:00:00,budget_0.35,0.35,0,activated_bottleneck_law,0.5107001035,0.04864896899,110,0.1342685328,0.1197952744,0.1077933755,0.1287295474,0.005538985353,0.04125304148,0.3827047932,0.008934273022,0.02623511767,1.27165423,0.005538985353,0.04125304148,0.005538985353,0.04125304148,0.5107001035,1,0,0,1,0
Austin,478,2024-07-06 17:00:00,budget_0.35,0.35,0,exposure_only,0.5107001035,0.03770972183,65,0.1342685328,0.1197952744,0.1077933755,0.1312650142,0.003003518604,0.02236949001,0.2075219364,0.01146973977,0.02623511767,1.27165423,0.005538985353,0.04125304148,0.005538985353,0.04125304148,0.5107001035,0.5422506853,0.002535466749,0.01888355147,1.844165489,0.004964688145
Austin,478,2024-07-06 17:00:00,budget_0.35,0.35,0,deficit_only,0.5107001035,0.0358173054,63,0.1342685328,0.1197952744,0.1077933755,0.1315269887,0.002741544053,0.02041836606,0.189421344,0.01173171432,0.02623511767,1.27165423,0.005538985353,0.04125304148,0.005538985353,0.04125304148,0.5107001035,0.494954198,0.0027974413,0.02083467542,2.020388965,0.005477659552
Austin,478,2024-07-06 17:00:00,budget_0.35,0.35,0,structure_only,0.5107001035,0.01854921387,55,0.1342685328,0.1197952744,0.1077933755,0.1329114031,0.001357129678,0.01010757807,0.09376808196,0.0131161287,0.02623511767,1.27165423,0.005538985353,0.04125304148,0.005538985353,0.04125304148,0.5107001035,0.24501413,0.004181855675,0.03114546341,4.081397264,0.008188476264
Austin,478,2024-07-06 17:00:00,budget_0.35,0.35,0,random_positive,0.5107001035,0.008474117202,81,0.1342685328,0.1197952744,0.1077933755,0.1331353855,0.001133147275,0.008439410575,0.07829247887,0.0133401111,0.02623511767,1.27165423,0.005538985353,0.04125304148,0.005538985353,0.04125304148,0.5107001035,0.2045766875,0.004405838077,0.03281363091,4.888142497,0.008627055385
Austin,478,2024-07-06 17:00:00,budget_0.5,0.5,0,greedy_oracle,0.7295715764,0.06518556162,182,0.1342685328,0.1197952744,0.1077933755,0.1267884345,0.007480098288,0.05570998753,0.5168219964,0.006993160087,0.02623511767,1.27165423,0.007480098288,0.05570998753,0.007480098288,0.05570998753,0.7295715764,1,0,0,1,0
Austin,478,2024-07-06 17:00:00,budget_0.5,0.5,0,activated_bottleneck_law,0.7295715764,0.06518556162,182,0.1342685328,0.1197952744,0.1077933755,0.1267884345,0.007480098288,0.05570998753,0.5168219964,0.006993160087,0.02623511767,1.27165423,0.007480098288,0.05570998753,0.007480098288,0.05570998753,0.7295715764,1,0,0,1,0
Austin,478,2024-07-06 17:00:00,budget_0.5,0.5,0,exposure_only,0.7295715764,0.0496111916,94,0.1342685328,0.1197952744,0.1077933755,0.1303277356,0.00394079717,0.02935011717,0.2722812699,0.01053246121,0.02623511767,1.27165423,0.007480098288,0.05570998753,0.007480098288,0.05570998753,0.7295715764,0.5268376187,0.003539301118,0.02635987036,1.898118062,0.00485120478
Austin,478,2024-07-06 17:00:00,budget_0.5,0.5,0,deficit_only,0.7295715764,0.04733154916,93,0.1342685328,0.1197952744,0.1077933755,0.1307300035,0.003538529264,0.02635412178,0.2444873968,0.01093472911,0.02623511767,1.27165423,0.007480098288,0.05570998753,0.007480098288,0.05570998753,0.7295715764,0.4730591936,0.003941569024,0.02935586576,2.113900361,0.005402580298
Austin,478,2024-07-06 17:00:00,budget_0.5,0.5,0,structure_only,0.7295715764,0.02481717857,79,0.1342685328,0.1197952744,0.1077933755,0.13257206,0.001696472791,0.01263492462,0.117214296,0.01277678558,0.02623511767,1.27165423,0.007480098288,0.05570998753,0.007480098288,0.05570998753,0.7295715764,0.2267981951,0.005783625497,0.04307506291,4.409206165,0.007927427116
Austin,478,2024-07-06 17:00:00,budget_0.5,0.5,0,random_positive,0.7295715764,0.0114315481,126,0.1342685328,0.1197952744,0.1077933755,0.1327428104,0.001525722428,0.01136321665,0.1054166511,0.01294753595,0.02623511767,1.27165423,0.007480098288,0.05570998753,0.007480098288,0.05570998753,0.7295715764,0.2039709064,0.00595437586,0.04434677088,4.90265998,0.008161469077
Austin,478,2024-07-06 17:00:00,budget_0.75,0.75,0,greedy_oracle,1.094357365,0.0901362976,282,0.1342685328,0.1197952744,0.1077933755,0.1241437606,0.01012477215,0.0754068875,0.6995502937,0.004348486228,0.02623511767,1.27165423,0.01012477215,0.0754068875,0.01012477215,0.0754068875,1.094357365,1,0,0,1,0
Austin,478,2024-07-06 17:00:00,budget_0.75,0.75,0,activated_bottleneck_law,1.094357365,0.0901362976,282,0.1342685328,0.1197952744,0.1077933755,0.1241437606,0.01012477215,0.0754068875,0.6995502937,0.004348486228,0.02623511767,1.27165423,0.01012477215,0.0754068875,0.01012477215,0.0754068875,1.094357365,1,0,0,1,0
Austin,478,2024-07-06 17:00:00,budget_0.75,0.75,0,exposure_only,1.094357365,0.0700114685,146,0.1342685328,0.1197952744,0.1077933755,0.1286213024,0.00564723037,0.04205922454,0.3901837598,0.008826028006,0.02623511767,1.27165423,0.01012477215,0.0754068875,0.01012477215,0.0754068875,1.094357365,0.5577636995,0.004477541778,0.03334766296,1.792873937,0.004091480464
