model_id,family,description,heldout_city,city,event_id,n_tokens,total_value,spearman,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,Chicago,150,1593,44.48471871,0.1467578262,0.4137690375,0.4053575896,0,0.5862309625,0.5221111725,0.4914592088,0,0.4778888275,0.5575738218,0.5278505005,0.0375,0.4424261782
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,Chicago,152,5711,462.115457,0.50428883,0.5518740424,0.5626118319,0,0.4481259576,0.7142302728,0.6854497803,0.3706293706,0.2857697272,0.7687328077,0.7374847673,0.5332167832,0.2312671923
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,Chicago,153,1793,11.56714516,0.7670079039,0.636073427,0.6488995983,0,0.363926573,0.6062744406,0.6143143546,0.1111111111,0.3937255594,0.6736074479,0.6620345769,0.2055555556,0.3263925521
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,Chicago,154,2226,208.7482714,0.807347779,0.7713144436,0.7366401498,0.3043478261,0.2286855564,0.8663486348,0.8327483218,0.5535714286,0.1336513652,0.9103854091,0.8770165604,0.6188340807,0.08961459091
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,Chicago,155,1900,30.61347246,0.7647752701,0.6246202813,0.6391829428,0,0.3753797187,0.6080002606,0.6141030062,0.1263157895,0.3919997394,0.6688799511,0.6577329437,0.2105263158,0.3311200489
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,Chicago,156,1753,53.49009663,0.4748566378,0.5468194892,0.5607766007,0,0.4531805108,0.6123072324,0.5996765546,0,0.3876927676,0.6807520082,0.6549654253,0.2386363636,0.3192479918
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,Chicago,157,1615,13.19361951,0.7836109271,0.5778787233,0.5864060855,0,0.4221212767,0.5888258534,0.5892604004,0.1111111111,0.4111741466,0.6533705591,0.6372075662,0.1790123457,0.3466294409
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,Chicago,158,1723,16.49880104,0.7739794522,0.612069416,0.6295515703,0,0.387930584,0.6001821373,0.6077293697,0.1034482759,0.3998178627,0.6583448543,0.6487669948,0.1907514451,0.3416551457
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,Chicago,159,2008,36.5642555,0.7523474266,0.6305346083,0.644307743,0,0.3694653917,0.5931331204,0.6021101898,0.1188118812,0.4068668796,0.6600356697,0.6492743827,0.2039800995,0.3399643303
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Dallas,Dallas,55,1200,8.15770611,0.7733408716,0.7529790915,0.7368065871,0.1666666667,0.2470209085,0.7835055083,0.7618333389,0.2,0.2164944917,0.8484906486,0.8175146335,0.425,0.1515093514
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Dallas,Dallas,56,1200,11.96265592,0.7792082379,0.736914229,0.7229364608,0.1666666667,0.263085771,0.7680247553,0.7486961498,0.2,0.2319752447,0.8432900302,0.8109673449,0.4083333333,0.1567099698
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Dallas,Dallas,57,1200,9.070939275,0.7655264744,0.693078539,0.6996303917,0.1666666667,0.306921461,0.7879148085,0.7598290489,0.2666666667,0.2120851915,0.8414079715,0.8089527058,0.4166666667,0.1585920285
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Dallas,Dallas,58,1200,11.83348416,0.7654906419,0.7529790916,0.7392327391,0.1666666667,0.2470209084,0.8006806238,0.7744866708,0.2333333333,0.1993193762,0.8447178775,0.8157819182,0.425,0.1552821225
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Dallas,Dallas,59,1200,8.109051955,0.7545857132,0.7529790916,0.7392327391,0.1666666667,0.2470209084,0.7650256465,0.750363474,0.25,0.2349743535,0.8352273164,0.8069780338,0.425,0.1647726836
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Dallas,Dallas,60,1200,8.003069738,0.7681340033,0.692977227,0.6925719753,0.1666666667,0.307022773,0.7591608728,0.740133329,0.1833333333,0.2408391272,0.8268481127,0.795981662,0.4083333333,0.1731518873
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Dallas,Dallas,61,1200,7.356830583,0.7792017974,0.7529790916,0.738547216,0.1666666667,0.2470209084,0.8090051284,0.7801310539,0.2666666667,0.1909948716,0.85547577,0.8239959929,0.425,0.14452423
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Dallas,Dallas,62,1200,29.93168233,0.7747088639,0.7468537285,0.7419066417,0.1666666667,0.2531462715,0.7286680076,0.7243336559,0.1833333333,0.2713319924,0.8312201381,0.801697797,0.4166666667,0.1687798619
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Dallas,Dallas,63,1200,15.04949748,0.7745935421,0.7419732331,0.7272498945,0.1666666667,0.2580267669,0.7711249637,0.7528553358,0.1833333333,0.2288750363,0.8434270992,0.8122842856,0.4166666667,0.1565729008
