city,event_id,event_start,unit,t,intervention,target_value,additive_predicted_value,interaction_predicted_value,deficit_only_score,exposure_only_score,structure_only_score,activated_bottleneck_score
Austin,488,2024-07-23 15:00:00,177,8,S,0.1509089077,0.1855915273,0.2299536237,0.9661835749,0.9903381643,0.1483115125,0.0121405427
Philadelphia,658,2023-07-29 09:00:00,267,8,C,0.1428562918,0.08086451203,0.07645868552,0.9937694704,0.9937694704,0.3351263089,0.002830666721
New York,115,2019-06-20 01:00:00,1565,3,R,0.1382121037,0.1075561408,0.1241646465,0.9989690722,0.9989690722,0.004119460091,0.002611257108
New York,115,2019-06-20 01:00:00,1605,6,R,0.1369125337,0.1215505153,0.1252341532,0.9979381443,0.9979381443,0.09902221278,0.002586704182
Austin,483,2024-07-21 17:00:00,177,7,S,0.1333431494,0.1746715203,0.2168184319,0.9710144928,0.9903381643,0.1483115125,0.01242606174
New York,98,2019-06-02 18:00:00,1286,5,R,0.1316373334,0.2123902619,0.2841700987,1,1,0.1528350515,0.002041051529
San Antonio,505,2024-07-25 17:00:00,95,4,C,0.1316093235,0.1224864803,0.1259883228,0.9868421053,0.9868421053,0.3132574446,0.008956174447
San Antonio,497,2024-07-19 12:00:00,95,4,C,0.1313165558,0.1047729711,0.1078032399,0.9868421053,0.9868421053,0.3132574446,0.008956174447
San Antonio,505,2024-07-25 17:00:00,98,1,C,0.131065863,0.1216058421,0.1210245053,0.9835526316,0.9835526316,0.1698569512,0.008919191298
Austin,483,2024-07-21 17:00:00,177,8,S,0.1302792657,0.1705446482,0.2103796673,0.9710144928,0.9903381643,0.1483115125,0.0121405427
San Antonio,497,2024-07-19 12:00:00,268,5,C,0.1299591909,0.1049956069,0.1064352319,0.9901315789,0.9901315789,0.1384230003,0.008863598179
San Antonio,505,2024-07-25 17:00:00,95,5,C,0.1292768751,0.1197528889,0.1236404476,0.9868421053,0.9868421053,0.3132574446,0.008797448498
New York,115,2019-06-20 01:00:00,1565,9,C,0.1289980133,0.1222860416,0.1240309741,0.9989690722,0.9989690722,0.004119460091,0.002437174242
San Antonio,497,2024-07-19 12:00:00,95,5,C,0.128989296,0.1024314995,0.105791587,0.9868421053,0.9868421053,0.3132574446,0.008797448498
New York,98,2019-06-02 18:00:00,1565,5,R,0.1279300835,0.208204398,0.2865454815,0.9989690722,0.9989690722,0.004119460091,0.001983570207
New York,116,2019-06-20 04:00:00,945,3,R,0.1256805476,0.120727965,0.1224260584,0.9969072165,0.9969072165,0.1097111808,0.003071520588
New York,98,2019-06-02 18:00:00,1605,5,R,0.1255743652,0.2036745755,0.2785277652,0.9979381443,0.9979381443,0.09902221278,0.001947044531
Chicago,147,2019-07-03 02:00:00,173,6,C,0.1229452109,0.165136389,0.1657730919,0.9943310658,0.9943310658,0.01578303279,0.004791622488
New York,98,2019-06-02 18:00:00,175,6,R,0.1220656021,0.2263285428,0.2825360895,0.9974226804,0.9974226804,0.2349598788,0.001892640769
Philadelphia,653,2023-07-19 11:00:00,493,1,C,0.1219510447,0.1160650766,0.116131675,0.9828660436,0.9828660436,0.3054233266,0.004682567266
Philadelphia,653,2023-07-19 11:00:00,493,2,C,0.1213713434,0.1143504611,0.11527037,0.9828660436,0.9828660436,0.3054233266,0.004660308413
