city,fit_status,n_hourly_rows,n_train_rows,n_test_rows,rain_lag_hours,a_retention,natural_half_life_hours,rain_kernel_sum,rain_kernel_peak_lag_h,rain_exposure_row_share,positive_target_row_share,train_rmse,train_mae,train_r2,test_rmse,test_mae,test_r2,test_corr,solver_cost,solver_optimality,rain_beta_lag_0h,rain_beta_lag_1h,rain_beta_lag_2h,rain_beta_lag_3h,rain_beta_lag_4h,rain_beta_lag_5h,rain_beta_lag_6h
Austin,estimated,743,520,223,6,0.7540815049632587,2.4557496677723614,0.00040883339204292205,6,0.1426648721399731,0.4670255720053836,0.003193323502108047,0.0013953264974637678,0.5631170418918088,0.004008326256259504,0.0017398906136689434,0.48438739466269953,0.7063325854270582,0.013688523503242784,1.3843688829251618e-11,1.980383109479699e-27,2.466783291719984e-31,1.7239637008910874e-30,5.763119115097399e-19,1.0227451013705705e-09,0.00012306512685304071,0.0002857672424447794
Chicago,estimated,743,520,223,6,0.7942534536841872,3.009069607158311,0.007129881556944594,6,0.12382234185733512,0.4360699865410498,0.0025168554345235076,0.0008583122734770237,0.6473811176081792,0.004083187417260225,0.0026470439470877567,0.6777846533772158,0.8447640726861645,0.009604582211562537,3.079822196386534e-13,8.392075069508995e-25,6.018531076210112e-36,2.102136755449988e-18,0.0025381963101557973,4.635602986730175e-11,0.0011514050472441564,0.003440280153188608
Dallas,estimated,716,501,215,6,0.9558410649350446,15.347463951109484,0.005384786408742415,5,0.1941340782122905,0.4790502793296089,0.0031602566159338406,0.001014272722102129,0.8904955797018644,0.0050905303770192286,0.003394115186593188,0.834411222992337,0.9163548837673632,0.012529837587432249,1.0966272509271286e-15,7.587217220489916e-18,5.299927516576193e-16,0.0012077352737532277,2.4887656489949877e-13,2.0917875478134083e-14,0.0030890982459494836,0.0010879528887693711
Houston,estimated,716,501,215,6,0.8647749594136531,4.770916201127488,0.012910240234348266,1,0.12150837988826815,0.39106145251396646,0.0032208129562272913,0.0008508946329389247,0.7783362868098403,0.005695196706327503,0.0037400837326422164,0.7544557945803743,0.8849889398507705,0.017627530646300824,1.0087352840726681e-11,1.159625441738709e-19,0.008553700869472484,9.488791995865721e-21,0.0034499097687247316,5.107123106180208e-17,0.0009066295961342456,1.6755671557034324e-14
New York,estimated,743,520,223,6,0.9021352768402807,6.73018569186899,0.0005168224335782028,2,0.26379542395693134,0.47106325706594887,0.005164293806515093,0.002360898743131049,0.7540988966175719,0.005190095158321752,0.002723659886064239,0.6758391341998817,0.8286214789444891,0.04555416790170562,1.5238305864021622e-12,4.489949767373068e-14,7.718494292050517e-18,0.0005168224335332908,1.712511047392834e-21,2.357116458558878e-20,4.684813950256315e-21,4.744671748310715e-18
Philadelphia,estimated,743,520,223,6,0.6899895786512016,1.8679245722172686,0.016497342420888655,4,0.19784656796769853,0.4347240915208614,0.0019531712147382654,0.0009241525043436575,0.48851259055761664,0.0024808563343898383,0.001012167839046336,0.6256892262373721,0.8024748602102721,0.006358969694633414,2.0484529201637656e-14,2.085534579894507e-19,0.00029464216134525016,9.179283365622213e-18,0.005123845124935096,0.011078855134608299,2.962361747184534e-27,2.4237315969547983e-23
San Antonio,estimated,743,520,223,6,0.7016131779840179,1.9559816134799273,0.0008409987621552256,6,0.18438761776581428,0.4522207267833109,0.002663213693285397,0.0009972385440799212,0.5067244600644039,0.003983040641862339,0.001807319626783776,0.4731276798096835,0.7061647607185497,0.009833119213032586,2.291616345200013e-11,6.263092109342686e-44,2.1925023012475042e-52,1.0705926865361475e-21,0.00018814171947021673,0.0001376912006725242,1.8331606353674057e-07,0.0005149825259489479
