city,event_id,n_replans,mean_pass_cost,max_pass_id,final_remaining_total
Austin,478,20,0.07295715764,19,3.566591467e-15
Austin,479,20,0.1013258718,19,8.67361738e-18
Austin,480,20,0.0726455456,19,9.194034423e-17
Austin,481,20,0.03121949667,19,4.770489559e-18
Austin,482,20,0.1058700359,19,2.404326738e-15
Austin,483,20,0.05145277718,19,0
Austin,484,20,0.07148098493,19,1.301042607e-17
Austin,485,20,0.1063863006,19,0
Austin,486,20,0.1441635112,19,0
Austin,487,20,0.1239681507,19,6.938893904e-18
Austin,488,20,0.04763736917,19,1.255397696e-15
Austin,489,20,0.02220496831,19,3.760013134e-16
Austin,490,20,0.06024345179,19,1.387778781e-17
Austin,491,20,0.01392813099,19,6.581107187e-17
Austin,492,20,0.07585080507,19,2.047841063e-15
Chicago,145,20,0.2461535902,19,0
Chicago,146,20,0.08020000318,19,1.493596913e-15
Chicago,147,20,0.07603345713,19,9.134403303e-16
Chicago,149,20,0.03252734303,19,2.901325014e-16
Chicago,150,20,0.1731650828,19,0
Chicago,152,20,0.1506849641,19,0
Chicago,153,20,0.8490635319,19,3.088154732e-14
Chicago,154,20,0.09079184145,19,0
Chicago,155,20,0.2843411514,19,0
Chicago,156,20,0.1564524269,19,0
Chicago,157,20,0.6038665152,19,3.901046153e-14
Chicago,158,20,0.4877241604,19,3.225544831e-14
Chicago,159,20,0.3003597644,19,0
Dallas,55,20,0.2611682016,19,1.873501354e-16
Dallas,56,20,0.234737261,19,6.591949209e-16
Dallas,57,20,0.2293668865,19,0
Dallas,58,20,0.2640791649,19,4.343747584e-15
Dallas,59,20,0.2679284788,19,0
Dallas,60,20,0.3012049063,19,2.775557562e-17
Dallas,61,20,0.269121429,19,6.938893904e-18
Dallas,62,20,0.09865001171,19,1.420738527e-15
Dallas,63,20,0.161640754,19,2.428612866e-17
Dallas,64,20,0.2205700542,19,0
Houston,52,20,0.0752487334,19,4.78621049e-15
Houston,60,20,0.3121732546,19,5.950101523e-16
Houston,61,20,0.3225185341,19,3.089542511e-15
Houston,62,20,0.3504258473,19,1.049507703e-16
New York,98,20,0.1798055496,19,8.120674272e-17
New York,99,20,0.4215956165,19,0
New York,100,20,0.4711867048,19,9.410874857e-17
New York,101,20,0.4711867048,19,0
New York,102,20,0.9055558445,19,0
New York,103,20,1.279760649,19,2.259130383e-14
New York,104,20,2.085515632,19,6.099287742e-15
New York,105,20,0.6667658652,19,0
New York,106,20,0.4304981928,19,0
New York,107,20,1.343356332,19,8.049116929e-16
New York,108,20,1.185480752,19,6.771666561e-14
New York,109,20,2.910361887,19,7.99013633e-15
New York,110,20,2.01440543,19,1.491584634e-13
New York,111,20,0.9298678913,19,8.799471568e-14
New York,112,20,0.163527915,19,3.122502257e-17
New York,113,20,0.1599611836,19,0
New York,115,20,0.07608539494,19,1.266348137e-15
New York,116,20,0.07608539494,19,0
New York,117,20,0.07608539494,19,0
New York,119,20,0.1923249033,19,0
New York,120,20,0.1923249033,19,9.36750677e-17
New York,121,20,1.753955322,19,1.838806885e-14
New York,122,20,1.185774975,19,6.005265729e-14
New York,123,20,0.8313921966,19,0
Philadelphia,640,20,0.02064101168,19,0
Philadelphia,641,20,0.01091354722,19,3.165870344e-17
Philadelphia,642,20,0.01052448003,19,0
Philadelphia,643,20,0.05252267193,19,3.512815039e-17
Philadelphia,644,20,0.2525584709,19,0
Philadelphia,645,20,0.1953429183,19,1.990595189e-16
Philadelphia,646,20,0.0476819935,19,6.795779217e-16
Philadelphia,647,20,0.02594118953,19,0
Philadelphia,648,20,0.2037708568,19,1.193945116e-14
Philadelphia,649,20,0.1556470399,19,3.262147497e-15
Philadelphia,650,20,0.05704451517,19,4.770489559e-18
Philadelphia,651,20,0.2148365059,19,0
Philadelphia,652,20,0.1835691066,19,0
Philadelphia,653,20,0.09069012756,19,2.211989272e-15
Philadelphia,654,20,0.2132887177,19,2.346213501e-15
Philadelphia,655,20,0.1488381652,19,2.544622499e-15
Philadelphia,656,20,0.3429010292,19,2.712934044e-14
Philadelphia,657,20,0.11785234,19,2.638514407e-15
Philadelphia,658,20,0.06245538235,19,4.640385298e-16
Philadelphia,659,20,0.1039515627,19,4.110427276e-15
San Antonio,491,20,0.05525201773,19,5.212844045e-16
San Antonio,492,20,0.0898806559,19,1.376936759e-15
San Antonio,493,20,0.07519646652,19,0
San Antonio,494,20,0.1030016653,19,6.353424731e-17
San Antonio,495,20,0.03162241979,19,0
San Antonio,496,20,0.1105428012,19,4.963911227e-15
San Antonio,497,20,0.07113956884,19,2.371800673e-15
San Antonio,498,20,0.05585072052,19,1.734723476e-18
San Antonio,499,20,0.02039997878,19,1.029992064e-17
San Antonio,500,20,0.1908353942,19,3.427813589e-15
San Antonio,501,20,0.1747662448,19,3.202299537e-15
San Antonio,502,20,0.1647850241,19,0
San Antonio,503,20,0.06183481427,19,0
San Antonio,504,20,0.06104590729,19,4.913604246e-16
San Antonio,505,20,0.07536961009,19,2.471980953e-17
San Antonio,506,20,0.005707794791,19,3.946495908e-17
San Antonio,507,20,0.1780165678,19,2.907830227e-15
San Antonio,508,20,0.163174589,19,0
San Antonio,509,20,0.06073963315,19,0
