city,event_id,event_start,baseline_objective,recoverable_fraction,top_5pct_value_share,marginal_value_gini,loss_magnitude_rank,recoverable_rank,top_tail_rank,decision_criticality_score,event_peak_positive_abnormal_deficit,event_total_precip
New York,98,2019-06-02 18:00:00,0.01550511148,0.2564749584,0.2366578348,0.5866248192,0.05714285714,0.9904761905,0.980952381,0.03560625421,0.01284042645,0.12598432
New York,119,2019-06-20 21:00:00,0.01783321113,0.1276266689,0.301990445,0.6747150476,0.07619047619,0.4,1,0.02600489068,0.009006987358,0.03805776333
Philadelphia,658,2023-07-29 09:00:00,0.0198147851,0.126623227,0.2767547552,0.6622602184,0.09523809524,0.3714285714,0.9904761905,0.02320796907,0.00879234695,0.01574804
Chicago,152,2019-07-17 19:00:00,0.02216888903,0.2680336809,0.1722164847,0.4584960653,0.1238095238,1,0.719047619,0.02116409507,0.01334210144,0.27952771
New York,100,2019-06-05 21:00:00,0.06728818434,0.169567208,0.2044100421,0.5110312076,0.3523809524,0.8857142857,0.9619047619,0.0177129754,0.01875161061,0.01049869333
New York,115,2019-06-20 01:00:00,0.01889311455,0.1517437935,0.2131626348,0.5339913536,0.08571428571,0.8,0.9714285714,0.01727254137,0.00338160594,0.00787402
Chicago,154,2019-07-20 05:00:00,0.02404835271,0.2164610453,0.1722164847,0.4584960653,0.1523809524,0.980952381,0.719047619,0.01709188982,0.005706766028,0.01181103
New York,99,2019-06-02 22:00:00,0.07896785276,0.1476755773,0.1972551994,0.4920405068,0.4285714286,0.7428571429,0.9428571429,0.01433302948,0.01581179532,0.37401595
New York,108,2019-06-16 19:00:00,0.2806178036,0.1540652389,0.1889654176,0.4737875565,0.780952381,0.819047619,0.8619047619,0.01379337817,0.02595726488,0.03018374333
New York,116,2019-06-20 04:00:00,0.02443910888,0.145082664,0.1918391509,0.4791551984,0.1714285714,0.7238095238,0.9333333333,0.01333610387,0.00338160594,0.01181103
New York,104,2019-06-11 05:00:00,0.514244662,0.1487545945,0.1889654176,0.4737875565,0.9142857143,0.780952381,0.8619047619,0.01331791903,0.04681591781,0.3412075333
New York,109,2019-06-18 07:00:00,0.7345846597,0.1478550483,0.1889654176,0.4737875565,1,0.7523809524,0.8619047619,0.01323738314,0.06813897394,0.1036745967
New York,106,2019-06-13 22:00:00,0.0931906285,0.1475271351,0.1889654176,0.4737875565,0.5142857143,0.7333333333,0.8619047619,0.01320802525,0.01413909782,0.1994751733
Philadelphia,642,2023-07-07 17:00:00,0.004404859881,0.1964426113,0.1535494671,0.4372857976,0.009523809524,0.9714285714,0.4714285714,0.01319013938,0.0008256984963,0.01574804
Philadelphia,654,2023-07-20 18:00:00,0.06758702171,0.1946529106,0.1535494671,0.4372857976,0.3714285714,0.9619047619,0.5571428571,0.01306996992,0.01436661912,0.12992133
