city,n_events,mean_lp_replay_recoverable_fraction,mean_greedy_replay_recoverable_fraction,mean_greedy_fraction_of_lp_gain,mean_replay_gap_fraction_of_lp_gain,mean_action_cost_jaccard,mean_intervention_share_l1,mean_time_share_l1,mean_segment_share_l1,mean_greedy_proxy_over_realized,mean_lp_to_greedy_action_count_ratio,mean_lp_cost_gini,mean_greedy_cost_gini
Philadelphia,20,0.1597025325,0.118167551,0.7517360869,0.2482639131,0.4744375509,0.1466890237,0.1593634598,0.05469037408,0.06328052615,2.303258852,0.4329226974,0.2516512336
Chicago,13,0.1497403266,0.1087142559,0.7631955227,0.2368044773,0.521906098,0.1784225158,0.1230847355,0.08346696263,0.06583964196,1.973548594,0.4171588784,0.3614686231
San Antonio,19,0.1365806844,0.1063443569,0.7834247693,0.2165752307,0.5463379294,0.09818394336,0.1755956952,0.02638080534,0.04505148493,1.845885053,0.4212033075,0.2757690111
New York,24,0.136856117,0.1102273482,0.8253210866,0.1746789134,0.6196895509,0.09865729736,0.1052714489,0.08260149476,0.04144701028,1.442894427,0.4826760322,0.401803217
Austin,15,0.1310788049,0.113146794,0.8696426723,0.1303573277,0.6668656747,0.1050836235,0.08285991671,0.05908718521,0.02641713727,1.274745138,0.3560723157,0.3435038538
Houston,4,0.1099505748,0.1021495312,0.930332555,0.06966744498,0.7558633608,0.05848947736,0.06973226463,0.07516618215,0.01133408398,1.288378959,0.5132579617,0.4056913604
Dallas,10,0.07209314482,0.07190196007,0.997931164,0.00206883599,0.9777997137,0.001829802619,0.00186543601,0.006197018373,0.0002649715033,1.005660377,0.4291852753,0.3315792645
