city,event_id,event_start,baseline_objective,optimized_objective,lp_recoverable_fraction,lp_replay_gain,lp_replay_recoverable_fraction,replay_fraction_of_base_lp_gain,lp_selected_action_count,event_peak_positive_abnormal_deficit,event_total_precip,baseline_objective_greedy,optimized_objective_greedy,lp_recoverable_fraction_greedy,greedy_replay_gain,greedy_replay_recoverable_fraction,greedy_fraction_of_lp_gain,greedy_selected_action_count,event_peak_positive_abnormal_deficit_greedy,event_total_precip_greedy,replay_gap_recoverable_fraction,replay_gap_fraction_of_lp_gain,lp_allocated_cost,lp_first_order_value_proxy,lp_segment_rows,lp_action_count,lp_unit_count,lp_cost_gini,lp_cost_share_R,lp_cost_share_C,lp_cost_share_S,lp_cost_share_segment_0,lp_cost_share_segment_1,lp_cost_share_segment_2,lp_cost_share_time_early,lp_cost_share_time_mid,lp_cost_share_time_late,greedy_allocated_cost,greedy_first_order_value_proxy,greedy_segment_rows,greedy_action_count,greedy_unit_count,greedy_cost_gini,greedy_cost_share_R,greedy_cost_share_C,greedy_cost_share_S,greedy_cost_share_segment_0,greedy_cost_share_segment_1,greedy_cost_share_time_early,greedy_cost_share_time_mid,greedy_cost_share_time_late,greedy_cost_share_segment_2,action_cost_overlap_share_lp,action_cost_overlap_share_greedy,action_cost_jaccard,lp_only_cost_share,greedy_only_cost_share,lp_action_rows,lp_feature_matched_rows,lp_cost_total,lp_matched_cost,lp_feature_match_rate,lp_matched_cost_share,greedy_proxy_over_realized,lp_proxy_over_realized,greedy_minus_lp_proxy,lp_to_greedy_action_count_ratio,lp_to_greedy_unit_count_ratio,intervention_share_l1,time_share_l1,segment_share_l1
San Antonio,501,2024-07-23 03:00:00,0.1521064054,0.1333779371,0.1231274136,0.01872845699,0.1231273393,0.9999993964,1279,0.03970233648,0.006561683333,0.1521064054,0.1333779371,0.1231274136,0.01100915419,0.07237797883,0.5878299292,482,0.03970233648,0.006561683333,0.05074936047,0.4121700708,3.495324897,0.1275517892,1491,1279,102,0.7321946474,0.1467576989,0.6272914973,0.2259508037,0.8807524849,0.1192475151,1.260961226e-11,0.003193429697,0.5837412563,0.413065314,3.495324897,0.1612153035,522,482,49,0.3025449878,0.1338324089,0.7337341109,0.1324334803,0.8991594948,0.1008405052,0.4450992679,0.4450491964,0.1098515357,,0.360851708,0.360851708,0.2201458586,0.639148292,0.639148292,1279,1279,3.495324897,3.495324897,1,1,0.08883732467,0.00442444989,0.03366351431,2.653526971,2.081632653,0.1064426136,0.4419058382,0.01840700991
Chicago,149,2019-07-13 20:00:00,0.01615556916,0.01366772496,0.1539929777,0.002487842166,0.1539928517,0.999999182,440,0.0027008348,0.14173236,0.01615556916,0.01366772496,0.1539929777,0.00150889958,0.09339810721,0.6065088721,203,0.0027008348,0.14173236,0.06059474449,0.3934911279,0.6505468606,0.1539929777,449,440,44,0.3193711273,0,0.8627812989,0.1372187011,0.9721906832,0.02780931678,,0.620621081,0.3272655552,0.0521133638,0.6505468607,0.1766650441,216,203,20,0.2618086544,0.2978500256,0.655981266,0.04616870841,0.9468573022,0.05314269783,0.5291590915,0.4025650099,0.0682758986,,0.4709042278,0.4709042278,0.3079625465,0.5290957722,0.5290957722,440,440,0.6505468607,0.6505468607,1,1,0.08326693691,1.259986055e-07,0.02267206643,2.167487685,2.2,0.2978500256,0.0914619895,0.02533338105
San Antonio,499,2024-07-22 20:00:00,0.02160154324,0.01853883983,0.1417816949,0.003062703413,0.1417816949,1,358,0.006082525209,0.1902888167,0.02160154324,0.01853883983,0.1417816949,0.001867018727,0.08642987707,0.609598278,164,0.006082525209,0.1902888167,0.05535181783,0.390401722,0.4079995755,0.1417816949,365,358,41,0.4869578199,0,0.8215587541,0.1784412459,0.9645241253,0.03547587472,,0.8556223433,0.1314699473,0.01290770942,0.4079995755,0.1597283782,176,164,18,0.185462333,0.06713561972,0.8376336025,0.09523077778,0.9218965308,0.07810346921,0.5153507115,0.3975734358,0.08707585268,,0.5055630375,0.5055630375,0.338296663,0.4944369625,0.4944369625,358,358,0.4079995755,0.4079995755,1,1,0.07329850111,-1.557004525e-12,0.01794668328,2.182926829,2.277777778,0.08321046812,0.3402716318,0.04262759448
New York,115,2019-06-20 01:00:00,0.01889311455,0.01602620168,0.1517437935,0.002866912872,0.1517437935,1,626,0.00338160594,0.00787402,0.01889311455,0.01602620168,0.1517437935,0.00178005942,0.09421736239,0.6208976343,303,0.00338160594,0.00787402,0.05752643111,0.3791023657,1.521707899,0.1517437935,645,626,111,0.3864336478,0.3386280758,0.5331314153,0.1282405089,0.995750678,0.004249322036,,0,0.7485147785,0.2514852215,1.521707899,0.1734213757,341,303,50,0.3801150762,0.6787313794,0.2833111262,0.03795749444,0.8402835705,0.1597164295,0.1551855509,0.73395933,0.1108551191,,0.5118813631,0.5118813631,0.3439788673,0.4881186369,0.4881186369,626,626,1.521707899,1.521707899,1,1,0.07920401328,-2.423428125e-11,0.02167758219,2.066006601,2.22,0.3401033035,0.1551855509,0.1554671075
New York,117,2019-06-20 07:00:00,0.02864635885,0.02511424332,0.1233006801,0.003532115528,0.1233006801,1,597,0.00338160594,0.02362206,0.02864635885,0.02511424332,0.1233006801,0.002240422027,0.07820966144,0.6343003249,314,0.00338160594,0.02362206,0.04509101866,0.3656996751,1.521707899,0.1233006801,629,597,69,0.5450689986,0.5964177329,0.3258581682,0.07772409898,0.9813254478,0.01867455217,,0.785477983,0.1815173844,0.03300463263,1.521707899,0.1394367106,334,314,38,0.3716822885,0.6835895575,0.2839578489,0.03245259359,0.8802679545,0.1197320455,0.5704324383,0.400329598,0.02923796374,,0.5149995105,0.5149995105,0.3468009028,0.4850004895,0.4850004895,597,597,1.521707899,1.521707899,1,1,0.06122704911,-1.882619061e-11,0.01613603047,1.901273885,1.815789474,0.08717182467,0.2188122136,0.1010574933
Philadelphia,647,2023-07-14 08:00:00,0.01199311988,0.009781906475,0.1843734931,0.002211213405,0.1843734931,1,462,0.001727634009,0.005905515,0.01199311988,0.009781906475,0.1843734931,0.001473728222,0.1228811383,0.6664794176,186,0.001727634009,0.005905515,0.0614923548,0.3335205824,0.5188237906,0.1858260264,464,462,49,0.4474331224,0,0.7864764832,0.2135235168,0.9984775032,0.001522496842,,0.5013652055,0.4584749037,0.04015989079,0.5188237906,0.2122659966,203,186,22,0.07618731828,0.03519666965,0.9379488532,0.02685447717,0.9131074155,0.08689258451,0.5131885527,0.3885480569,0.09826339044,,0.5007936926,0.5007936926,0.3340392113,0.4992063074,0.4992063074,462,462,0.5188237906,0.5188237906,1,1,0.08938485832,0.00145253325,0.02643997027,2.483870968,2.227272727,0.1866690397,0.06992684683,0.08537008766
New York,106,2019-06-13 22:00:00,0.0931906285,0.07944248206,0.1475271351,0.01374814644,0.1475271351,1,2587,0.01413909782,0.1994751733,0.0931906285,0.07944248206,0.1475271351,0.009440744107,0.1013057242,0.6866921407,1390,0.01413909782,0.1994751733,0.0462214109,0.3133078593,8.609963856,0.1487285042,2843,2587,229,0.5110741236,0.5721251574,0.3146871039,0.1131877387,0.9465193045,0.05348069548,5.627158812e-12,0.5773425423,0.238770004,0.1838874538,8.609963856,0.177279944,1644,1390,127,0.4086280412,0.6615028625,0.2993929499,0.03910418759,0.7762180944,0.2084023282,0.4833476806,0.4460728158,0.07057950359,0.01537957742,0.5145878433,0.5145878433,0.3464276504,0.4854121567,0.4854121567,2587,2587,8.609963856,8.609963856,1,1,0.07597421985,0.001201369148,0.0285514398,1.861151079,1.803149606,0.08937770511,0.2073028118,0.1703012101
New York,116,2019-06-20 04:00:00,0.02443910888,0.02089341786,0.145082664,0.003545691023,0.145082664,1,526,0.00338160594,0.01181103,0.02443910888,0.02089341786,0.145082664,0.00244716235,0.1001330434,0.690179244,292,0.00338160594,0.01181103,0.0449496206,0.309820756,1.521707899,0.145082664,559,526,67,0.5924916081,0.7334184637,0.1926472204,0.07393431591,0.9981761017,0.001823898321,,0.5638835596,0.4008353961,0.03528104426,1.521707899,0.1609792503,315,292,39,0.365478255,0.7264273299,0.2423520887,0.03122058145,0.867476766,0.132523234,0.5243476151,0.4417638419,0.03388854299,,0.5723736577,0.5723736577,0.4009267977,0.4276263423,0.4276263423,526,526,1.521707899,1.521707899,1,1,0.06084620689,2.062205962e-11,0.01589658627,1.801369863,1.717948718,0.04970486828,0.04092844581,0.1306993356
San Antonio,495,2024-07-13 13:00:00,0.03348498918,0.028979354,0.1345568653,0.004505635178,0.1345568653,1,488,0.009428645376,0.1443570333,0.03348498918,0.028979354,0.1345568653,0.003113152585,0.09297158703,0.6909464399,246,0.009428645376,0.1443570333,0.04158527827,0.3090535601,0.6324483959,0.1345568653,500,488,55,0.4323218959,0,0.7999343053,0.2000656947,0.9515762042,0.04842379584,,0.7192985993,0.2594970639,0.02120433683,0.6324483959,0.1473603297,270,246,29,0.1828244718,0.07218323932,0.8374702443,0.09034651635,0.901649339,0.09835066099,0.4932060357,0.4045363642,0.1022576,,0.59855751,0.59855751,0.427101015,0.40144249,0.40144249,488,488,0.6324483959,0.6324483959,1,1,0.05438874271,-2.386166265e-11,0.01280346447,1.983739837,1.896551724,0.1097191783,0.2260925635,0.04992686515
Philadelphia,653,2023-07-19 11:00:00,0.03839710662,0.03259505745,0.1511064161,0.00580204917,0.1511064161,1,1608,0.003021297138,0.005905515,0.03839710662,0.03259505745,0.1511064161,0.004036798059,0.105132871,0.6957538518,693,0.003021297138,0.005905515,0.0459735451,0.3042461482,1.813802551,0.1515831698,1659,1608,158,0.465171176,0.01374868715,0.674630988,0.3116203249,0.9272428153,0.07275718469,,0.7091232522,0.2158516996,0.07502504822,1.813802551,0.1765978731,792,693,71,0.2738663315,0.1550292519,0.7100639602,0.1349067879,0.8563785306,0.1436214694,0.443032498,0.4320093418,0.1249581602,,0.5039830683,0.5039830683,0.3368832649,0.4960169317,0.4960169317,1608,1608,1.813802551,1.813802551,1,1,0.0714650021,0.0004767537109,0.02501470329,2.32034632,2.225352113,0.176713537,0.2660907542,0.07086428469
