city,event_id,unit,t,intervention,lp_cost,greedy_cost,absolute_cost_difference,allocation_preference,marginal_resource_value,finite_deficit_area_value,active_weighted_horizon,origin_exposure_rank,destination_importance_rank,local_remaining_rank,access_remaining_rank,eta_per_cost_rank
New York,100,1695,5,R,0,0.02827111144,0.02827111144,greedy_more,0.04437510054,0.000709618016,5.796041,0.9335051546,0.9994845361,0.9994845361,0.9989690722,0.001030927835
New York,100,1695,6,R,0,0.02827111144,0.02827111144,greedy_more,0.03921606341,0.0006957543756,5.122194848,0.9335051546,0.9994845361,0.9994845361,0.9989690722,0.001030927835
New York,100,1565,2,R,0,0.02824849448,0.02824849448,greedy_more,0.0430301661,0.000722288661,5.632437813,0.9948453608,0.9989690722,0.9989690722,0.9097938144,0.001546391753
New York,100,1565,5,R,0,0.02824849448,0.02824849448,greedy_more,0.04427116108,0.0007075243862,5.794877972,0.9948453608,0.9989690722,0.9989690722,0.9097938144,0.001546391753
New York,100,1565,6,R,0,0.02824849448,0.02824849448,greedy_more,0.03912543863,0.0006937012344,5.121328128,0.9948453608,0.9989690722,0.9989690722,0.9097938144,0.001546391753
New York,100,1910,2,R,0,0.02815214886,0.02815214886,greedy_more,0.04261577192,0.0007140185068,5.623374543,0.874742268,0.9984536082,0.9984536082,0.9979381443,0.00206185567
New York,100,1910,5,R,0,0.02815214886,0.02815214886,greedy_more,0.04387794965,0.0006994169907,5.789925513,0.874742268,0.9984536082,0.9984536082,0.9979381443,0.00206185567
New York,100,1910,6,R,0,0.02815214886,0.02815214886,greedy_more,0.03878312723,0.000685750493,5.117636981,0.874742268,0.9984536082,0.9984536082,0.9979381443,0.00206185567
New York,100,1605,2,R,0,0.02805722284,0.02805722284,greedy_more,0.04220411023,0.0007058343971,5.614455796,0.881443299,0.9979381443,0.9979381443,1,0.002577319588
New York,100,1605,5,R,0,0.02805722284,0.02805722284,greedy_more,0.0434864671,0.000691394113,5.785049037,0.881443299,0.9979381443,0.9979381443,1,0.002577319588
