city,n_events,mean_n_footprint_zones,mean_footprint_effective_zone_count,mean_footprint_top_5pct_zone_share,mean_template_top_5pct_captures_footprint_share,mean_footprint_template_cosine,mean_top20_footprint_template_jaccard,std_footprint_template_cosine,top10_within_city_pairwise_mean_jaccard,top10_within_city_pairwise_min_jaccard,top20_within_city_pairwise_mean_jaccard,top20_within_city_pairwise_min_jaccard,tmc_count,mapped_within_5km_share,mapped_within_10km_share,median_mapping_distance_km,p95_mapping_distance_km,strict_baseline_rows,event_tmc_hour_rows
New York,24,1457.3333333333333,73.77139722380855,0.5834548179600175,0.05484761375922797,0.19340137954996636,0.0,0.019443949053475875,0.811906692341475,0.5384615384615384,0.8211598840143264,0.6,19211,0.7266670136900734,0.8934464629639269,0.5105447121913722,12.348189401833947,49262973,4971330
Dallas,10,363.9,29.804859953572286,0.6182784007257036,0.024448394750443147,0.27715658308322777,0.0,0.006784414503737067,0.8606060606060606,0.6666666666666666,0.8480707698099003,0.7391304347826086,34862,0.5224886696116114,0.6730824393322242,4.255932656033692,22.97517435683189,50943158,1967215
Philadelphia,20,610.75,62.09389089515437,0.6191286017645943,0.029112355971738463,0.3084907976846794,0.0,0.01032650935094182,0.6914208598419124,0.42857142857142855,0.8467066876677861,0.6666666666666666,12895,0.6785575804575417,0.8366033346258239,1.0920305341072865,14.179241156693955,35353163,2824497
Chicago,13,813.9230769230769,115.41452338178564,0.43428403761386514,0.08507384125352331,0.3694125728815134,0.012154166000319846,0.025483897886690667,0.7180084872392565,0.5384615384615384,0.756842414367498,0.5384615384615384,13274,0.8456380894982672,0.9750640349555522,0.5437338044007355,8.460853662734218,41851124,1615999
Austin,15,197.93333333333334,52.45842658874498,0.3774752538378507,0.02848298426988656,0.5001170803173947,0.0017094017094017094,0.023696129894799762,0.6533878819593105,0.42857142857142855,0.7161305774970371,0.5384615384615384,4204,0.8465746907706946,0.934348239771646,0.9155749239966875,11.820447046040353,13269323,684274
San Antonio,19,301.89473684210526,79.95243958022802,0.3515877261192143,0.061623569126602766,0.5106149257507482,0.050316457518673585,0.03488129842694082,0.6292362608152081,0.3333333333333333,0.6016807932393998,0.42857142857142855,7505,0.9051299133910726,0.9597601598934044,0.7369189701287511,9.035689789185891,20290661,1615810
Houston,4,385.75,107.4055263175059,0.3602261167206601,0.04969249996656265,0.5179847577586407,0.00641025641025641,0.02389010395371761,0.6491841491841491,0.5384615384615384,0.8641696467783424,0.7391304347826086,20962,0.8356072893807843,0.9832077091880546,0.88940542906482,8.546299132042428,33653101,638652
