city,event_id,event_start,event_total_precip,event_peak_precip,event_peak_positive_abnormal_deficit,footprint_available,n_units,n_footprint_zones,footprint_signal_total,footprint_zone_hhi,footprint_effective_zone_count,footprint_gini,footprint_top_1pct_zone_share,footprint_top_5pct_zone_share,footprint_top_10pct_zone_share,template_top_5pct_captures_footprint_share,footprint_top_5pct_template_mass,footprint_template_cosine,footprint_template_spearman,footprint_template_pearson,top10_footprint_template_jaccard,top20_footprint_template_jaccard,top5pct_footprint_template_jaccard,mean_mapping_distance_km,max_mapping_distance_km
New York,98,2019-06-02 18:00:00,0.1259843199999999,0.0734908533333333,0.0128404264537012,True,1940,1458,1311.1907464717451,0.016542792956997905,60.44928462802175,0.8053820629912858,0.4507449918138208,0.6098903899868994,0.7012389983140495,0.06365536832420236,0.05018429149513704,0.17629369978668127,0.15847848157142805,0.002135478005532444,0.0,0.0,0.026455026455026454,0.34563140762047984,9.14936789675658
New York,99,2019-06-02 22:00:00,0.3740159499999999,0.28740173,0.0158117953226626,True,1940,1459,1468.3304523947872,0.016832968551323213,59.40722796166524,0.7994672310151396,0.45223933861248866,0.6046032410485067,0.6928122204576742,0.059406321711149734,0.05001054112624433,0.17458308729796088,0.15507234680183507,-0.0008150030638222555,0.0,0.0,0.026455026455026454,0.3460338666571201,9.231816754264587
New York,100,2019-06-05 21:00:00,0.0104986933333333,0.0104986933333333,0.0187516106067029,True,1940,1459,1470.405456803902,0.016208288627038284,61.69682827166735,0.8000695858122375,0.4513036863299662,0.6122242586340532,0.6968473962902291,0.057343609545559206,0.049568136191594954,0.1774456218877107,0.1147006991633802,-0.008302867100541027,0.0,0.0,0.021052631578947368,0.34912347734375,9.033724015742893
New York,101,2019-06-06 02:00:00,0.1036745966666665,0.0931759033333333,0.0187516106067029,True,1940,1459,1885.509177868357,0.015047590609921873,66.45582179386471,0.797645607508312,0.43638720461668434,0.6053783422443137,0.6909821996840397,0.05457324504902273,0.04978144226417431,0.18427021160333987,0.1228158479202726,-0.0069078485379496166,0.0,0.0,0.026455026455026454,0.34998443887783937,8.954682893386886
New York,102,2019-06-10 12:00:00,0.620735243333333,0.3897639899999999,0.043281661301787,True,1940,1459,3285.2571522488383,0.014864857807723513,67.27275921068131,0.7885300706447582,0.4387027028623964,0.5935743307311007,0.6777651583166471,0.048133191828351275,0.04948256486848648,0.1850842562032013,0.11055855370313998,-0.011969151836876326,0.0,0.0,0.015706806282722512,0.34405449435657,9.194920819761979
New York,103,2019-06-11 01:00:00,0.00393701,0.00393701,0.043281661301787,True,1940,1458,2140.875337684545,0.012786435352493943,78.20787986895456,0.7835216528451163,0.4085243547503001,0.5733916073282265,0.6683325748904656,0.049157582608202584,0.04959809939652501,0.19973515728436758,0.10879246289929907,-0.010157837445193704,0.0,0.0,0.010416666666666666,0.3431235868604655,8.94529385834697
New York,104,2019-06-11 05:00:00,0.3412075333333332,0.2690290166666666,0.0468159178098303,True,1940,1455,3506.8989532632795,0.010808944723948711,92.51596946225118,0.7666985784416502,0.3717312462221153,0.5381320589310458,0.6397470722110816,0.049070251375360655,0.04970566345815812,0.21741437143847103,0.11750620055797115,-0.00827778964080947,0.0,0.0,0.010416666666666666,0.34359415961010087,8.810873780621312
New York,105,2019-06-13 08:00:00,0.4317587633333331,0.1469817066666666,0.0312260742880741,True,1940,1457,2365.071137613933,0.014689471376458268,68.07596913273721,0.7754266152671598,0.42670123594497295,0.5723861903100542,0.6585005723351501,0.0495319214279206,0.04983530727500307,0.18653793306390323,0.12912367093618823,-0.0064362445084715095,0.0,0.0,0.015706806282722512,0.3495705603640853,9.06319723791865
New York,106,2019-06-13 22:00:00,0.1994751733333332,0.1154856266666666,0.0141390978200705,True,1940,1458,1620.523680184854,0.012662929736680394,78.9706664093164,0.7681651214198995,0.40677759206398123,0.5592487437181276,0.6482618445618036,0.056326825791995626,0.05011464046638873,0.20109696856981601,0.1275683830804618,-0.00397773520967687,0.0,0.0,0.0374331550802139,0.34805614608941726,9.073083112746287
New York,107,2019-06-16 03:00:00,0.0341207533333332,0.0131233666666666,0.0273420963831678,True,1940,1458,2237.0596748168896,0.01265588639577385,79.01461570751201,0.769199405991623,0.40544923657150206,0.5587327363009934,0.6462331592458991,0.05247099204613161,0.04986460758504108,0.2008869076897804,0.10376533773229478,-0.008227929990129092,0.0,0.0,0.031914893617021274,0.34685877279732413,8.996448479246828
