city,speed_file,positive_event_count,event_hour_count,rain_influence_hour_count,valid_speed_rows,event_candidate_speed_rows,strict_baseline_rows,strict_baseline_mean_deficit,event_tmc_hour_rows,baseline_tmc_hour_of_week_rows,baseline_tmc_hour_of_day_rows,tmc_count,mapped_within_2km_share,mapped_within_5km_share,mapped_within_10km_share,median_mapping_distance_km,p95_mapping_distance_km,total_tmc_miles
New York,NYC_201906.csv,24,259,12171,85653899,29827107,49262973,0.08159919708142127,4971330,3225373,460801,19211,0.6019468013117485,0.7266670136900734,0.8934464629639269,0.5105447121913722,12.348189401833947,5369.2969140000005
Chicago,Chicago_201907.csv,13,128,9764,56311871,9689441,41851124,0.22928624047054869,1615999,2126720,304591,13274,0.7285671237004671,0.8456380894982672,0.9750640349555522,0.5437338044007355,8.460853662734218,4616.45525
Houston,Houston_201904.csv,4,61,6362,44887580,3831814,33653101,0.039677703831699565,638652,1739044,251546,20962,0.6985974620742296,0.8356072893807843,0.9832077091880546,0.88940542906482,8.546299132042428,8863.120873
Philadelphia,PA_2023.csv,20,220,11226,57303472,16944465,35353163,0.054728922078247,2824497,2094593,308498,12895,0.5805350911205894,0.6785575804575417,0.8366033346258239,1.0920305341072865,14.179241156693955,6280.375373000001
San Antonio,SanAnto_2024.csv,19,216,7472,33396264,9694176,20290661,0.04335095637003764,1615810,1258298,179760,7505,0.8359760159893405,0.9051299133910726,0.9597601598934044,0.7369189701287511,9.035689789185891,3562.34877
Dallas,Dallas_2019.csv,10,120,7291,74758020,11803068,50943158,0.036257669160592185,1967215,2928421,418626,34862,0.4249325913602203,0.5224886696116114,0.6730824393322242,4.255932656033692,22.97517435683189,15189.812442999999
Austin,Austin_2024.csv,15,163,7025,18734381,4105397,13269323,0.055906219072991786,684274,705282,100800,4204,0.7300190294957184,0.8465746907706946,0.934348239771646,0.9155749239966875,11.820447046040353,2440.634279
