city,intervention,rank,unit,total_cost,primitive_cost_share,origin_exposure_rank_pct,destination_importance_rank_pct,initial_deficit_rank_pct,out_degree_rank_pct,in_degree_rank_pct
Austin,C,1,63,1.325303539843117,0.08549616405912124,0.8164251207729468,1.0,1.0,0.5410628019323671,0.9347826086956522
Austin,C,2,3,0.8200951049580073,0.05290485049626587,0.6038647342995169,0.9951690821256038,0.9951690821256038,0.751207729468599,0.8140096618357487
Austin,C,3,183,0.7661058774082797,0.04942197150496465,0.4057971014492754,0.9903381642512077,0.9903381642512077,0.7294685990338164,0.9347826086956522
Austin,C,4,165,0.6817499204941208,0.043980115722589815,0.9227053140096618,0.9855072463768116,0.9855072463768116,0.9879227053140096,0.9347826086956522
Austin,C,5,105,0.6791203541206032,0.043810480743646636,0.8840579710144928,0.9806763285024155,0.9806763285024155,0.9106280193236715,0.9347826086956522
Austin,C,6,128,0.6620217952143705,0.042707441965379386,0.7101449275362319,0.9758454106280193,0.9758454106280193,0.9516908212560387,0.9347826086956522
Austin,C,7,16,0.6615806400394021,0.04267898276785917,1.0,0.9710144927536232,0.9710144927536232,0.9879227053140096,0.9347826086956522
Austin,C,8,144,0.6489049543269266,0.041861266318264576,0.8115942028985508,0.966183574879227,0.966183574879227,0.785024154589372,0.9347826086956522
Austin,R,1,63,0.9810093921563643,0.8462860640880652,0.8164251207729468,1.0,1.0,0.5410628019323671,0.9347826086956522
Austin,R,2,3,0.1001614378447683,0.08640613401338314,0.6038647342995169,0.9951690821256038,0.9951690821256038,0.751207729468599,0.8140096618357487
Austin,R,3,183,0.0780227734212201,0.06730780189855178,0.4057971014492754,0.9903381642512077,0.9903381642512077,0.7294685990338164,0.9347826086956522
Austin,S,1,16,0.4084259488830798,0.07611117445697545,1.0,0.9710144927536232,0.9710144927536232,0.9879227053140096,0.9347826086956522
Austin,S,2,177,0.2468259217708324,0.0459966141812932,0.9903381642512077,0.8888888888888888,0.8888888888888888,0.8502415458937198,0.5144927536231884
Austin,S,3,80,0.2415894499275839,0.045020784846525295,0.9806763285024155,0.9371980676328503,0.9371980676328503,0.8502415458937198,0.8140096618357487
Austin,S,4,205,0.2350037291559946,0.0437935196741186,0.9951690821256038,0.4251207729468599,0.4251207729468599,0.8502415458937198,0.4613526570048309
Austin,S,5,184,0.2317409996118592,0.04318550204394911,0.9516908212560387,0.927536231884058,0.927536231884058,0.9516908212560387,0.9347826086956522
Austin,S,6,14,0.2314478855371094,0.04313087951925378,0.9468599033816425,0.9565217391304348,0.9565217391304348,0.9516908212560387,0.9347826086956522
