city,intervention,total_cost,active_unit_count,active_unit_share,cost_gini_across_active_units,top_10pct_active_cost_share,cost_weighted_mean_origin_exposure_p_rank_pct,cost_share_in_top10_origin_exposure_p,cost_share_in_top25_origin_exposure_p,cost_weighted_mean_destination_importance_rank_pct,cost_share_in_top10_destination_importance,cost_share_in_top25_destination_importance,cost_weighted_mean_initial_deficit_b0_rank_pct,cost_share_in_top10_initial_deficit_b0,cost_share_in_top25_initial_deficit_b0,cost_weighted_mean_local_disturbance_h_rank_pct,cost_share_in_top10_local_disturbance_h,cost_share_in_top25_local_disturbance_h,cost_weighted_mean_out_degree_rank_pct,cost_share_in_top10_out_degree,cost_share_in_top25_out_degree,cost_weighted_mean_in_degree_rank_pct,cost_share_in_top10_in_degree,cost_share_in_top25_in_degree
Austin,C,15.501321660778368,39,0.18840579710144928,0.4006013319220618,0.23180310178294156,0.7319276534198934,0.24200836649288227,0.5555048052513415,0.9459503670168125,0.8405896147219832,1.0,0.9459503670168125,0.8405896147219832,1.0,0.9459503670168125,0.8405896147219832,1.0,0.7127793273958812,0.27435209011992223,0.586221609403231,0.8594568530801376,0.6054337131039419,0.8157505084905777
Austin,R,1.1591936034223527,3,0.014492753623188406,0.5193188414596754,0.8462860640880652,0.7704201301547549,0.0,0.8462860640880652,0.9989322621361812,1.0,1.0,0.9989322621361812,1.0,1.0,0.9989322621361812,1.0,1.0,0.5719017927711385,0.0,0.08640613401338314,0.9243470852640843,0.9135938659866168,1.0
Austin,S,5.366175884120105,38,0.18357487922705315,0.37415509921953705,0.21092209315891255,0.9447039809937944,0.8529643566528007,1.0,0.6927178824139238,0.276579441980134,0.4666920729940049,0.6927178824139238,0.276579441980134,0.4666920729940049,0.6927178824139238,0.276579441980134,0.4666920729940049,0.8609993613879957,0.49596746406576697,0.8290456424620343,0.6377384875558709,0.2128561844725918,0.4018248014178127
Chicago,C,41.122198805276874,210,0.23809523809523808,0.7209602618396378,0.4526577478037682,0.80203026068234,0.3890483201966003,0.7084915559780199,0.967281447523772,0.9862905706460535,0.9998508351581336,0.9672815769384614,0.9862905706460535,0.9998508351581336,0.9672815769384614,0.9862905706460535,0.9998508351581336,0.8042801056166861,0.5852655718420922,0.7087632749981491,0.9189030582660263,0.7414068333803288,0.9400272249731648
Chicago,R,18.486343002739144,35,0.03968253968253968,0.34610410698564253,0.23527652455882633,0.8807225904829246,0.5377326742911297,0.9132614162609711,0.9875927539931895,1.0,1.0,0.9875927601682247,1.0,1.0,0.9875927601682247,1.0,1.0,0.9231927509920752,0.8037988126113437,0.9159573074670517,0.9594176530585512,0.8651647217429298,1.0
Chicago,S,11.018734835593756,360,0.40816326530612246,0.7620098989732103,0.6189367569736646,0.9513416921700752,0.9075077038832661,0.9614114515330421,0.8343738930218146,0.44992147622115447,0.7809862109247043,0.8343624549305677,0.44992147622115447,0.7805839682543654,0.8343624549305677,0.44992147622115447,0.7805839682543654,0.8765331955988672,0.5705187281302431,0.8579035688157305,0.6876442093323449,0.26478853920676654,0.443890124583857
Dallas,C,7.299606395965521,13,0.03551912568306011,0.2889974607091621,0.23611844350847355,0.8640447216162767,0.6605792220912046,0.8063239796117032,0.9887390259415562,1.0,1.0,0.9887390259415562,1.0,1.0,0.9887390259415562,1.0,1.0,0.8999921752089981,0.7156192714871327,0.8173072422465778,0.9115158573157289,0.6093708477494948,0.9742837420636461
Dallas,R,37.82228450011906,31,0.08469945355191257,0.30904154950131746,0.27760761464617667,0.8200366594397515,0.5463621678338639,0.7367351619603252,0.9721042077530435,1.0,1.0,0.9721042186264222,1.0,1.0,0.9721042186264222,1.0,1.0,0.7758185073177746,0.5543967886345317,0.6289931819362341,0.8589381676748374,0.44274181254704165,0.8227209233241704
Dallas,S,1.047452062686401,4,0.01092896174863388,0.0752684724201853,0.3043770319929172,0.9962433263465593,1.0,1.0,0.8418779717263903,0.7905464716156944,0.7905464716156944,0.8418779717263903,0.7905464716156944,0.7905464716156944,0.8418779717263903,0.7905464716156944,0.7905464716156944,0.7937858739380911,0.7487635907611585,0.7487635907611585,0.7344213471180092,0.5393100623768529,0.5393100623768529
Houston,C,8.824318260185212,34,0.08651399491094147,0.39380243144695815,0.2837414778469646,0.88342092893083,0.689709205984404,0.8747141744032054,0.9750499117463138,1.0,1.0,0.9750499117463138,1.0,1.0,0.9750499117463138,1.0,1.0,0.7754191816871345,0.4426195040430942,0.7201416797725352,0.9282853050103888,0.8542080356626498,0.9553191489850076
Houston,R,10.638002248119157,22,0.05597964376590331,0.4329729184308184,0.3396230409856124,0.9189538855452863,0.8382309222641876,0.9294513279930671,0.9854012776151119,1.0,1.0,0.9854012776151119,1.0,1.0,0.9854012776151119,1.0,1.0,0.799967685720337,0.4661962243604652,0.7672854354469888,0.9502836163899397,0.9337441166400445,0.9965569966484458
Houston,S,1.7450068795185758,17,0.043256997455470736,0.24975689535593926,0.24230206155627887,0.9848613077908029,1.0,1.0,0.9415896014588883,0.7914360085161208,0.9839852361467119,0.9415896014588883,0.7914360085161208,0.9839852361467119,0.9415896014588883,0.7914360085161208,0.9839852361467119,0.8849631974305479,0.6958979113429934,0.9099034355687273,0.9028702004356939,0.7666198331071342,0.882391422520993
New York,C,129.409980948576,264,0.1360824742268041,0.6936041795589754,0.41826148494663423,0.8582636120868382,0.5753803562234416,0.8439687239233772,0.9794026526817926,0.9947001143680579,1.0,0.979402564702803,0.9946796424502862,1.0,0.979402564702803,0.9946796424502862,1.0,0.7274370517554656,0.3344690595910431,0.5729463329192448,0.9569431397778757,0.8947238195823863,0.9893415681614838
New York,R,248.20420259437947,210,0.10824742268041238,0.6583685136200059,0.4009258678074063,0.8683483201103149,0.5939050761150506,0.8642909823143392,0.9817667378032084,0.9997568030033419,1.0,0.9817639297511837,0.9997568310146494,1.0,0.9817639297511837,0.9997568310146494,1.0,0.735753667338669,0.3348565057199936,0.5850289436719748,0.960124157579202,0.9094703964546961,0.9921657394395352
New York,S,22.443029164628452,373,0.1922680412371134,0.7970625813402119,0.7612485287201283,0.9806172957175395,0.9669693352005556,1.0,0.8578639707818254,0.5816197873317498,0.7957427274273089,0.8547596181389127,0.5804413460630066,0.7957427274273089,0.8547596181389127,0.5804413460630066,0.7957427274273089,0.9041627259358836,0.7865310557312507,0.8523245981460513,0.7943122674328713,0.39976861198859104,0.6152639305333245
Philadelphia,C,34.599637966336545,100,0.1557632398753894,0.4349737606435029,0.2567752796948266,0.7560209520886833,0.33292929351265277,0.5709178055377949,0.9567698001329563,0.924706603225291,1.0,0.9567698001636098,0.924706603225291,1.0,0.9567698001636098,0.924706603225291,1.0,0.8005894317821537,0.4823451993097794,0.6809029045138174,0.8987506045219249,0.637011485305942,0.9025900637427768
Philadelphia,R,3.0919033622990906,11,0.017133956386292833,0.3143994020040617,0.32965901242083956,0.8916660136280757,0.7444640575222364,0.8102447391635564,0.9949052908271374,1.0,1.0,0.9949052908271374,1.0,1.0,0.9949052908271374,1.0,1.0,0.9044014619336356,0.5980596214314544,0.8231137994120791,0.9562941534807199,0.851470570309392,1.0
Philadelphia,S,12.52789131247458,160,0.24922118380062305,0.4866169121093036,0.2424449681413556,0.9366948635451441,0.7842452927387161,1.0,0.7670891955157233,0.3147925070771112,0.5786706536809445,0.7671098885598471,0.3147925070771112,0.5786706536809445,0.7671098885598471,0.3147925070771112,0.5786706536809445,0.8582553078040409,0.47129594470709524,0.8399502322189035,0.6859485975163215,0.17384269736042382,0.43440602799600875
San Antonio,C,26.199523286205174,96,0.3157894736842105,0.6058508736544306,0.35484087854660534,0.788300709561586,0.30776813622889954,0.6875404534395947,0.9393380546400357,0.7903458210150135,0.9936724271287564,0.5,0.0,0.0,0.9393380546400357,0.7903458210150135,0.9936724271287564,0.7172550430329706,0.26589409216627213,0.4762084718477601,0.858428425118301,0.4871222660756808,0.7679464059299818
San Antonio,R,1.7618031245776236,7,0.023026315789473683,0.5346441106180397,0.41542792016052094,0.9433626003468257,0.690842291330542,0.9679304296996443,0.996287021010405,1.0,1.0,0.5,0.0,0.0,0.996287021010405,1.0,1.0,0.8844727547118594,0.674950281956372,0.7351371772879394,0.9460586322959084,0.9399516739743187,0.9557051140426025
San Antonio,S,7.021911069949445,149,0.4901315789473684,0.6937870243547133,0.4701507214074766,0.926208782440836,0.7998743371584933,0.9477289948184854,0.756294154882395,0.28733746279619743,0.6525051868704018,0.5,0.0,0.0,0.756294154882395,0.28733746279619743,0.6525051868704018,0.8423363383145936,0.48666793135356967,0.7829670892391177,0.6705525228088725,0.24530198055547653,0.49758432110328993
