city,unit,origin_exposure_p,destination_importance,initial_deficit_b0,local_disturbance_h,out_degree,in_degree,origin_exposure_p_rank_pct,origin_exposure_p_top10,origin_exposure_p_top25,destination_importance_rank_pct,destination_importance_top10,destination_importance_top25,initial_deficit_b0_rank_pct,initial_deficit_b0_top10,initial_deficit_b0_top25,local_disturbance_h_rank_pct,local_disturbance_h_top10,local_disturbance_h_top25,out_degree_rank_pct,out_degree_top10,out_degree_top25,in_degree_rank_pct,in_degree_top10,in_degree_top25
Austin,63,0.006774787291375209,0.022794184147858124,0.05895845775846875,0.0043357865294863995,191,206,0.8164251207729468,False,True,1.0,True,True,1.0,True,True,1.0,True,True,0.5410628019323671,False,False,0.9347826086956522,True,True
Austin,16,0.015141212479052861,0.012529951451008216,0.04946718203566586,0.003637801083612707,207,206,1.0,True,True,0.9710144927536232,True,True,0.9710144927536232,True,True,0.9710144927536232,True,True,0.9879227053140096,True,True,0.9347826086956522,True,True
Austin,80,0.011601025126392479,0.010224002176926596,0.04733497739379346,0.0034809994216321444,203,205,0.9806763285024155,True,True,0.9371980676328503,True,True,0.9371980676328503,True,True,0.9371980676328503,True,True,0.8502415458937198,False,True,0.8140096618357487,False,True
Austin,165,0.008734769647906265,0.012816364823089588,0.0497320167748748,0.0036572769474405267,207,206,0.9227053140096618,True,True,0.9855072463768116,True,True,0.9855072463768116,True,True,0.9855072463768116,True,True,0.9879227053140096,True,True,0.9347826086956522,True,True
Austin,177,0.013043840530683635,0.008404155632197093,0.04565208009533257,0.0033572396810523,203,196,0.9903381642512077,True,True,0.8888888888888888,False,True,0.8888888888888888,False,True,0.8888888888888888,False,True,0.8502415458937198,False,True,0.5144927536231884,False,False
Austin,14,0.009885245927694802,0.01092414494265206,0.047982285857310715,0.0035286022834308405,206,206,0.9468599033816425,True,True,0.9565217391304348,True,True,0.9565217391304348,True,True,0.9565217391304348,True,True,0.9516908212560387,True,True,0.9347826086956522,True,True
Austin,105,0.007625795220952675,0.012655590794257257,0.049583340414066125,0.0036463433344025445,205,206,0.8840579710144928,False,True,0.9806763285024155,True,True,0.9806763285024155,True,True,0.9806763285024155,True,True,0.9106280193236715,True,True,0.9347826086956522,True,True
Austin,184,0.009897904860901715,0.009503882404496431,0.04666898009645845,0.003432022188844119,206,206,0.9516908212560387,True,True,0.927536231884058,True,True,0.927536231884058,True,True,0.927536231884058,True,True,0.9516908212560387,True,True,0.9347826086956522,True,True
Austin,144,0.006766624691675768,0.012330498341065461,0.0492827502479299,0.003624238027669986,201,206,0.8115942028985508,False,True,0.966183574879227,True,True,0.966183574879227,True,True,0.966183574879227,True,True,0.785024154589372,False,True,0.9347826086956522,True,True
Austin,3,0.005053057792292985,0.013648621490053654,0.05050158981077495,0.003713871107623296,199,205,0.6038647342995169,False,False,0.9951690821256038,True,True,0.9951690821256038,True,True,0.9951690821256038,True,True,0.751207729468599,False,True,0.8140096618357487,False,True
Austin,167,0.007075213637904476,0.011532373477507178,0.04854472869698411,0.003569964153815106,202,206,0.8454106280193237,False,True,0.961352657004831,True,True,0.961352657004831,True,True,0.961352657004831,True,True,0.8140096618357487,False,True,0.9347826086956522,True,True
Austin,125,0.010104294259357221,0.008226150925161388,0.045487504360702716,0.0033451368330400326,205,205,0.9565217391304348,True,True,0.8743961352657005,False,True,0.8743961352657005,False,True,0.8743961352657005,False,True,0.9106280193236715,True,True,0.8140096618357487,False,True
Austin,128,0.005667443280803252,0.012558698263458715,0.049493753613032945,0.003639755149095346,206,206,0.7101449275362319,False,False,0.9758454106280193,True,True,0.9758454106280193,True,True,0.9758454106280193,True,True,0.9516908212560387,True,True,0.9347826086956522,True,True
Austin,114,0.007825409264724817,0.010374278365690794,0.04747390571709467,0.003491216167042976,201,204,0.8888888888888888,False,True,0.9468599033816425,True,True,0.9468599033816425,True,True,0.9468599033816425,True,True,0.785024154589372,False,True,0.7391304347826086,False,False
Austin,12,0.009124307261888847,0.008250034115618175,0.045509556534011376,0.0033467585429627937,194,205,0.927536231884058,True,True,0.8792270531400966,False,True,0.8792270531400966,False,True,0.8792270531400966,False,True,0.6111111111111112,False,False,0.8140096618357487,False,True
