level,feature,target,n,pearson,spearman,abs_spearman
city,a_retention,cost_share_C,7,-0.974349215412066,-0.8928571428571429,0.8928571428571429
city,tmc_deficit_gini,cost_share_C,7,0.4467792740392365,0.642857142857143,0.642857142857143
city,top_10pct_tmc_deficit_share,cost_share_C,7,0.4860485877946238,0.642857142857143,0.642857142857143
city,top10_destination_volume_share,cost_share_C,7,0.43545871983898854,0.5714285714285715,0.5714285714285715
city,destination_volume_hhi,cost_share_C,7,0.3664689231814815,0.5714285714285715,0.5714285714285715
city,n_units,cost_share_C,7,-0.33610827171007246,-0.5,0.5
city,q_nnz,cost_share_C,7,-0.3298290726217257,-0.5,0.5
city,od_rows,cost_share_C,7,-0.3298287688513316,-0.5,0.5
city,origin_zone_count,cost_share_C,7,-0.3360894928566631,-0.5,0.5
city,destination_zone_count,cost_share_C,7,-0.33610827171007246,-0.5,0.5
city,log_n_units,cost_share_C,7,-0.3238035920104113,-0.5,0.5
city,log_od_rows,cost_share_C,7,-0.3154708396337877,-0.5,0.5
city,q_density,cost_share_C,7,0.34437270047331026,0.4642857142857144,0.4642857142857144
city,od_density_observed,cost_share_C,7,0.3446495272895272,0.4642857142857144,0.4642857142857144
city,od_sparsity,cost_share_C,7,-0.34437270047331026,-0.4642857142857144,0.4642857142857144
city,link_volume_hhi,cost_share_C,7,0.24914916326328884,0.42857142857142866,0.42857142857142866
city,congested_volume_share_speed_ratio_lt_0_8,cost_share_C,7,-0.18732814614864368,0.3214285714285715,0.3214285714285715
city,volume_weighted_speed_kmph,cost_share_C,7,0.2762669770752979,-0.21428571428571433,0.21428571428571433
city,top10_link_volume_share,cost_share_C,7,0.11716489805959714,0.21428571428571433,0.21428571428571433
city,rain_kernel_sum,cost_share_C,7,0.02586927201093763,-0.14285714285714288,0.14285714285714288
city,within_zone_volume_share,cost_share_C,7,-0.12819806612891715,-0.10714285714285716,0.10714285714285716
city,destination_volume_gini,cost_share_C,7,-0.21572160264757878,-0.10714285714285716,0.10714285714285716
city,doc_over_1_volume_share,cost_share_C,7,-0.22671300972326872,0.0,0.0
city,a_retention,cost_share_R,7,0.9784342614119103,0.8928571428571429,0.8928571428571429
city,tmc_deficit_gini,cost_share_R,7,-0.4746601010833371,-0.642857142857143,0.642857142857143
city,top_10pct_tmc_deficit_share,cost_share_R,7,-0.5108003580688494,-0.642857142857143,0.642857142857143
city,top10_destination_volume_share,cost_share_R,7,-0.4429781380292372,-0.5714285714285715,0.5714285714285715
city,destination_volume_hhi,cost_share_R,7,-0.37814170880161385,-0.5714285714285715,0.5714285714285715
city,n_units,cost_share_R,7,0.351179715317676,0.5,0.5
city,q_nnz,cost_share_R,7,0.3505080633733483,0.5,0.5
city,od_rows,cost_share_R,7,0.3505078685740039,0.5,0.5
city,origin_zone_count,cost_share_R,7,0.3511879359467304,0.5,0.5
city,destination_zone_count,cost_share_R,7,0.351179715317676,0.5,0.5
city,log_n_units,cost_share_R,7,0.3376437617712259,0.5,0.5
city,log_od_rows,cost_share_R,7,0.338254071943288,0.5,0.5
city,q_density,cost_share_R,7,-0.3378488866039174,-0.4642857142857144,0.4642857142857144
city,od_density_observed,cost_share_R,7,-0.33815318540154105,-0.4642857142857144,0.4642857142857144
city,od_sparsity,cost_share_R,7,0.33784888660391743,0.4642857142857144,0.4642857142857144
city,link_volume_hhi,cost_share_R,7,-0.27694195769186886,-0.42857142857142866,0.42857142857142866
city,congested_volume_share_speed_ratio_lt_0_8,cost_share_R,7,0.19255285464937225,-0.3214285714285715,0.3214285714285715
city,volume_weighted_speed_kmph,cost_share_R,7,-0.28757247269932035,0.21428571428571433,0.21428571428571433
city,top10_link_volume_share,cost_share_R,7,-0.12764316898793607,-0.21428571428571433,0.21428571428571433
city,rain_kernel_sum,cost_share_R,7,-0.05181953926800872,0.14285714285714288,0.14285714285714288
city,within_zone_volume_share,cost_share_R,7,0.08538552160701368,0.10714285714285716,0.10714285714285716
city,destination_volume_gini,cost_share_R,7,0.25388173369694017,0.10714285714285716,0.10714285714285716
city,doc_over_1_volume_share,cost_share_R,7,0.2559327850242588,0.0,0.0
city,a_retention,cost_share_S,7,-0.9566420280121505,-0.9642857142857145,0.9642857142857145
city,tmc_deficit_gini,cost_share_S,7,0.5270006299237137,0.5,0.5
city,top_10pct_tmc_deficit_share,cost_share_S,7,0.5543685132423599,0.5,0.5
city,congested_volume_share_speed_ratio_lt_0_8,cost_share_S,7,-0.19900290141485938,0.39285714285714296,0.39285714285714296
city,top10_destination_volume_share,cost_share_S,7,0.44688496144209106,0.3571428571428572,0.3571428571428572
city,destination_volume_hhi,cost_share_S,7,0.3942392666488495,0.3571428571428572,0.3571428571428572
city,n_units,cost_share_S,7,-0.37640703719216717,-0.28571428571428575,0.28571428571428575
city,q_nnz,cost_share_S,7,-0.38937865835050445,-0.28571428571428575,0.28571428571428575
city,od_rows,cost_share_S,7,-0.38937873457110744,-0.28571428571428575,0.28571428571428575
city,origin_zone_count,cost_share_S,7,-0.3764805768041607,-0.28571428571428575,0.28571428571428575
city,destination_zone_count,cost_share_S,7,-0.37640703719216717,-0.28571428571428575,0.28571428571428575
city,volume_weighted_speed_kmph,cost_share_S,7,0.3057135812270544,-0.28571428571428575,0.28571428571428575
city,log_n_units,cost_share_S,7,-0.36031891039560227,-0.28571428571428575,0.28571428571428575
city,log_od_rows,cost_share_S,7,-0.3826333644894105,-0.28571428571428575,0.28571428571428575
city,doc_over_1_volume_share,cost_share_S,7,-0.31861572028813867,-0.21428571428571433,0.21428571428571433
city,link_volume_hhi,cost_share_S,7,0.33547756052686284,0.21428571428571433,0.21428571428571433
city,q_density,cost_share_S,7,0.31105047412022835,0.1785714285714286,0.1785714285714286
city,od_density_observed,cost_share_S,7,0.3114116424659383,0.1785714285714286,0.1785714285714286
city,within_zone_volume_share,cost_share_S,7,0.02137974842955798,0.1785714285714286,0.1785714285714286
city,destination_volume_gini,cost_share_S,7,-0.338348504160346,-0.1785714285714286,0.1785714285714286
city,od_sparsity,cost_share_S,7,-0.3110504741202284,-0.1785714285714286,0.1785714285714286
city,rain_kernel_sum,cost_share_S,7,0.1131766013918579,0.14285714285714288,0.14285714285714288
city,top10_link_volume_share,cost_share_S,7,0.14895884945256588,0.0,0.0
city,a_retention,mean_baseline_objective,7,0.9112222013324922,0.9642857142857145,0.9642857142857145
city,congested_volume_share_speed_ratio_lt_0_8,mean_baseline_objective,7,-0.12394806991941866,-0.5714285714285715,0.5714285714285715
city,tmc_deficit_gini,mean_baseline_objective,7,-0.29732562537516216,-0.5714285714285715,0.5714285714285715
city,top_10pct_tmc_deficit_share,mean_baseline_objective,7,-0.3424450616865288,-0.5714285714285715,0.5714285714285715
city,volume_weighted_speed_kmph,mean_baseline_objective,7,0.0264938876809442,0.4642857142857144,0.4642857142857144
city,top10_destination_volume_share,mean_baseline_objective,7,-0.10684109518247652,-0.1785714285714286,0.1785714285714286
city,destination_volume_hhi,mean_baseline_objective,7,-0.048864128096268805,-0.1785714285714286,0.1785714285714286
