intervention,mean_cost_share_outside_top10_origin_exposure,mean_cost_share_outside_top10_destination_importance,mean_cost_share_outside_top10_initial_deficit,mean_cost_weighted_origin_rank,mean_cost_weighted_destination_rank,mean_cost_weighted_deficit_rank
C,0.5432252998957021,0.0661953251462287,0.179104795565198,0.8120012626266354,0.9646473228118914,0.9018847495013651
R,0.43549468723471285,3.474242809401292e-05,0.1428918812836215,0.8705014571011335,0.9881413644483252,0.9172428198748944
S,0.0983484249094526,0.501109549208834,0.5423261069323969,0.9600958927149646,0.8131152385429944,0.7760596310326472
