city,unit,intervention,total_u,total_e,total_cost,event_count,origin_exposure_p,destination_importance,initial_deficit_b0,local_disturbance_h,out_degree,in_degree,origin_exposure_p_rank_pct,origin_exposure_p_top10,origin_exposure_p_top25,destination_importance_rank_pct,destination_importance_top10,destination_importance_top25,initial_deficit_b0_rank_pct,initial_deficit_b0_top10,initial_deficit_b0_top25,local_disturbance_h_rank_pct,local_disturbance_h_top10,local_disturbance_h_top25,out_degree_rank_pct,out_degree_top10,out_degree_top25,in_degree_rank_pct,in_degree_top10,in_degree_top25
Austin,105,C,0.736811585088945,0.21850579820167929,0.6791203541206032,15,0.007625795220952675,0.012655590794257257,0.049583340414066125,0.0036463433344025445,205,206,0.8840579710144928,False,True,0.9806763285024155,True,True,0.9806763285024155,True,True,0.9806763285024155,True,True,0.9106280193236715,True,True,0.9347826086956522,True,True
Austin,105,S,0.0563124780908859,0.0209563010030095,0.039690756040142904,3,0.007625795220952675,0.012655590794257257,0.049583340414066125,0.0036463433344025445,205,206,0.8840579710144928,False,True,0.9806763285024155,True,True,0.9806763285024155,True,True,0.9806763285024155,True,True,0.9106280193236715,True,True,0.9347826086956522,True,True
Austin,11,C,0.0588148752313691,0.0168046378507453,0.0513545576041309,2,0.004713721791231788,0.007648542916875066,0.044953355831157074,0.0033058557173664075,184,200,0.5603864734299517,False,False,0.8502415458937198,False,True,0.8502415458937198,False,True,0.8502415458937198,False,True,0.3695652173913043,False,False,0.5942028985507246,False,False
Austin,110,S,0.0448025220381075,0.0153083539434353,0.028199187132630497,2,0.006978600220014952,0.0024831836363186587,0.04017698924195411,0.002954603213405168,206,186,0.8357487922705314,False,True,0.28019323671497587,False,False,0.28019323671497587,False,False,0.28019323671497587,False,False,0.9516908212560387,True,True,0.3695652173913043,False,False
Austin,114,C,0.6317777882868065,0.1846371637102069,0.5683371940505452,15,0.007825409264724817,0.010374278365690794,0.04747390571709467,0.003491216167042976,201,204,0.8888888888888888,False,True,0.9468599033816425,True,True,0.9468599033816425,True,True,0.9468599033816425,True,True,0.785024154589372,False,True,0.7391304347826086,False,False
Austin,114,S,0.1286528720557873,0.0469985290713657,0.0885025211360579,8,0.007825409264724817,0.010374278365690794,0.04747390571709467,0.003491216167042976,201,204,0.8888888888888888,False,True,0.9468599033816425,True,True,0.9468599033816425,True,True,0.9468599033816425,True,True,0.785024154589372,False,True,0.7391304347826086,False,False
Austin,118,S,0.3409010681819899,0.1198655660208879,0.2229480748980145,15,0.010552581203391379,0.005799232742029875,0.04324331344060101,0.0031800997352103323,205,199,0.9758454106280193,True,True,0.6956521739130435,False,False,0.6956521739130435,False,False,0.6956521739130435,False,False,0.9106280193236715,True,True,0.5628019323671497,False,False
Austin,12,C,0.2527697789591894,0.0725857927195784,0.2221815331598641,11,0.009124307261888847,0.008250034115618175,0.045509556534011376,0.0033467585429627937,194,205,0.927536231884058,True,True,0.8792270531400966,False,True,0.8792270531400966,False,True,0.8792270531400966,False,True,0.6111111111111112,False,False,0.8140096618357487,False,True
Austin,12,S,0.2924957870713936,0.1049919746099364,0.1966060404067634,14,0.009124307261888847,0.008250034115618175,0.045509556534011376,0.0033467585429627937,194,205,0.927536231884058,True,True,0.8792270531400966,False,True,0.8792270531400966,False,True,0.8792270531400966,False,True,0.6111111111111112,False,False,0.8140096618357487,False,True
Austin,120,S,0.06007185356078951,0.0212485155684775,0.0395998036123463,3,0.007483883586111282,0.006502049716514493,0.04389321300454518,0.003227893145723406,205,205,0.8743961352657005,False,True,0.748792270531401,False,False,0.748792270531401,False,False,0.748792270531401,False,False,0.9106280193236715,True,True,0.8140096618357487,False,True
Austin,122,S,0.2954324093936348,0.1015799864282164,0.1875210395964906,14,0.00928950613898055,0.0032011815547554664,0.04084092803738224,0.003003429064607275,195,172,0.9323671497584541,True,True,0.36231884057971014,False,False,0.36231884057971014,False,False,0.36231884057971014,False,False,0.6376811594202898,False,False,0.23671497584541062,False,False
Austin,125,C,0.23221581610274122,0.06667021715390262,0.2040611596319321,11,0.010104294259357221,0.008226150925161388,0.045487504360702716,0.0033451368330400326,205,205,0.9565217391304348,True,True,0.8743961352657005,False,True,0.8743961352657005,False,True,0.8743961352657005,False,True,0.9106280193236715,True,True,0.8140096618357487,False,True
Austin,125,S,0.3430972071368877,0.1231309611497004,0.2305579851100789,15,0.010104294259357221,0.008226150925161388,0.045487504360702716,0.0033451368330400326,205,205,0.9565217391304348,True,True,0.8743961352657005,False,True,0.8743961352657005,False,True,0.8743961352657005,False,True,0.9106280193236715,True,True,0.8140096618357487,False,True
Austin,127,C,0.0406977480131082,0.0116135867912257,0.035476346503628596,2,0.003059327420734499,0.007498664102426436,0.04481477733619643,0.0032956646982222446,153,201,0.26570048309178745,False,False,0.8260869565217391,False,True,0.8260869565217391,False,True,0.8260869565217391,False,True,0.06521739130434782,False,False,0.6256038647342995,False,False
Austin,128,C,0.7189932425788518,0.2138878528570039,0.6620217952143705,15,0.005667443280803252,0.012558698263458715,0.049493753613032945,0.003639755149095346,206,206,0.7101449275362319,False,False,0.9758454106280193,True,True,0.9758454106280193,True,True,0.9758454106280193,True,True,0.9516908212560387,True,True,0.9347826086956522,True,True
Austin,138,C,0.5035860140387284,0.1457046194898106,0.4470740891954149,13,0.0037688743916398327,0.009156981779933545,0.04634820493023255,0.003408432483522896,169,206,0.4106280193236715,False,False,0.9033816425120773,True,True,0.9033816425120773,True,True,0.9033816425120773,True,True,0.1642512077294686,False,False,0.9347826086956522,True,True
Austin,14,C,0.6492990018617519,0.1906128154740056,0.5875600121054015,15,0.009885245927694802,0.01092414494265206,0.047982285857310715,0.0035286022834308405,206,206,0.9468599033816425,True,True,0.9565217391304348,True,True,0.9565217391304348,True,True,0.9565217391304348,True,True,0.9516908212560387,True,True,0.9347826086956522,True,True
Austin,14,S,0.3344654719941534,0.1227350671894731,0.2314478855371094,15,0.009885245927694802,0.01092414494265206,0.047982285857310715,0.0035286022834308405,206,206,0.9468599033816425,True,True,0.9565217391304348,True,True,0.9565217391304348,True,True,0.9565217391304348,True,True,0.9516908212560387,True,True,0.9347826086956522,True,True
Austin,144,C,0.7064450331378749,0.20976884691806139,0.6489049543269266,15,0.006766624691675768,0.012330498341065461,0.0492827502479299,0.003624238027669986,201,206,0.8115942028985508,False,True,0.966183574879227,True,True,0.966183574879227,True,True,0.966183574879227,True,True,0.785024154589372,False,True,0.9347826086956522,True,True
Austin,154,C,0.1478774748016405,0.04241414440514434,0.1297776809222676,7,0.004294969034706231,0.00810718636593719,0.04537746741567134,0.0033370447505441277,199,205,0.4830917874396135,False,False,0.8647342995169082,False,True,0.8647342995169082,False,True,0.8647342995169082,False,True,0.751207729468599,False,True,0.8140096618357487,False,True
Austin,159,S,0.3511250343334399,0.119291317492252,0.2231147772120946,15,0.01269652106797685,0.0032948108665967826,0.04092749986595359,0.003009795529783321,197,176,0.9855072463768116,True,True,0.37681159420289856,False,False,0.37681159420289856,False,False,0.37681159420289856,False,False,0.7004830917874396,False,False,0.26811594202898553,False,False
Austin,16,C,0.7187315967032692,0.2137605463671931,0.6615806400394021,15,0.015141212479052861,0.012529951451008216,0.04946718203566586,0.003637801083612707,207,206,1.0,True,True,0.9710144927536232,True,True,0.9710144927536232,True,True,0.9710144927536232,True,True,0.9879227053140096,True,True,0.9347826086956522,True,True
Austin,16,S,0.5802335616772789,0.1831702395139479,0.4084259488830798,15,0.015141212479052861,0.012529951451008216,0.04946718203566586,0.003637801083612707,207,206,1.0,True,True,0.9710144927536232,True,True,0.9710144927536232,True,True,0.9710144927536232,True,True,0.9879227053140096,True,True,0.9347826086956522,True,True
Austin,160,S,0.058327674045047,0.020357494010130598,0.0377713700772316,3,0.007459433938392611,0.004932710364398558,0.04244206545937049,0.0031211762094622646,192,177,0.8695652173913043,False,True,0.5990338164251208,False,False,0.5990338164251208,False,False,0.5990338164251208,False,False,0.5700483091787439,False,False,0.2826086956521739,False,False
Austin,163,S,0.3017890798125781,0.1058848601042775,0.1968034482035847,14,0.009304713766666063,0.005546479678842259,0.04300959926932458,0.003162912468207493,203,202,0.9371980676328503,True,True,0.6666666666666666,False,False,0.6666666666666666,False,False,0.6666666666666666,False,False,0.8502415458937198,False,True,0.6642512077294686,False,False
Austin,164,S,0.2170915602335012,0.073749630198308,0.135581627202366,12,0.007846413576348733,0.0018257572513345123,0.039569092663622525,0.0029098986893070565,201,169,0.893719806763285,False,True,0.15942028985507245,False,False,0.15942028985507245,False,False,0.15942028985507245,False,False,0.785024154589372,False,True,0.21497584541062803,False,False
Austin,165,C,0.7384156474544623,0.2192651803446935,0.6817499204941208,15,0.008734769647906265,0.012816364823089588,0.0497320167748748,0.0036572769474405267,207,206,0.9227053140096618,True,True,0.9855072463768116,True,True,0.9855072463768116,True,True,0.9855072463768116,True,True,0.9879227053140096,True,True,0.9347826086956522,True,True
Austin,165,S,0.291942719823534,0.1087850196302056,0.2061181735987498,13,0.008734769647906265,0.012816364823089588,0.0497320167748748,0.0036572769474405267,207,206,0.9227053140096618,True,True,0.9855072463768116,True,True,0.9855072463768116,True,True,0.9855072463768116,True,True,0.9879227053140096,True,True,0.9347826086956522,True,True
Austin,167,C,0.6951495757544641,0.2050858428421827,0.6331503174212889,15,0.007075213637904476,0.011532373477507178,0.04854472869698411,0.003569964153815106,202,206,0.8454106280193237,False,True,0.961352657004831,True,True,0.961352657004831,True,True,0.961352657004831,True,True,0.8140096618357487,False,True,0.9347826086956522,True,True
Austin,167,S,0.035606393459510596,0.013130927982817099,0.0247999602317015,2,0.007075213637904476,0.011532373477507178,0.04854472869698411,0.003569964153815106,202,206,0.8454106280193237,False,True,0.961352657004831,True,True,0.961352657004831,True,True,0.961352657004831,True,True,0.8140096618357487,False,True,0.9347826086956522,True,True
Austin,173,S,0.0493093955768805,0.0167555965410368,0.0308063462028156,2,0.007147419927073008,0.0018553740733245894,0.03959646868753959,0.0029119119135371874,194,165,0.855072463768116,False,True,0.1642512077294686,False,False,0.1642512077294686,False,False,0.1642512077294686,False,False,0.6111111111111112,False,False,0.18357487922705315,False,False
Austin,174,C,0.5133541017072137,0.1485611501373771,0.4558686122152093,13,0.0038154265433531604,0.009181619601601975,0.04637098237906073,0.003410107529980351,157,203,0.43478260869565216,False,False,0.9082125603864735,True,True,0.9082125603864735,True,True,0.9082125603864735,True,True,0.07971014492753623,False,False,0.7028985507246377,False,False
Austin,177,C,0.3281816765860518,0.0943623628460507,0.2889580888679761,12,0.013043840530683635,0.008404155632197093,0.04565208009533257,0.0033572396810523,203,196,0.9903381642512077,True,True,0.8888888888888888,False,True,0.8888888888888888,False,True,0.8888888888888888,False,True,0.8502415458937198,False,True,0.5144927536231884,False,False
Austin,177,S,0.36658594478390727,0.12990539715362381,0.2468259217708324,15,0.013043840530683635,0.008404155632197093,0.04565208009533257,0.0033572396810523,203,196,0.9903381642512077,True,True,0.8888888888888888,False,True,0.8888888888888888,False,True,0.8888888888888888,False,True,0.8502415458937198,False,True,0.5144927536231884,False,False
Austin,179,C,0.5312089526407815,0.1538454583996117,0.47219860455974677,13,0.004241938294178531,0.0092737454335387,0.04645618031811199,0.0034163729597511184,197,206,0.4782608695652174,False,False,0.9227053140096618,True,True,0.9227053140096618,True,True,0.9227053140096618,True,True,0.7004830917874396,False,False,0.9347826086956522,True,True
Austin,183,C,0.8243422072646911,0.2367173915706893,0.7661058774082797,15,0.0037609326119951957,0.013444899842817092,0.050313205671327584,0.003700017396972809,198,206,0.4057971014492754,False,False,0.9903381642512077,True,True,0.9903381642512077,True,True,0.9903381642512077,True,True,0.7294685990338164,False,False,0.9347826086956522,True,True
Austin,183,R,0.0570885535091459,0.010995444437403,0.0780227734212201,7,0.0037609326119951957,0.013444899842817092,0.050313205671327584,0.003700017396972809,198,206,0.4057971014492754,False,False,0.9903381642512077,True,True,0.9903381642512077,True,True,0.9903381642512077,True,True,0.7294685990338164,False,False,0.9347826086956522,True,True
Austin,184,C,0.5460102485916495,0.1584331017170296,0.4865739365155919,13,0.009897904860901715,0.009503882404496431,0.04666898009645845,0.003432022188844119,206,206,0.9516908212560387,True,True,0.927536231884058,True,True,0.927536231884058,True,True,0.927536231884058,True,True,0.9516908212560387,True,True,0.9347826086956522,True,True
Austin,184,S,0.3400637952408643,0.1233432934652878,0.2317409996118592,15,0.009897904860901715,0.009503882404496431,0.04666898009645845,0.003432022188844119,206,206,0.9516908212560387,True,True,0.927536231884058,True,True,0.927536231884058,True,True,0.927536231884058,True,True,0.9516908212560387,True,True,0.9347826086956522,True,True
Austin,185,S,0.0271605567588176,0.0095343053639525,0.0177239688415678,2,0.006875527527947883,0.005605858945547006,0.04306451323446667,0.003166950824015902,204,203,0.821256038647343,False,True,0.6714975845410628,False,False,0.6714975845410628,False,False,0.6714975845410628,False,False,0.8816425120772947,False,True,0.7028985507246377,False,False
Austin,187,C,0.6353976793984805,0.18583735507556248,0.5721694756667763,15,0.0030165933651990187,0.010467812920368401,0.047560346836304,0.0034975730198934505,164,206,0.2608695652173913,False,False,0.9516908212560387,True,True,0.9516908212560387,True,True,0.9516908212560387,True,True,0.13043478260869565,False,False,0.9347826086956522,True,True
Austin,195,C,0.0478259356426988,0.0136633213576454,0.0417532380155152,2,0.002945247959050417,0.00763503367016821,0.0449408687662515,0.0033049374225217185,202,205,0.2222222222222222,False,False,0.8454106280193237,False,True,0.8454106280193237,False,True,0.8454106280193237,False,True,0.8140096618357487,False,True,0.8140096618357487,False,True
Austin,2,C,0.5174993744566001,0.1498032156407334,0.4597215262593249,13,0.005284044789848051,0.009215861131100659,0.04640265021200696,0.0034124363725031447,200,202,0.6570048309178744,False,False,0.9130434782608695,True,True,0.9130434782608695,True,True,0.9130434782608695,True,True,0.7657004830917874,False,True,0.6642512077294686,False,False
Austin,20,C,0.047791172716486405,0.013646568152601799,0.041695276919432,2,0.0018228781999016929,0.007575425749006802,0.044885764771433884,0.0033008850919904508,133,204,0.06763285024154589,False,False,0.8309178743961353,False,True,0.8309178743961353,False,True,0.8309178743961353,False,True,0.024154589371980676,False,False,0.7391304347826086,False,False
Austin,201,C,0.069640877421205,0.0199431300244759,0.0609906110202058,3,0.008218707693725543,0.007919956439572232,0.04520433976231973,0.003324312997105823,203,202,0.9082125603864735,True,True,0.8599033816425121,False,True,0.8599033816425121,False,True,0.8599033816425121,False,True,0.8502415458937198,False,True,0.6642512077294686,False,False
Austin,201,S,0.249221191240941,0.0892121625584855,0.1669083825188117,12,0.008218707693725543,0.007919956439572232,0.04520433976231973,0.003324312997105823,203,202,0.9082125603864735,True,True,0.8599033816425121,False,True,0.8599033816425121,False,True,0.8599033816425121,False,True,0.8502415458937198,False,True,0.6642512077294686,False,False
Austin,205,S,0.367710758422954,0.1236860394869227,0.2350037291559946,15,0.013267227214293081,0.003789968120403862,0.0413853624470027,0.0030434666006821094,203,192,0.9951690821256038,True,True,0.4251207729468599,False,False,0.4251207729468599,False,False,0.4251207729468599,False,False,0.8502415458937198,False,True,0.4613526570048309,False,False
Austin,21,S,0.0444670314326515,0.0156283229792834,0.0290641810430571,2,0.007145051086449582,0.005747371505620405,0.04319535776832214,0.00317657309008113,205,205,0.8502415458937198,False,True,0.6811594202898551,False,False,0.6811594202898551,False,False,0.6811594202898551,False,False,0.9106280193236715,True,True,0.8140096618357487,False,True
Austin,23,S,0.2835855736076053,0.0976788616888556,0.1804279260907621,13,0.008621867632110113,0.003404028409460112,0.04102849126659319,0.003017222405775922,206,194,0.9178743961352657,True,True,0.3864734299516908,False,False,0.3864734299516908,False,False,0.3864734299516908,False,False,0.9516908212560387,True,True,0.49516908212560384,False,False
Austin,25,S,0.0230549285398201,0.0081325941022994,0.0151426175458763,2,0.006883767416294529,0.006178189721628566,0.0435937365704267,0.003205869742494833,204,201,0.8260869565217391,False,True,0.7294685990338164,False,False,0.7294685990338164,False,False,0.7294685990338164,False,False,0.8816425120772947,False,True,0.6256038647342995,False,False
Austin,3,C,0.8805639633399968,0.2473589958916057,0.8200951049580073,15,0.005053057792292985,0.013648621490053654,0.05050158981077495,0.003713871107623296,199,205,0.6038647342995169,False,False,0.9951690821256038,True,True,0.9951690821256038,True,True,0.9951690821256038,True,True,0.751207729468599,False,True,0.8140096618357487,False,True
Austin,3,R,0.0731317812549531,0.014108365443707499,0.1001614378447683,8,0.005053057792292985,0.013648621490053654,0.05050158981077495,0.003713871107623296,199,205,0.6038647342995169,False,False,0.9951690821256038,True,True,0.9951690821256038,True,True,0.9951690821256038,True,True,0.751207729468599,False,True,0.8140096618357487,False,True
Austin,35,C,0.2979172307177571,0.08559528450540911,0.2620472219137744,12,0.006015468934475553,0.00831290854384511,0.04556770370081528,0.0033510346674094165,206,206,0.7342995169082126,False,False,0.8840579710144928,False,True,0.8840579710144928,False,True,0.8840579710144928,False,True,0.9516908212560387,True,True,0.9347826086956522,True,True
Austin,39,C,0.4069979961287178,0.11726651543117671,0.3593340826040195,12,0.005888422293895594,0.00865241541344719,0.04588164331334692,0.0033741216882515,197,206,0.7246376811594203,False,False,0.893719806763285,False,True,0.893719806763285,False,True,0.893719806763285,False,True,0.7004830917874396,False,False,0.9347826086956522,True,True
Austin,4,S,0.2636841939879651,0.0920758304732685,0.17086571914118148,13,0.008472409652140255,0.004989606437612742,0.04249466722306063,0.00312504452669962,202,201,0.9130434782608695,True,True,0.6086956521739131,False,False,0.6086956521739131,False,False,0.6086956521739131,False,False,0.8140096618357487,False,True,0.6256038647342995,False,False
Austin,40,C,0.0322553069032598,0.0092014491494873,0.0281049572205731,2,0.007060526663700446,0.007460009824469819,0.044779033308973246,0.003293036093648177,207,205,0.8405797101449275,False,True,0.821256038647343,False,True,0.821256038647343,False,True,0.821256038647343,False,True,0.9879227053140096,True,True,0.8140096618357487,False,True
Austin,40,S,0.0428614993576913,0.0152838379430638,0.0285590357600882,2,0.007060526663700446,0.007460009824469819,0.044779033308973246,0.003293036093648177,207,205,0.8405797101449275,False,True,0.821256038647343,False,True,0.821256038647343,False,True,0.821256038647343,False,True,0.9879227053140096,True,True,0.8140096618357487,False,True
Austin,42,S,0.3034045002263185,0.1057467362773278,0.1961114195424477,14,0.009425667249897105,0.004770530629838005,0.04229208841082083,0.0031101469442549276,205,200,0.9420289855072463,True,True,0.5603864734299517,False,False,0.5603864734299517,False,False,0.5603864734299517,False,False,0.9106280193236715,True,True,0.5942028985507246,False,False
Austin,46,S,0.050283097414817096,0.0173334171660475,0.0320261713998621,2,0.0072270392128906845,0.003495642530978847,0.04111320191850493,0.00302345200060297,199,199,0.8647342995169082,False,True,0.40096618357487923,False,False,0.40096618357487923,False,False,0.40096618357487923,False,False,0.751207729468599,False,True,0.5628019323671497,False,False
Austin,57,C,0.047825178105994195,0.013662956101464601,0.041751974233040196,2,0.002474087344407851,0.007633737115714503,0.04493966737973218,0.003304849072933123,159,206,0.15942028985507245,False,False,0.8405797101449275,False,True,0.8405797101449275,False,True,0.8405797101449275,False,True,0.09903381642512077,False,False,0.9347826086956522,True,True
Austin,58,S,0.0762869148124541,0.026173378004704,0.048281437802285,5,0.00749871955600676,0.0029528317753691165,0.04061127291176928,0.002986540298552041,198,173,0.8792270531400966,False,True,0.3333333333333333,False,False,0.3333333333333333,False,False,0.3333333333333333,False,False,0.7294685990338164,False,False,0.24879227053140096,False,False
Austin,59,S,0.3363025870487292,0.1172108729254873,0.2173708867168484,15,0.010473981705263147,0.0047685820481893435,0.042290288559137766,0.003110014583725511,207,205,0.966183574879227,True,True,0.5555555555555556,False,False,0.5555555555555556,False,False,0.5555555555555556,False,False,0.9879227053140096,True,True,0.8140096618357487,False,True
Austin,60,C,0.0647593202246766,0.0185351594458611,0.0566747903600677,2,0.00437025553078438,0.007855272377331052,0.045144525968836086,0.0033199143094548283,202,206,0.4927536231884058,False,False,0.855072463768116,False,True,0.855072463768116,False,True,0.855072463768116,False,True,0.8140096618357487,False,True,0.9347826086956522,True,True
Austin,63,C,1.2993171959246244,0.3600504062094559,1.325303539843117,15,0.006774787291375209,0.022794184147858124,0.05895845775846875,0.0043357865294863995,191,206,0.8164251207729468,False,True,1.0,True,True,1.0,True,True,1.0,True,True,0.5410628019323671,False,False,0.9347826086956522,True,True
Austin,63,R,0.6540062614375753,0.13234958610067185,0.9810093921563643,15,0.006774787291375209,0.022794184147858124,0.05895845775846875,0.0043357865294863995,191,206,0.8164251207729468,False,True,1.0,True,True,1.0,True,True,1.0,True,True,0.5410628019323671,False,False,0.9347826086956522,True,True
Austin,64,C,0.0213133190997981,0.0060755338702932,0.018552672872910903,1,0.0035456331325454935,0.0073718168523112595,0.04469749143183792,0.0032870395295263553,182,205,0.3671497584541063,False,False,0.8164251207729468,False,True,0.8164251207729468,False,True,0.8164251207729468,False,True,0.3285024154589372,False,False,0.8140096618357487,False,True
Austin,67,C,0.4809365771764464,0.1389244846198166,0.4260480265945161,13,0.005149515661109324,0.008960038325408693,0.04616609332746908,0.0033950400532568314,191,203,0.6280193236714976,False,False,0.8985507246376812,False,True,0.8985507246376812,False,True,0.8985507246376812,False,True,0.5410628019323671,False,False,0.7028985507246377,False,False
Austin,7,S,0.2275944271990547,0.0807823865179973,0.1507204502466831,12,0.007969003097690391,0.006910089077641055,0.04427053001307528,0.0032556409204300115,195,192,0.8985507246376812,False,True,0.8019323671497585,False,True,0.8019323671497585,False,True,0.8019323671497585,False,True,0.6376811594202898,False,False,0.4613526570048309,False,False
