feature_set,feature_description,objective_id,objective_description,heldout_city,n_features,n_tokens,n_events,spearman,top_1pct_value_capture,top_5pct_value_capture,top_10pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret
factorized_low_dim,seven-feature activated law components,O5_event_zscore_log,within-event standardized log-value regression,Dallas,7,12000,10,0.7853423945,0.6720940021,0.8355514282,0.9038807715,0.7923945999,0.3166666667,0.1644485718
factorized_low_dim,seven-feature activated law components,O5_event_zscore_log,within-event standardized log-value regression,Houston,7,4800,4,0.7391850339,0.9930737507,0.8582161426,0.9033104283,0.8920622473,0.6208333333,0.1417838574
factorized_low_dim,seven-feature activated law components,O5_event_zscore_log,within-event standardized log-value regression,New York,7,50454,24,0.3476603316,0.9218677471,0.9310719097,0.9541467322,0.9239728461,0.7471840648,0.06892809025
factorized_low_dim,seven-feature activated law components,O5_event_zscore_log,within-event standardized log-value regression,Philadelphia,7,33719,20,0.5578954981,0.7511742637,0.8500995069,0.9287725171,0.7998490028,0.5171770641,0.1499004931
factorized_low_dim,seven-feature activated law components,O5_event_zscore_log,within-event standardized log-value regression,San Antonio,7,25076,19,0.690730724,0.7734087127,0.9411573205,0.9609318496,0.9208335224,0.7076147255,0.05884267953
full_additive,full additive action-value features,O1_log_value,ordinary log marginal-value regression,Austin,30,18007,15,0.9442060796,0.9707342072,0.9574277515,0.9531773604,0.9611777472,0.7613479053,0.04257224854
full_additive,full additive action-value features,O1_log_value,ordinary log marginal-value regression,Chicago,30,26081,13,0.9568881662,0.9388010081,0.9666523899,0.9718185547,0.9589747358,0.82082947,0.03334761014
full_additive,full additive action-value features,O1_log_value,ordinary log marginal-value regression,Dallas,30,12000,10,0.9463412708,0.7997509678,0.919817513,0.9527729974,0.8700164385,0.5333333333,0.08018248704
full_additive,full additive action-value features,O1_log_value,ordinary log marginal-value regression,Houston,30,4800,4,0.9782457454,0.9952346713,0.9777751026,0.9669439747,0.9828764209,0.8875,0.02222489737
full_additive,full additive action-value features,O1_log_value,ordinary log marginal-value regression,New York,30,50454,24,0.9492675603,0.9034834138,0.9793023721,0.9836763615,0.9477620172,0.8658923574,0.02069762791
full_additive,full additive action-value features,O1_log_value,ordinary log marginal-value regression,Philadelphia,30,33719,20,0.883867291,0.9839238954,0.9800898907,0.9787747567,0.9807623023,0.8726690537,0.01991010926
full_additive,full additive action-value features,O1_log_value,ordinary log marginal-value regression,San Antonio,30,25076,19,0.9347689184,0.9584580518,0.9427684974,0.9414202917,0.948968794,0.7089940779,0.05723150257
full_additive,full additive action-value features,O2_event_centered_log,within-event centered log-value regression,Austin,30,18007,15,0.7703250865,0.998249255,0.9685601386,0.9806283952,0.9750651587,0.6148816029,0.03143986141
full_additive,full additive action-value features,O2_event_centered_log,within-event centered log-value regression,Chicago,30,26081,13,0.6999064275,0.9900382729,0.9796410516,0.9785012201,0.9826769032,0.8127168092,0.02035894845
full_additive,full additive action-value features,O2_event_centered_log,within-event centered log-value regression,Dallas,30,12000,10,0.7721268038,0.9916693997,0.9862126662,0.9815892386,0.9890484551,0.7666666667,0.01378733384
full_additive,full additive action-value features,O2_event_centered_log,within-event centered log-value regression,Houston,30,4800,4,0.8100450868,0.9985169657,0.9990483585,0.9967223747,0.9979655881,0.9666666667,0.0009516415319
full_additive,full additive action-value features,O2_event_centered_log,within-event centered log-value regression,New York,30,50454,24,0.732170069,0.9777724738,0.9654513005,0.9718586136,0.9704344388,0.7764227198,0.03454869952
full_additive,full additive action-value features,O2_event_centered_log,within-event centered log-value regression,Philadelphia,30,33719,20,0.6823492612,0.9927943966,0.9806327926,0.981510339,0.9831570429,0.8690665179,0.01936720742
full_additive,full additive action-value features,O2_event_centered_log,within-event centered log-value regression,San Antonio,30,25076,19,0.7890333037,0.9922286257,0.992335516,0.9858696322,0.9913803143,0.8813922463,0.007664484012
full_additive,full additive action-value features,O3_top_tail_weighted_log,log-value regression with top-tail action weights,Austin,30,18007,15,0.9428073281,0.9505390078,0.9573204384,0.9478948559,0.9594207401,0.7580327869,0.04267956159
full_additive,full additive action-value features,O3_top_tail_weighted_log,log-value regression with top-tail action weights,Chicago,30,26081,13,0.9560416478,0.9314227534,0.9567422726,0.9627381522,0.9486167307,0.8102871939,0.04325772736
