feature_set,feature_description,objective_id,objective_description,heldout_city,n_features,city,event_id,n_tokens,spearman,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Chicago,7,Chicago,149,1200,0.945583772,1,0.9999997889,1,0,0.9733152507,0.9793483466,0.85,0.02668474928,0.9751637782,0.978903722,0.7833333333,0.02483622176
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Chicago,7,Chicago,150,1593,0.9105503249,0.9928564435,0.9953244166,0.75,0.007143556535,0.9752824487,0.9799509776,0.825,0.0247175513,0.9712813108,0.9755546333,0.8125,0.02871868921
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Chicago,7,Chicago,152,5711,0.888895297,0.9608829924,0.9710423506,0.8275862069,0.03911700763,0.9578615054,0.9620900409,0.8076923077,0.04213849464,0.9568004881,0.9596743104,0.736013986,0.04319951188
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Chicago,7,Chicago,153,1793,0.8996746943,0.9893441753,0.9929232648,0.7222222222,0.01065582474,0.974127131,0.9788684741,0.8111111111,0.02587286899,0.971908503,0.9757341952,0.8277777778,0.02809149703
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Chicago,7,Chicago,154,2226,0.885809792,0.994545257,0.9958579665,0.8695652174,0.005454743011,0.9611907487,0.967951255,0.7767857143,0.03880925127,0.9704736222,0.972552377,0.8385650224,0.02952637776
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Chicago,7,Chicago,155,1900,0.8957533396,0.9901991691,0.9933528926,0.7894736842,0.009800830868,0.9696705602,0.9752188194,0.8,0.03032943976,0.9673959827,0.9718294129,0.8157894737,0.03260401733
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Chicago,7,Chicago,156,1753,0.9020729867,0.9893441753,0.9929232648,0.7222222222,0.01065582474,0.9756122409,0.9799398485,0.8295454545,0.02438775908,0.9728154049,0.9764250272,0.8238636364,0.02718459508
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Chicago,7,Chicago,157,1615,0.9084077783,0.9937112682,0.9957791593,0.7647058824,0.006288731762,0.9757438587,0.9802323643,0.8271604938,0.02425614133,0.9719601523,0.9760013083,0.8148148148,0.02803984772
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Chicago,7,Chicago,158,1723,0.9040494395,0.9893441752,0.9929232648,0.7222222222,0.01065582475,0.9751091449,0.979625625,0.816091954,0.02489085511,0.9733017631,0.9768027595,0.8265895954,0.02669823694
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Chicago,7,Chicago,159,2008,0.8891245741,0.9921481135,0.9944264269,0.8095238095,0.007851886548,0.9630454614,0.9698098263,0.7920792079,0.03695453861,0.9690508259,0.9720247086,0.815920398,0.0309491741
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Dallas,7,Dallas,55,1200,0.8485802968,0.6696037685,0.6538485454,0,0.3303962315,0.8297309824,0.7829067157,0.1666666667,0.1702690176,0.8530076716,0.8159995216,0.4666666667,0.1469923284
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Dallas,7,Dallas,56,1200,0.8504787932,0.6696037685,0.6538485453,0,0.3303962315,0.8297309824,0.7829067156,0.1666666667,0.1702690176,0.8530076715,0.8159995216,0.4666666667,0.1469923285
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Dallas,7,Dallas,57,1200,0.8433749348,0.6696037685,0.6538485454,0,0.3303962315,0.8297309824,0.7829067157,0.1666666667,0.1702690176,0.8530076716,0.8159995216,0.4666666667,0.1469923284
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Dallas,7,Dallas,58,1200,0.843824651,0.6696037685,0.6538485454,0,0.3303962315,0.8249194729,0.7795266481,0.1666666667,0.1750805271,0.8505594938,0.8138576783,0.4666666667,0.1494405062
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Dallas,7,Dallas,59,1200,0.8494705003,0.6696037686,0.6538485454,0,0.3303962314,0.8297309824,0.7829067157,0.1666666667,0.1702690176,0.8511315015,0.8146429976,0.4666666667,0.1488684985
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Dallas,7,Dallas,60,1200,0.8424364353,0.6696037685,0.6538485453,0,0.3303962315,0.8297309824,0.7829067157,0.1666666667,0.1702690176,0.8530076715,0.8159995216,0.4666666667,0.1469923285
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Dallas,7,Dallas,61,1200,0.8488244661,0.6696037686,0.6538485454,0,0.3303962314,0.8297309825,0.7829067157,0.1666666667,0.1702690175,0.8530076716,0.8159995216,0.4666666667,0.1469923284
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Dallas,7,Dallas,62,1200,0.8470450736,0.6696037685,0.6538485454,0,0.3303962315,0.8297309824,0.7829067157,0.1666666667,0.1702690176,0.8511315015,0.8146429976,0.4666666667,0.1488684985
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Dallas,7,Dallas,63,1200,0.8465319615,0.6696037685,0.6538485454,0,0.3303962315,0.8297309824,0.7829067157,0.1666666667,0.1702690176,0.8530076715,0.8159995216,0.4666666667,0.1469923285
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Dallas,7,Dallas,64,1200,0.8437520815,0.6696037686,0.6538485454,0,0.3303962314,0.8297309824,0.7829067157,0.1666666667,0.1702690176,0.8507282098,0.8142739048,0.4666666667,0.1492717902
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Houston,7,Houston,52,1200,0.9209963274,0.9690579116,0.9798900688,0.8333333333,0.03094208836,0.9497992813,0.9605456983,0.8,0.05020071873,0.9680583245,0.9703821413,0.8083333333,0.03194167548
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Houston,7,Houston,60,1200,0.9193209194,0.9690579116,0.9798900688,0.8333333333,0.03094208838,0.9497992813,0.9605456983,0.8,0.05020071873,0.9680583245,0.9703821413,0.8083333333,0.03194167548
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Houston,7,Houston,61,1200,0.9231594255,0.9690579116,0.9798900688,0.8333333333,0.03094208839,0.9497992813,0.9605456983,0.8,0.05020071873,0.9680583245,0.9703821413,0.8083333333,0.03194167548
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Houston,7,Houston,62,1200,0.9228820811,0.9690579116,0.9798900688,0.8333333333,0.03094208839,0.9497992813,0.9605456983,0.8,0.05020071873,0.9680583245,0.9703821413,0.8083333333,0.03194167547
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,98,2833,0.7769097247,0.9616939889,0.9716561965,0.7586206897,0.03830601109,0.9328036718,0.9440428552,0.7183098592,0.06719632819,0.9337114944,0.9407818734,0.7323943662,0.06628850563
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,99,3324,0.6170106273,0.9348742532,0.9306935184,0.5294117647,0.06512574681,0.8948937864,0.8991901998,0.6167664671,0.1051062136,0.8918497512,0.8954531315,0.6516516517,0.1081502488
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,100,3667,0.6675593116,0.9482158802,0.9555371115,0.5945945946,0.05178411982,0.9031027022,0.9125835359,0.6630434783,0.09689729784,0.8989575934,0.9062002005,0.659400545,0.1010424066
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,101,2057,0.7465002974,0.9235338071,0.9088616858,0.4285714286,0.07646619288,0.9060657658,0.9067959958,0.6699029126,0.09393423416,0.9111379818,0.910154984,0.6601941748,0.08886201823
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,102,1960,0.7613952591,0.9241392245,0.908812328,0.4,0.07586077552,0.9085927125,0.9085538881,0.6836734694,0.09140728753,0.9090947113,0.9086733968,0.6479591837,0.09090528865
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,103,2050,0.7493449582,0.9235338072,0.9088616858,0.4285714286,0.07646619284,0.9060657658,0.9067959958,0.6699029126,0.09393423416,0.9107904141,0.909903727,0.6585365854,0.08920958587
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,104,2311,0.7247288123,0.9280379339,0.9128482013,0.5,0.07196206608,0.9035039074,0.9049404993,0.6379310345,0.09649609257,0.9142586486,0.9124920523,0.6767241379,0.08574135136
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,105,2026,0.7441972926,0.9235338071,0.9088616858,0.4285714286,0.07646619288,0.9067814604,0.9072948694,0.6666666667,0.09321853957,0.9111323387,0.9101424478,0.6600985222,0.08886766128
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,106,3249,0.6477717696,0.936516639,0.9211211406,0.5454545455,0.06348336098,0.9070272741,0.9071726883,0.6257668712,0.09297272595,0.9130708516,0.9118695493,0.7046153846,0.08692914844
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,107,2148,0.7349995813,0.9230472421,0.9089492007,0.4545454545,0.07695275785,0.9043842794,0.9055995265,0.6666666667,0.09561572062,0.9121196765,0.9108848229,0.6651162791,0.08788032347
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,108,2346,0.7231287162,0.9280379339,0.9128482013,0.5,0.07196206606,0.9036433246,0.9050241695,0.6355932203,0.09635667537,0.9149113243,0.9129759631,0.6765957447,0.0850886757
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,109,2181,0.7349317193,0.9230472422,0.9089492008,0.4545454545,0.07695275783,0.9055184618,0.906375681,0.6636363636,0.0944815382,0.9130919256,0.9115967178,0.6712328767,0.08690807439
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,110,1947,0.7535093015,0.9241392245,0.908812328,0.4,0.07586077554,0.9085927125,0.9085538881,0.6836734694,0.09140728753,0.9092686179,0.9087961358,0.6512820513,0.09073138207
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,111,2098,0.7366703222,0.923533807,0.9088616856,0.4285714286,0.07646619296,0.903985886,0.9053444347,0.6761904762,0.09601411399,0.9109314503,0.9100184151,0.6619047619,0.08906854967
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,112,1462,0.8104351999,0.9153386318,0.9007028343,0.2,0.08466136819,0.9309442365,0.9233548493,0.6621621622,0.06905576347,0.9042706054,0.90526125,0.619047619,0.09572939456
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,113,1360,0.8208057966,0.911798761,0.897948731,0.2142857143,0.08820123897,0.9317010966,0.9234563423,0.6617647059,0.06829890342,0.9016962557,0.9035273691,0.6176470588,0.09830374425
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,115,1320,0.8091444168,0.9947506339,0.9916106773,0.8571428571,0.005249366141,0.9210817512,0.9376335571,0.5757575758,0.07891824881,0.9234874313,0.9336543209,0.6666666667,0.07651256866
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,116,1230,0.8247731039,0.8822695317,0.8746251283,0.07692307692,0.1177304683,0.9091703784,0.902615474,0.5967741935,0.09082962158,0.8827653353,0.8845887871,0.5447154472,0.1172346647
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,117,1284,0.8237155501,0.9099936009,0.8962501387,0.1538461538,0.09000639908,0.9323697535,0.923679114,0.6769230769,0.0676302465,0.9022293992,0.9039523691,0.6279069767,0.0977706008
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,119,2182,0.8322134994,0.9443384792,0.95595643,0.6818181818,0.0556615208,0.8946001692,0.9104814675,0.6545454545,0.1053998308,0.9059296988,0.9136546095,0.6301369863,0.09407030117
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,120,1439,0.789238661,0.9254356218,0.9221142462,0.1333333333,0.07456437825,0.8880140766,0.8982184861,0.6111111111,0.1119859234,0.8947354856,0.8996205588,0.5902777778,0.1052645144
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,121,2076,0.7487360842,0.9235338071,0.9088616858,0.4285714286,0.07646619288,0.9055154379,0.9064103281,0.6730769231,0.09448456208,0.9112829307,0.9102642074,0.6634615385,0.08871706933
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,122,1959,0.7575658437,0.9241392244,0.9088123279,0.4,0.07586077556,0.9085927125,0.9085538881,0.6836734694,0.09140728753,0.9090947113,0.9086733968,0.6479591837,0.09090528865
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,New York,123,1945,0.7575010425,0.9241392245,0.9088123279,0.4,0.07586077553,0.9085927125,0.9085538881,0.6836734694,0.09140728751,0.9092686179,0.9087961358,0.6512820513,0.09073138205
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,640,1286,0.9387655049,0.9612851355,0.9737187748,0.7692307692,0.03871486447,0.9775747402,0.9803342582,0.8307692308,0.02242525976,0.973758722,0.9762439922,0.7984496124,0.02624127804
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,641,1200,0.9441156667,0.9571506356,0.9717899028,0.75,0.04284936441,0.981676153,0.9831787211,0.85,0.01832384696,0.9696311743,0.9735369351,0.7583333333,0.03036882565
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,642,1200,0.9441927779,0.9571506357,0.9717899029,0.75,0.04284936434,0.981676153,0.9831787211,0.85,0.01832384697,0.9696311744,0.9735369352,0.7583333333,0.03036882564
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,643,1265,0.9405205806,0.9612851356,0.9737187748,0.7692307692,0.03871486442,0.9765705646,0.9796923081,0.828125,0.02342943543,0.9727390238,0.9755642252,0.7795275591,0.02726097619
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,644,1925,0.9090404235,0.9765515992,0.9811218853,0.8,0.02344840078,0.9674571401,0.9715637695,0.793814433,0.0325428599,0.9759647069,0.97652225,0.7720207254,0.02403529312
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,645,2307,0.8905889703,0.9841029439,0.9855840626,0.875,0.01589705608,0.9575184368,0.9640085451,0.7327586207,0.04248156318,0.9636645046,0.9670064581,0.7272727273,0.03633549543
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,646,1200,0.9429935868,0.9571506357,0.9717899029,0.75,0.04284936434,0.981676153,0.9831787211,0.85,0.01832384697,0.9696311743,0.9735369351,0.7583333333,0.03036882565
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,647,1200,0.9424974589,0.9571506357,0.9717899029,0.75,0.04284936434,0.981676153,0.9831787211,0.85,0.01832384697,0.9696311744,0.9735369351,0.7583333333,0.03036882565
