parameter_scenario,parameter_description,heuristic,heuristic_label,n_events,mean_top5_relative_to_oracle,median_top5_relative_to_oracle,mean_top5_share_of_total_value,mean_false_positive_share,weighted_false_positive_share,mean_zero_value_share,weighted_zero_value_share,mean_target_top5_precision,mean_target_top5_recall,mean_target_top5_missed_by_top20_share
slow_response_4h,each intervention is delayed by four additional hours,activated_law,Activated law reference,105,1,1,0.1887733388,0,0,0,0,1,1,0
R_favored,durable restoration is relatively more efficient and cheaper,deficit_only,Highest remaining deficit,105,0.8367747891,0.8677478452,0.1069884329,0.1929587618,0.1827553889,0.004031765429,0.00351452671,0.5190554821,0.5190554821,0.1294481328
R_favored,durable restoration is relatively more efficient and cheaper,exposure_only,Highest OD exposure,105,0.8092657033,0.8512116918,0.1031411366,0.2119123306,0.2058341143,0.004048782858,0.003631677601,0.4744303015,0.4744303015,0.1180101644
R_favored,durable restoration is relatively more efficient and cheaper,structure_only,Highest structural bottleneck,105,0.4353685459,0.4233086602,0.05592116674,0.8148131656,0.8143158388,0.0195977277,0.01733833177,0.01584386532,0.01584386532,0.8195342444
R_favored,durable restoration is relatively more efficient and cheaper,activated_law,Activated law reference,105,1,1,0.1293757737,0,0,0,0,1,1,0
C_favored,temporary capacity is relatively more efficient and cheaper,deficit_only,Highest remaining deficit,105,0.7553536537,0.7458721833,0.1050050758,0.4075543329,0.4012417994,0.004031765429,0.00351452671,0.4878749612,0.4878749612,0.00295144605
C_favored,temporary capacity is relatively more efficient and cheaper,exposure_only,Highest OD exposure,105,0.681844762,0.6956351356,0.0948304054,0.5555657766,0.5405342081,0.004048782858,0.003631677601,0.3346208949,0.3346208949,0.009862329343
C_favored,temporary capacity is relatively more efficient and cheaper,structure_only,Highest structural bottleneck,105,0.465503555,0.4688150183,0.06462925285,0.6930733186,0.6975164011,0.0195977277,0.01733833177,0.02597524559,0.02597524559,0.8261923084
C_favored,temporary capacity is relatively more efficient and cheaper,activated_law,Activated law reference,105,1,1,0.1393087668,0,0,0,0,1,1,0
S_favored,substitution/control is relatively more efficient and cheaper,deficit_only,Highest remaining deficit,105,0.6419167883,0.6775776721,0.07544103703,0.5291006979,0.5035145267,0.004031765429,0.00351452671,0.1304713561,0.1304713561,0.7682547302
S_favored,substitution/control is relatively more efficient and cheaper,exposure_only,Highest OD exposure,105,0.8157251594,0.8199593715,0.09629094472,0.3290080605,0.3141986879,0.004048782858,0.003631677601,0.4336959645,0.4336959645,0.0073444999
S_favored,substitution/control is relatively more efficient and cheaper,structure_only,Highest structural bottleneck,105,0.4016199227,0.3817833596,0.04740272564,0.914093298,0.9304123711,0.0195977277,0.01733833177,0.01761924972,0.01761924972,0.9532513345
S_favored,substitution/control is relatively more efficient and cheaper,activated_law,Activated law reference,105,1,1,0.1183606576,0,0,0,0,1,1,0
