city,hour,mean_deficit,p90_deficit,observation_count,precipitation,hour_of_week,hour_of_day,expected_deficit,abnormal_deficit,positive_abnormal_deficit,rain_hour,rain_influence_hour
New York,2019-06-01 00:00:00,0.052276481929894,0.1822271536564325,115187,0.0,120,0,0.0756826304207106,-0.023406148490816604,0.0,False,False
New York,2019-06-01 01:00:00,0.0403536214157837,0.1411188797528728,115182,0.0,121,1,0.0578429176523529,-0.017489296236569203,0.0,False,False
New York,2019-06-01 02:00:00,0.0320197577264621,0.1116609280121151,115170,0.0,122,2,0.0475520246105744,-0.0155322668841123,0.0,False,False
New York,2019-06-01 03:00:00,0.0278757466415803,0.0958285830738463,115176,0.0,123,3,0.0406383003380113,-0.012762553696431003,0.0,False,False
New York,2019-06-01 04:00:00,0.0269069453841114,0.0884144833776909,115179,0.0,124,4,0.0364788333986996,-0.009571888014588203,0.0,False,False
New York,2019-06-01 05:00:00,0.0549273884803925,0.1915974376333064,115178,0.0,125,5,0.0691965441461578,-0.01426915566576531,0.0,False,False
New York,2019-06-01 06:00:00,0.0645651838035856,0.2184047513904217,115176,0.0,126,6,0.0815804447515918,-0.017015260948006206,0.0,False,False
New York,2019-06-01 07:00:00,0.0700519118438545,0.2323732509156187,115176,0.0,127,7,0.0867312949725904,-0.016679383128735903,0.0,False,False
New York,2019-06-01 08:00:00,0.0787641119222412,0.2576502427706483,115161,0.0,128,8,0.0941178453219095,-0.015353733399668307,0.0,False,False
New York,2019-06-01 09:00:00,0.0816620413076192,0.2744447876197877,115104,0.0,129,9,0.0983792999354265,-0.016717258627807305,0.0,False,False
New York,2019-06-01 10:00:00,0.0822698346619058,0.2831199905999382,115072,0.0,130,10,0.0831940021339878,-0.000924167472082002,0.0,False,False
New York,2019-06-01 11:00:00,0.0842766139680781,0.2939448736615292,115140,0.0,131,11,0.1091168909095762,-0.024840276941498096,0.0,False,False
New York,2019-06-01 12:00:00,0.0877022824457506,0.3092600233333109,115130,0.0,132,12,0.1010767350041059,-0.013374452558355301,0.0,False,False
New York,2019-06-01 13:00:00,0.0900664911116534,0.3186050542027998,115128,0.0,133,13,0.101540796644973,-0.011474305533319601,0.0,False,False
New York,2019-06-01 14:00:00,0.0907637042474307,0.3191736667713432,115128,0.0,134,14,0.1005061078006457,-0.009742403553214998,0.0,False,False
New York,2019-06-01 15:00:00,0.0888253192497785,0.3166550556022802,115140,0.0,135,15,0.09931482565042825,-0.010489506400649745,0.0,False,False
New York,2019-06-01 16:00:00,0.0848228634885903,0.3008552773441362,115135,0.0,136,16,0.09727382000095025,-0.012450956512359945,0.0,False,False
New York,2019-06-01 17:00:00,0.086896830825724,0.3070049098181249,115134,0.0,137,17,0.09767472470489436,-0.010777893879170358,0.0,False,False
New York,2019-06-01 18:00:00,0.0825767171045271,0.2937141253179927,115188,0.0,138,18,0.0950131152452374,-0.012436398140710292,0.0,False,False
New York,2019-06-01 19:00:00,0.0683230636981123,0.2525818313767276,115188,0.0,139,19,0.08177707344026525,-0.013454009742152953,0.0,False,False
New York,2019-06-01 20:00:00,0.061218465445224,0.2209323679932008,115190,0.0,140,20,0.0772806900315985,-0.016062224586374498,0.0,False,False
New York,2019-06-01 21:00:00,0.0665303850205274,0.2272730122773321,115193,0.0,141,21,0.0665303850205274,0.0,0.0,False,False
New York,2019-06-01 22:00:00,0.0742570824229988,0.255904219595692,115194,0.0,142,22,0.0742570824229988,0.0,0.0,False,False
New York,2019-06-01 23:00:00,0.0673294748322788,0.233936852268495,115189,0.0,143,23,0.0673294748322788,0.0,0.0,False,False
New York,2019-06-02 00:00:00,0.0552907657782528,0.1968444498756759,115183,0.0,144,0,0.0552907657782528,0.0,0.0,False,False
New York,2019-06-02 01:00:00,0.0443808398038161,0.1593546351753944,115182,0.0,145,1,0.0443808398038161,0.0,0.0,False,False
New York,2019-06-02 02:00:00,0.0365686042415447,0.13080347511479,115147,0.0,146,2,0.0365686042415447,0.0,0.0,False,False
New York,2019-06-02 03:00:00,0.0317194210610559,0.1097750921991966,115130,0.0,147,3,0.0317194210610559,0.0,0.0,False,False
New York,2019-06-02 04:00:00,0.0293843201814782,0.0994926422878042,115119,0.0,148,4,0.0293843201814782,0.0,0.0,False,False
New York,2019-06-02 05:00:00,0.0650227759309503,0.2075173041745581,115098,0.0,149,5,0.0650227759309503,0.0,0.0,False,False
New York,2019-06-02 06:00:00,0.0712945874064259,0.2206807344983325,115141,0.0,150,6,0.0712945874064259,0.0,0.0,False,False
New York,2019-06-02 07:00:00,0.0772488430586645,0.2346063045622028,115150,0.0,151,7,0.0772488430586645,0.0,0.0,False,False
New York,2019-06-02 08:00:00,0.0792482781292771,0.2428409776400248,115141,0.0,152,8,0.0840167763580975,-0.004768498228820403,0.0,False,False
New York,2019-06-02 09:00:00,0.0803299408969473,0.254042695879726,115117,0.0,153,9,0.0803299408969473,0.0,0.0,False,False
New York,2019-06-02 10:00:00,0.0814056709794472,0.2677575308035381,115016,0.0,154,10,0.0814056709794472,0.0,0.0,False,False
New York,2019-06-02 11:00:00,0.0836953428628867,0.2765974366246858,114998,0.0,155,11,0.0836953428628867,0.0,0.0,False,False
New York,2019-06-02 12:00:00,0.0814504885605755,0.2840533085961658,115002,0.0,156,12,0.0889019240637851,-0.007451435503209591,0.0,False,True
New York,2019-06-02 13:00:00,0.0836140693495259,0.2943878935719454,115002,0.0,157,13,0.09115390662203215,-0.007539837272506261,0.0,False,True
New York,2019-06-02 14:00:00,0.0869243127453627,0.2977534219742563,115104,0.0,158,14,0.09334603578050235,-0.006421723035139645,0.0,False,True
New York,2019-06-02 15:00:00,0.0886997256437431,0.307768154075883,115116,0.0,159,15,0.09409474909313476,-0.0053950234493916616,0.0,False,True
New York,2019-06-02 16:00:00,0.0884980419005965,0.3133539315143307,115140,0.0,160,16,0.09360303538630545,-0.005104993485708947,0.0,False,True
New York,2019-06-02 17:00:00,0.091755216107768,0.3188226877728621,115140,0.0,161,17,0.09440494544665914,-0.002649729338891141,0.0,False,True
New York,2019-06-02 18:00:00,0.093422660088777,0.3218715731993304,115188,0.0524934666666666,162,18,0.09390371429447315,-0.0004810542056961492,0.0,True,True
New York,2019-06-02 19:00:00,0.0733585241911036,0.2640688687774215,115188,0.0734908533333333,163,19,0.08388034243451525,-0.010521818243411654,0.0,True,True
New York,2019-06-02 20:00:00,0.0647813927399318,0.2250893103312457,115183,0.0,164,20,0.08135252293476164,-0.016571130194829836,0.0,False,True
New York,2019-06-02 21:00:00,0.0683444994894488,0.2216894156187519,115200,0.0,165,21,0.0886376159632381,-0.0202931164737893,0.0,False,True
New York,2019-06-02 22:00:00,0.066005141723571,0.2161194373785117,115200,0.0866142199999999,166,22,0.07631065784196961,-0.010305516118398611,0.0,True,True
New York,2019-06-02 23:00:00,0.0496363778094795,0.1762531793794073,115195,0.28740173,167,23,0.05708661363712895,-0.0074502358276494485,0.0,True,True
New York,2019-06-03 00:00:00,0.0381324633238211,0.133714310809963,115194,0.0,0,0,0.041561637463083154,-0.0034291741392620534,0.0,False,True
New York,2019-06-03 01:00:00,0.03226075391726,0.1125072705467522,115194,0.0,1,1,0.03296796767851,-0.0007072137612499987,0.0,False,True
New York,2019-06-03 02:00:00,0.0285304104575429,0.0964072201976589,115194,0.0,2,2,0.026477815162788552,0.0020525952947543467,0.0020525952947543467,False,True
New York,2019-06-03 03:00:00,0.0242019250731786,0.0779981791478748,115194,0.0,3,3,0.023354018849712853,0.0008479062234657483,0.0008479062234657483,False,True
New York,2019-06-03 04:00:00,0.0241102865573862,0.0767442381746017,115194,0.0,4,4,0.02401292148956785,9.736506781835019e-05,9.736506781835019e-05,False,True
New York,2019-06-03 05:00:00,0.0529583636582364,0.186545162504179,115200,0.0,5,5,0.0550131906417595,-0.002054826983523106,0.0,False,True
New York,2019-06-03 06:00:00,0.0695830559880062,0.2490548647186148,115200,0.0,6,6,0.06321497208681359,0.006368083901192603,0.006368083901192603,False,True
New York,2019-06-03 07:00:00,0.0866196033314646,0.3192594938933175,115200,0.0,7,7,0.07377917687776335,0.012840426453701245,0.012840426453701245,False,True
New York,2019-06-03 08:00:00,0.1029810940119624,0.3730035990594866,115200,0.0,8,8,0.08716929868929979,0.01581179532266261,0.01581179532266261,False,True
New York,2019-06-03 09:00:00,0.0943500983171105,0.3476363032800535,115199,0.0,9,9,0.0983577946424977,-0.004007696325387208,0.0,False,True
New York,2019-06-03 10:00:00,0.0859500340162628,0.3151927179431049,115200,0.0,10,10,0.0958578703405756,-0.009907836324312788,0.0,False,True
New York,2019-06-03 11:00:00,0.0822552650739328,0.3028039023959786,115200,0.0,11,11,0.0950751755233702,-0.012819910449437408,0.0,False,True
New York,2019-06-03 12:00:00,0.0816879220712551,0.2986819576012224,115200,0.0,12,12,0.0931063288809386,-0.011418406809683507,0.0,False,False
New York,2019-06-03 13:00:00,0.0822404884642239,0.3002601325558222,115194,0.0,13,13,0.09258479091310735,-0.010344302448883458,0.0,False,False
New York,2019-06-03 14:00:00,0.0874404258414911,0.3186098669391815,115196,0.0,14,14,0.09808682494260955,-0.010646399101118448,0.0,False,False
New York,2019-06-03 15:00:00,0.1032799807707676,0.3652065080483282,115187,0.0,15,15,0.10676868330881101,-0.0034887025380434117,0.0,False,False
New York,2019-06-03 16:00:00,0.1102353900164106,0.3925466852226722,115194,0.0,16,16,0.11094389852186246,-0.0007085085054518575,0.0,False,False
New York,2019-06-03 17:00:00,0.1114815067796349,0.3915038956323625,115194,0.0,17,17,0.1158869008856647,-0.004405394106029789,0.0,False,False
New York,2019-06-03 18:00:00,0.1100708785974315,0.3835217177430413,115194,0.0,18,18,0.11010783072523725,-3.695212780574497e-05,0.0,False,False
New York,2019-06-03 19:00:00,0.085795239448966,0.3094582672468612,115194,0.0,19,19,0.09490836718692536,-0.009113127737959359,0.0,False,False
New York,2019-06-03 20:00:00,0.0700736480647385,0.2486240726075993,115194,0.0,20,20,0.08643021348578075,-0.01635656542104226,0.0,False,False
New York,2019-06-03 21:00:00,0.0698803199559599,0.2357748602697582,115194,0.0,21,21,0.09215296546028015,-0.022272645504320246,0.0,False,False
New York,2019-06-03 22:00:00,0.0574780685954924,0.2018060566630388,115190,0.0,22,22,0.07714975700169095,-0.019671688406198554,0.0,False,False
New York,2019-06-03 23:00:00,0.0473624842881656,0.1699569742857988,115189,0.0,23,23,0.0635631381217466,-0.016200653833581005,0.0,False,False
New York,2019-06-04 00:00:00,0.0397038695820678,0.1329864348108804,115188,0.0,24,0,0.0489529077924627,-0.009249038210394904,0.0,False,False
New York,2019-06-04 01:00:00,0.0334496023984675,0.1135987573099416,115188,0.0,25,1,0.0334496023984675,0.0,0.0,False,False
New York,2019-06-04 02:00:00,0.0287427409797056,0.0940757704853405,115188,0.0,26,2,0.0287427409797056,0.0,0.0,False,False
New York,2019-06-04 03:00:00,0.0272678995457426,0.0885404998023672,115183,0.0,27,3,0.0272678995457426,0.0,0.0,False,False
New York,2019-06-04 04:00:00,0.0276895141715577,0.0843208410517933,115182,0.0,28,4,0.0276895141715577,0.0,0.0,False,False
New York,2019-06-04 05:00:00,0.052048580698791,0.1799152033018756,115194,0.0,29,5,0.052048580698791,0.0,0.0,False,False
New York,2019-06-04 06:00:00,0.0627230167293964,0.2228529950718776,115194,0.0,30,6,0.0627230167293964,0.0,0.0,False,False
New York,2019-06-04 07:00:00,0.0671879978633536,0.2513765898885541,115194,0.0,31,7,0.0671879978633536,0.0,0.0,False,False
New York,2019-06-04 08:00:00,0.0790687409868994,0.2941323565557213,115194,0.0,32,8,0.0790687409868994,0.0,0.0,False,False
New York,2019-06-04 09:00:00,0.0821242548735105,0.3004933353926775,115194,0.0,33,9,0.0821242548735105,0.0,0.0,False,False
New York,2019-06-04 10:00:00,0.083925751382335,0.3052831682673069,115194,0.0,34,10,0.083925751382335,0.0,0.0,False,False
New York,2019-06-04 11:00:00,0.0806791402547447,0.294056386812877,115194,0.0,35,11,0.0806791402547447,0.0,0.0,False,False
New York,2019-06-04 12:00:00,0.0783066229625273,0.2915932870755958,115194,0.0,36,12,0.0783066229625273,0.0,0.0,False,False
New York,2019-06-04 13:00:00,0.0791722260917791,0.2902363147890195,115194,0.0,37,13,0.0791722260917791,0.0,0.0,False,False
New York,2019-06-04 14:00:00,0.0804512095095965,0.2959665929261013,115194,0.0,38,14,0.0804512095095965,0.0,0.0,False,False
New York,2019-06-04 15:00:00,0.0865107301801969,0.3212460147721589,115194,0.0,39,15,0.0865107301801969,0.0,0.0,False,False
New York,2019-06-04 16:00:00,0.0844896210502077,0.3211870562310608,115194,0.0,40,16,0.0844896210502077,0.0,0.0,False,False
New York,2019-06-04 17:00:00,0.0884066963422985,0.3317306702364027,115194,0.0,41,17,0.0884066963422985,0.0,0.0,False,False
New York,2019-06-04 18:00:00,0.0907713178888079,0.3330218448218448,115194,0.0,42,18,0.0907713178888079,0.0,0.0,False,False
New York,2019-06-04 19:00:00,0.0694378929368373,0.2620226008833214,115184,0.0,43,19,0.0694378929368373,0.0,0.0,False,False
New York,2019-06-04 20:00:00,0.0646746634661085,0.2259940923481824,115182,0.0,44,20,0.0646746634661085,0.0,0.0,False,False
New York,2019-06-04 21:00:00,0.0706727612815214,0.2333956059151867,115182,0.0,45,21,0.08372897384338396,-0.013056212561862554,0.0,False,False
New York,2019-06-04 22:00:00,0.0589273441546441,0.2012257603489934,115182,0.0,46,22,0.0832990730039104,-0.0243717288492663,0.0,False,False
New York,2019-06-04 23:00:00,0.0499080484937938,0.1714287384199329,115182,0.0,47,23,0.0677027965469506,-0.017794748053156804,0.0,False,False
New York,2019-06-05 00:00:00,0.0409510139912775,0.1447260604602322,115188,0.0,48,0,0.0549561896715768,-0.014005175680299298,0.0,False,False
New York,2019-06-05 01:00:00,0.033695021316835,0.1193322293447293,115194,0.0,49,1,0.0425542360940922,-0.0088592147772572,0.0,False,False
New York,2019-06-05 02:00:00,0.0281911793770014,0.0965329221002595,115194,0.0,50,2,0.0337139067917153,-0.0055227274147139,0.0,False,False
New York,2019-06-05 03:00:00,0.0260547064392631,0.0852167265684507,115193,0.0,51,3,0.0308816464579674,-0.0048269400187043,0.0,False,False
New York,2019-06-05 04:00:00,0.0251350327667605,0.0796267622898906,115194,0.0,52,4,0.0325643500066403,-0.007429317239879798,0.0,False,False
New York,2019-06-05 05:00:00,0.0503703151274217,0.1771638444888444,115194,0.0,53,5,0.0620667648598981,-0.011696449732476404,0.0,False,False
New York,2019-06-05 06:00:00,0.0655747463503682,0.236663300895609,115194,0.0,54,6,0.0764338331302347,-0.010859086779866509,0.0,False,False
New York,2019-06-05 07:00:00,0.0757200387785308,0.290468594954419,115194,0.0,55,7,0.0907702077336994,-0.0150501689551686,0.0,False,False
New York,2019-06-05 08:00:00,0.0864400091477062,0.3230583721776945,115194,0.0,56,8,0.099893007750335,-0.013452998602628788,0.0,False,False
New York,2019-06-05 09:00:00,0.0814727980323272,0.3061666296980708,115194,0.0,57,9,0.1003858184462475,-0.018913020413920303,0.0,False,False
New York,2019-06-05 10:00:00,0.0782472754927472,0.2883625575758197,115192,0.0,58,10,0.0960726693842849,-0.0178253938915377,0.0,False,False
New York,2019-06-05 11:00:00,0.0753266219490997,0.2765731667455353,115192,0.0,59,11,0.0915077249001046,-0.016181102951004903,0.0,False,False
New York,2019-06-05 12:00:00,0.0854987076273356,0.311318777596426,115192,0.0,60,12,0.0965795570626373,-0.011080849435301701,0.0,False,False
New York,2019-06-05 13:00:00,0.0960340125512484,0.3382822897561675,115182,0.0,61,13,0.0998973610322194,-0.0038633484809710017,0.0,False,False
New York,2019-06-05 14:00:00,0.1013375042574693,0.3609040702090702,115190,0.0,62,14,0.1023441496478967,-0.0010066453904273992,0.0,False,False
New York,2019-06-05 15:00:00,0.119412162369396,0.4025776394419144,115194,0.0,63,15,0.12069009276752421,-0.0012779303981282075,0.0,False,True
New York,2019-06-05 16:00:00,0.1189262181140451,0.4005204728064903,115194,0.0,64,16,0.12435988325883054,-0.005433665144785438,0.0,False,True
New York,2019-06-05 17:00:00,0.1265352964383098,0.4175746842236407,115194,0.0,65,17,0.13313346601024112,-0.006598169571931323,0.0,False,True
New York,2019-06-05 18:00:00,0.1254583584628433,0.4158202853276991,115194,0.0,66,18,0.13472887747148765,-0.00927051900864434,0.0,False,True
New York,2019-06-05 19:00:00,0.0991718388107148,0.3537341399877633,115194,0.0,67,19,0.1113239487213786,-0.012152109910663803,0.0,False,True
New York,2019-06-05 20:00:00,0.0879924971448613,0.310433599790737,115194,0.0,68,20,0.09908923300421979,-0.011096735859358484,0.0,False,True
New York,2019-06-05 21:00:00,0.0900906770311548,0.3080530420482947,115194,0.0104986933333333,69,21,0.1012827471187403,-0.011192070087585507,0.0,True,True
New York,2019-06-05 22:00:00,0.0837802170831499,0.2929076108067089,115184,0.0,70,22,0.09191182863507165,-0.008131611551921755,0.0,False,True
New York,2019-06-05 23:00:00,0.0703376226255099,0.2472237342937754,115182,0.0,71,23,0.07570127107888089,-0.005363648453370992,0.0,False,True
New York,2019-06-06 00:00:00,0.0544047833348856,0.1941906568988633,115182,0.0,72,0,0.05880467664521675,-0.004399893310331152,0.0,False,True
New York,2019-06-06 01:00:00,0.0450774250608263,0.1604300501583642,115182,0.0,73,1,0.047024225267124395,-0.0019468002062980952,0.0,False,True
New York,2019-06-06 02:00:00,0.0409227402495252,0.1418952731514018,115182,0.0104986933333333,74,2,0.039545997556409,0.0013767426931161966,0.0013767426931161966,True,True
New York,2019-06-06 03:00:00,0.0350415031592972,0.1234554174357915,115182,0.0931759033333333,75,3,0.0348019420122446,0.00023956114705260545,0.00023956114705260545,True,True
