city,hour,mean_deficit,p90_deficit,observation_count
New York,2019-06-01 00:00:00,0.052276481929894085,0.18222715365643258,115187
New York,2019-06-01 01:00:00,0.040353621415783796,0.14111887975287282,115182
New York,2019-06-01 02:00:00,0.03201975772646211,0.11166092801211513,115170
New York,2019-06-01 03:00:00,0.02787574664158031,0.09582858307384633,115176
New York,2019-06-01 04:00:00,0.02690694538411144,0.08841448337769098,115179
New York,2019-06-01 05:00:00,0.05492738848039258,0.19159743763330642,115178
New York,2019-06-01 06:00:00,0.06456518380358563,0.2184047513904217,115176
New York,2019-06-01 07:00:00,0.07005191184385459,0.2323732509156187,115176
New York,2019-06-01 08:00:00,0.07876411192224124,0.25765024277064835,115161
New York,2019-06-01 09:00:00,0.0816620413076192,0.2744447876197877,115104
New York,2019-06-01 10:00:00,0.08226983466190582,0.28311999059993825,115072
New York,2019-06-01 11:00:00,0.08427661396807816,0.2939448736615292,115140
New York,2019-06-01 12:00:00,0.08770228244575064,0.3092600233333109,115130
New York,2019-06-01 13:00:00,0.09006649111165348,0.3186050542027998,115128
New York,2019-06-01 14:00:00,0.09076370424743072,0.3191736667713432,115128
New York,2019-06-01 15:00:00,0.08882531924977853,0.3166550556022802,115140
New York,2019-06-01 16:00:00,0.08482286348859036,0.30085527734413625,115135
New York,2019-06-01 17:00:00,0.086896830825724,0.3070049098181249,115134
New York,2019-06-01 18:00:00,0.08257671710452713,0.2937141253179927,115188
New York,2019-06-01 19:00:00,0.06832306369811234,0.2525818313767276,115188
New York,2019-06-01 20:00:00,0.061218465445224,0.22093236799320082,115190
New York,2019-06-01 21:00:00,0.06653038502052748,0.2272730122773321,115193
New York,2019-06-01 22:00:00,0.0742570824229988,0.25590421959569204,115194
New York,2019-06-01 23:00:00,0.06732947483227888,0.23393685226849503,115189
New York,2019-06-02 00:00:00,0.05529076577825288,0.1968444498756759,115183
New York,2019-06-02 01:00:00,0.04438083980381615,0.15935463517539442,115182
New York,2019-06-02 02:00:00,0.036568604241544726,0.13080347511479,115147
New York,2019-06-02 03:00:00,0.03171942106105595,0.10977509219919668,115130
New York,2019-06-02 04:00:00,0.02938432018147827,0.09949264228780422,115119
New York,2019-06-02 05:00:00,0.06502277593095031,0.20751730417455813,115098
New York,2019-06-02 06:00:00,0.07129458740642595,0.2206807344983325,115141
New York,2019-06-02 07:00:00,0.0772488430586645,0.23460630456220283,115150
New York,2019-06-02 08:00:00,0.07924827812927715,0.24284097764002482,115141
New York,2019-06-02 09:00:00,0.08032994089694731,0.254042695879726,115117
