city,tmc_code,total_deficit,observation_count,severe_observation_count,mean_deficit,severe_observation_share
New York,120P18106,2937.901280653619,4463.0,4015.0,0.6582794713541607,0.8996190902980058
New York,120P07774,2717.515993162713,4463.0,3699.0,0.6088989453647128,0.8288146986332063
New York,120P16867,2659.8188977380987,4463.0,3646.0,0.5959710727622897,0.8169392785122115
New York,120+17199,2586.964288147577,4463.0,3861.0,0.57964693886345,0.8651131525879453
New York,120N05106,2578.836338036178,4463.0,3953.0,0.5778257535371225,0.8857270894017477
New York,120P19160,2457.410808254034,4463.0,3591.0,0.5506185992054747,0.8046157293300471
New York,120P07015,2446.0917069836937,4463.0,3941.0,0.5480823900926941,0.88303831503473
New York,120+07015,2446.090456983694,4463.0,3941.0,0.5480821100120309,0.88303831503473
New York,120P16845,2438.0225975088306,4463.0,4030.0,0.5462743888659715,0.902980058256778
New York,120N52012,2415.273459688646,4463.0,3611.0,0.5411771139790827,0.8090970199417432
New York,120+06422,2361.153662611276,4463.0,3876.0,0.5290507870515967,0.8684741205467175
New York,120N19211,2355.0287150090403,4463.0,3627.0,0.5276784035422452,0.8126820524311001
New York,120P18030,2313.1694040697657,4463.0,3399.0,0.5182992166860331,0.7615953394577638
New York,120P18107,2300.3552127683074,4463.0,3699.0,0.5154280109272479,0.8288146986332063
New York,120N17995,2281.689155817404,4463.0,3742.0,0.5112456096386744,0.8384494734483531
New York,120P18712,2280.639549988715,4463.0,3704.0,0.5110104302013702,0.8299350212861304
New York,120-06707,2254.54673383681,4463.0,3975.0,0.5051639555986578,0.8906565090746135
New York,120N18054,2238.863455381931,4463.0,3810.0,0.5016498891736346,0.8536858615281201
New York,120N18714,2238.863455381931,4463.0,3810.0,0.5016498891736346,0.8536858615281201
New York,120N18106,2198.6772222096374,4463.0,3942.0,0.4926455797019129,0.8832623795653148
Chicago,107+55845,3545.0160000000005,4464.0,4464.0,0.7941344086021507,1.0
Chicago,107N54605,3409.2792,4464.0,4464.0,0.7637274193548387,1.0
Chicago,107-50739,3404.3864,4464.0,4458.0,0.7626313620071684,0.9986559139784946
Chicago,107+55924,3363.646000000001,4464.0,4464.0,0.7535049283154124,1.0
Chicago,107P55924,3363.646000000001,4464.0,4464.0,0.7535049283154124,1.0
Chicago,107-55845,3355.7536000000005,4464.0,4464.0,0.7517369175627241,1.0
Chicago,107+50748,3297.8084000000003,4464.0,4463.0,0.7387563620071685,0.9997759856630825
Chicago,107P50748,3297.8084000000003,4464.0,4463.0,0.7387563620071685,0.9997759856630825
Chicago,107P22347,3284.178,4464.0,4459.0,0.7357029569892473,0.9988799283154122
Chicago,107-55844,3228.307599999999,4464.0,4464.0,0.7231871863799282,1.0
Chicago,107-54555,3205.3476666666666,4464.0,4463.0,0.7180438321385901,0.9997759856630825
Chicago,107+57639,3182.592285714286,4464.0,4448.0,0.712946300563236,0.996415770609319
Chicago,107P57639,3182.592285714286,4464.0,4448.0,0.712946300563236,0.996415770609319
Chicago,107+55846,3179.8623999999995,4464.0,4464.0,0.7123347670250895,1.0
Chicago,107P55846,3179.8623999999995,4464.0,4464.0,0.7123347670250895,1.0
Chicago,107P57398,3134.824,4464.0,4464.0,0.7022455197132617,1.0
Chicago,107P54607,3130.3636000000006,4464.0,4464.0,0.7012463261648747,1.0
Chicago,107P54811,3069.412333333333,4464.0,4464.0,0.6875923685782557,1.0
Chicago,107+55844,3026.0152000000007,4464.0,4464.0,0.6778707885304661,1.0
Chicago,107+57646,3015.495666666666,4464.0,4462.0,0.6755142622461169,0.9995519713261649
Houston,112N12324,1101.3065420818248,4287.0,2123.0,0.25689445814831463,0.4952181012362958
Houston,112N05978,1062.1196783340447,4288.0,1918.0,0.2476958205070067,0.447294776119403
Houston,112N05984,1057.2864018832745,4287.0,1823.0,0.24662617258765443,0.42523909493818524
Houston,112+04141,963.3210150077181,4099.0,1946.0,0.23501366553006053,0.4747499390095145
Houston,112N18229,954.9007041017474,4288.0,1687.0,0.22269139554611644,0.39342350746268656
Houston,112N18277,949.3413267773527,4287.0,1795.0,0.22144654228536337,0.41870772101702824
Houston,112P18251,938.873262225462,4287.0,1854.0,0.2190047264346774,0.4324702589223233
Houston,112P15838,900.1297390635966,4287.0,1664.0,0.20996728226349348,0.3881502216001866
Houston,112P18229,896.256794278181,4288.0,1444.0,0.20901511060591907,0.33675373134328357
Houston,112P10109,895.4509620235043,4287.0,1700.0,0.20887589503697324,0.3965477023559599
Houston,112N11291,874.3728307677854,4287.0,1802.0,0.20395913943731875,0.4203405644973175
Houston,112N51889,874.2308400111511,4287.0,1752.0,0.2039260181971428,0.4086773967809657
Houston,112N12344,860.4734621581656,4287.0,1668.0,0.20071692609241093,0.38908327501749473
Houston,112N10144,854.4349841216557,4287.0,1782.0,0.1993083704505845,0.41567529741077675
Houston,112+18251,845.2114454866454,4287.0,1640.0,0.197156856889817,0.38255190109633774
Houston,112P05978,842.9754686834212,4288.0,1643.0,0.19658942833102175,0.3831623134328358
Houston,112N05997,837.4803705312289,4288.0,1526.0,0.19530792223209628,0.3558768656716418
Houston,112P52287,830.5012457113504,4287.0,1624.0,0.19372550634741087,0.3788196874271052
Houston,112P04491,827.2026260620914,4288.0,1389.0,0.19291106018239074,0.32392723880597013
Houston,112N09697,825.6422717478351,4287.0,1633.0,0.19259208578209358,0.3809190576160485
Philadelphia,103P04848,2481.7143930810253,4464.0,4098.0,0.5559396041848175,0.918010752688172
Philadelphia,103N12157,2136.477552401803,4464.0,3082.0,0.4786016022405473,0.6904121863799283
Philadelphia,103P11715,2136.423088368245,4464.0,3455.0,0.4785894015161839,0.7739695340501792
Philadelphia,103N50996,2133.6240391949145,4464.0,3390.0,0.47796237437162065,0.7594086021505376
Philadelphia,103N12189,2119.50517227166,4464.0,4041.0,0.47479954575978045,0.905241935483871
Philadelphia,103N07739,2089.3536009310783,4464.0,3383.0,0.46804516149889747,0.7578405017921147
Philadelphia,103P12157,2066.497293323165,4464.0,2969.0,0.46292502090572696,0.6650985663082437
Philadelphia,103N12604,2009.7949572702148,4464.0,3957.0,0.4502228846931485,0.8864247311827957
Philadelphia,103P11684,2007.1219741486661,4464.0,3511.0,0.44962409815158294,0.7865143369175627
Philadelphia,103P13468,1999.5105784601624,4464.0,3696.0,0.4479190363934055,0.8279569892473119
Philadelphia,103N04931,1931.0912719158412,4464.0,4247.0,0.43259213080551995,0.9513888888888888
Philadelphia,103P11738,1917.6433591196428,4464.0,3282.0,0.42957960553755437,0.7352150537634409
Philadelphia,103P18053,1900.3584546328525,4464.0,3341.0,0.42570753912026266,0.7484318996415771
Philadelphia,103N12578,1892.5843650644786,4464.0,3466.0,0.42396603160046564,0.7764336917562724
Philadelphia,103N11715,1830.9657269941124,4464.0,3277.0,0.4101625732513693,0.734094982078853
Philadelphia,103P07257,1762.8926415788903,4464.0,3369.0,0.3949132261601457,0.7547043010752689
Philadelphia,103P51160,1757.1455883184547,4464.0,3083.0,0.39362580383477924,0.6906362007168458
Philadelphia,103P16947,1753.978828086454,4464.0,3106.0,0.39291640414123075,0.6957885304659498
Philadelphia,103P14453,1750.668110785562,4464.0,3057.0,0.3921747560003499,0.6848118279569892
Philadelphia,103P18321,1748.2815151341383,4464.0,3169.0,0.3916401243580059,0.7099014336917563
San Antonio,112N20358,1907.9330193572519,4464.0,3438.0,0.4274043502144381,0.7701612903225806
San Antonio,112N10641,1902.3668889964763,4464.0,4225.0,0.4261574572124723,0.9464605734767025
San Antonio,112P19475,1900.673647608749,4464.0,3016.0,0.42577814686575916,0.6756272401433692
San Antonio,112P18999,1895.4400334037234,4464.0,3510.0,0.424605742249938,0.7862903225806451
San Antonio,112N10600,1847.7331846005134,4464.0,3978.0,0.4139187241488605,0.8911290322580645
San Antonio,112P54259,1816.797541211337,4464.0,3599.0,0.40698869650791597,0.8062275985663082
San Antonio,112P10523,1741.3732261936304,4464.0,2973.0,0.3900925685917631,0.665994623655914
San Antonio,112N18718,1711.6285316572341,4464.0,3944.0,0.3834293305683768,0.8835125448028673
San Antonio,112P10603,1708.7531142103933,4464.0,4034.0,0.38278519583566156,0.9036738351254481
San Antonio,112N10316,1673.1370002443862,4464.0,3512.0,0.37480667568198617,0.7867383512544803
San Antonio,112P54186,1644.658989412906,4464.0,3323.0,0.36842719296884097,0.744399641577061
San Antonio,112N10483,1610.1705765799186,4464.0,3253.0,0.36070129403672013,0.7287186379928315
