city,n_events,mean_first_order_to_lp_transfer_ratio,mean_selected_unit_jaccard,mean_hybrid_total_budget_usage,mean_hybrid_binding_period_share_95pct,mean_hybrid_cost_weighted_u_cap_ratio,mean_hybrid_cost_share_beyond_first_segment,mean_footprint_top5pct_selected_unit_share,mean_finite_top5pct_selected_unit_share,mean_hybrid_only_minus_base_only_footprint_mass
Austin,1,0.05405805523084069,0.8958333333333334,0.9999999999999821,0.0,0.3534911098808372,0.02654189988544551,0.18181818181818182,0.5454545454545454,0.016137448567554762
Chicago,1,-0.002722888075403665,0.98989898989899,0.999999999999995,0.0,0.44405708549459133,0.13937992590122744,0.17777777777777778,0.6666666666666666,-0.0007037776502097274
Dallas,1,0.0,1.0,0.9999999999999978,0.16666666666666666,0.4449806105928182,0.13685333541157227,0.05263157894736842,0.42105263157894735,0.0
Houston,1,0.012269079189453705,0.95,0.9999999999999819,0.0,0.38440446556231245,0.07283246308563109,0.05,0.65,0.0019621629881539366
Philadelphia,1,0.019626005497051048,0.8552631578947368,0.9999999999999274,0.16666666666666666,0.25598665990081215,5.591747493129634e-16,0.030303030303030304,0.3333333333333333,0.009621350624773057
San Antonio,1,0.07607288125134655,0.9318181818181818,0.9999999999999536,0.0,0.32824332252891353,0.029448896062064734,0.25,0.75,0.013838270905326416
