city,event_id,calibration,intervention,selected_cost,selected_cost_share
Austin,484,base,R,0.09851058153747531,0.06890684398755322
Austin,484,base,C,1.0061006149697218,0.7037540234713422
Austin,484,base,S,0.32500850215828614,0.22733913254110444
Austin,484,hybrid_footprint,R,0.0637306627766941,0.044578752542501564
Austin,484,hybrid_footprint,C,0.9961223929479963,0.6967743896351285
Austin,484,hybrid_footprint,S,0.3697666429407897,0.25864685782236985
Chicago,157,base,R,4.0623619326230935,0.33636257604145403
Chicago,157,base,C,6.67414421634155,0.5526175113676413
Chicago,157,base,S,1.340824154637383,0.11101991259090482
Chicago,157,hybrid_footprint,R,4.085518822957712,0.33827996090652745
Chicago,157,hybrid_footprint,C,6.653968202781211,0.5509469423715841
Chicago,157,hybrid_footprint,S,1.3378432778631013,0.11077309672188843
Dallas,64,base,R,3.608135895801124,0.817911549589467
Dallas,64,base,C,0.7031829495133434,0.15940127325876413
Dallas,64,base,S,0.10008223786151851,0.022687177151768836
Dallas,64,hybrid_footprint,R,3.605369298459409,0.8172844025018294
Dallas,64,hybrid_footprint,C,0.7059495468550585,0.16002842034640172
Dallas,64,hybrid_footprint,S,0.10008223786151851,0.022687177151768836
Houston,52,base,R,0.7561064853099496,0.5024047921764913
Houston,52,base,C,0.6063805818333792,0.40291746746620566
Houston,52,base,S,0.1424876008616982,0.09467774035730298
Houston,52,hybrid_footprint,R,0.7500216899393849,0.4983616707207464
Houston,52,hybrid_footprint,C,0.6046947411349843,0.4017972886789914
Houston,52,hybrid_footprint,S,0.15025823693065582,0.0998410406002622
Philadelphia,641,base,R,0.0,0.0
Philadelphia,641,base,C,0.1654794917173943,0.758137974997454
Philadelphia,641,base,S,0.0527914525892143,0.24186202500254603
Philadelphia,641,hybrid_footprint,R,0.0,0.0
Philadelphia,641,hybrid_footprint,C,0.15235331836369487,0.6980009127998373
Philadelphia,641,hybrid_footprint,S,0.06591762594291319,0.3019990872001627
San Antonio,499,base,R,0.0,0.0
San Antonio,499,base,C,0.3351956229525711,0.8215587541034977
San Antonio,499,base,S,0.07280395258398774,0.17844124589650254
San Antonio,499,hybrid_footprint,R,0.0,0.0
San Antonio,499,hybrid_footprint,C,0.32525313592064364,0.7971898879867837
San Antonio,499,hybrid_footprint,S,0.08274643961591391,0.2028101120132162
