city,event_id,event_start,n_units,v34_delta_finite_top5pct_units_footprint_mass,v35_delta_selected_unit_footprint_mass,first_order_to_lp_transfer_ratio,selected_unit_jaccard,selected_action_jaccard,base_selected_unit_footprint_mass,hybrid_selected_unit_footprint_mass,hybrid_finite_top5pct_units_footprint_mass,hybrid_small_top5pct_units_footprint_mass,footprint_top5pct_selected_unit_share,footprint_top5pct_finite_unit_share,finite_top5pct_selected_unit_share,small_top5pct_selected_unit_share,hybrid_only_unit_count,base_only_unit_count,common_unit_count,hybrid_only_unit_footprint_mass,base_only_unit_footprint_mass,hybrid_only_minus_base_only_footprint_mass,base_total_budget_usage,base_max_period_budget_usage,base_mean_period_budget_usage,base_binding_period_share_95pct,base_binding_period_share_99pct,base_early_t0_cost_share,base_early_t0_t1_cost_share,hybrid_total_budget_usage,hybrid_max_period_budget_usage,hybrid_mean_period_budget_usage,hybrid_binding_period_share_95pct,hybrid_binding_period_share_99pct,hybrid_early_t0_cost_share,hybrid_early_t0_t1_cost_share,base_mean_selected_u_cap_ratio,base_cost_weighted_selected_u_cap_ratio,base_selected_cost_share_cap_saturated_95pct,base_selected_cost_share_beyond_first_segment,base_selected_cost_share_beyond_second_segment,hybrid_mean_selected_u_cap_ratio,hybrid_cost_weighted_selected_u_cap_ratio,hybrid_selected_cost_share_cap_saturated_95pct,hybrid_selected_cost_share_beyond_first_segment,hybrid_selected_cost_share_beyond_second_segment
Austin,484,2024-07-22 14:00:00,207,0.2985207014688926,0.0161374485675547,0.05405805523084069,0.8958333333333334,0.8817635270541082,0.3018180320922181,0.3179554806597729,0.31775647574484667,0.02130706897850041,0.18181818181818182,0.45454545454545453,0.5454545454545454,1.0,5,0,43,0.016137448567554762,0.0,0.016137448567554762,0.9999999999999843,0.4101338168707367,0.2976190476190429,0.0,0.0,0.09185438823173497,0.20639561034801648,0.9999999999999821,0.45417702653248454,0.2976190476190423,0.0,0.0,0.10069426612627853,0.22786383355537648,0.3538341249732987,0.364251477126918,0.0,0.03029268592420011,1.1353753169985456e-16,0.33460040877587177,0.3534911098808372,0.0,0.02654189988544551,9.083002535988384e-17
Chicago,157,2019-07-29 10:00:00,882,0.2584673444961067,-0.0007037776502097,-0.002722888075403665,0.98989898989899,0.9909747292418772,0.1923684572417023,0.1916646795914925,0.3526192479483163,0.09415190345219947,0.17777777777777778,0.5111111111111111,0.6666666666666666,1.0,0,1,98,0.0,0.0007037776502097274,-0.0007037776502097274,0.999999999999995,0.614730597768024,0.2976190476190461,0.0,0.0,0.06680971297479556,0.14507490739084877,0.999999999999995,0.6013209178693726,0.297619047619046,0.0,0.0,0.06590446164755988,0.14416965606361312,0.38974500982960547,0.43696078361858587,0.0,0.12811964837388395,8.004657636874336e-17,0.3900713833812099,0.44405708549459133,0.0,0.13937992590122744,8.058076513703833e-17
Dallas,64,2019-04-30 18:00:00,366,0.3696004116773997,0.0,0.0,1.0,0.9953051643192488,0.0484316897234605,0.0484316897234605,0.3904671345392176,0.021879684449961762,0.05263157894736842,0.631578947368421,0.42105263157894735,1.0,0,0,33,0.0,0.0,0.0,0.9999999999999978,0.9999999999999986,0.29761904761904695,0.16666666666666666,0.08333333333333333,0.022574975017026065,0.047839952805808106,0.9999999999999978,0.9999999999999986,0.29761904761904695,0.16666666666666666,0.08333333333333333,0.022574975017026065,0.047839952805808106,0.38103028752894175,0.4452202770793913,0.0,0.13685333541157227,5.884448897796022e-17,0.37960108178818186,0.4449806105928182,0.0,0.13685333541157227,5.884448897796022e-17
Houston,52,2019-04-04 01:00:00,393,0.1599274858247343,0.0019621629881539,0.012269079189453705,0.95,0.9022869022869024,0.0904242700751531,0.092386433063307,0.19741617689883859,0.037488691074101306,0.05,0.35,0.65,1.0,2,0,38,0.0019621629881539366,0.0,0.0019621629881539366,0.9999999999999832,0.6181304704487783,0.29761904761904256,0.0,0.0,0.055137010362511715,0.11772552011125824,0.9999999999999819,0.6936784382423231,0.29761904761904223,0.0,0.0,0.06107571377577758,0.10679615566209448,0.35686333369734835,0.40133598584131897,0.0,0.09088535296258396,1.2493216837582288e-16,0.3380860503747531,0.38440446556231245,0.0,0.07283246308563109,1.2493216837582305e-16
Philadelphia,641,2023-07-07 11:00:00,642,0.4902347870135203,0.009621350624773,0.019626005497051048,0.8552631578947368,0.8266871165644172,0.0495117267625267,0.0591330773872998,0.5109490789380331,0.021229122586946342,0.030303030303030304,0.6666666666666666,0.3333333333333333,1.0,11,0,65,0.009621350624773057,0.0,0.009621350624773057,0.99999999999993,0.999999999999976,0.29761904761902674,0.25,0.16666666666666666,0.024964599432315826,0.03090356446772715,0.9999999999999274,0.9999999999999739,0.29761904761902597,0.16666666666666666,0.16666666666666666,0.02393002392120585,0.03019912729384043,0.07708128235643606,0.2760095626234878,0.0,5.731319444444137e-16,0.0,0.07105539104281612,0.25598665990081215,0.0,5.591747493129634e-16,0.0
San Antonio,499,2024-07-22 20:00:00,304,0.1819080686533278,0.0138382709053264,0.07607288125134655,0.9318181818181818,0.9396325459317584,0.1587971730924693,0.1726354439977958,0.2433372654998271,0.06142919684649645,0.25,0.5,0.75,1.0,3,0,41,0.013838270905326416,0.0,0.013838270905326416,0.9999999999999565,0.8624507784009636,0.2976190476190346,0.0,0.0,0.21077585949085675,0.45226207744313707,0.9999999999999536,0.8714778159813998,0.29761904761903374,0.0,0.0,0.21077585949085736,0.4547896479656607,0.20328294816725598,0.33390738532775055,0.0,0.03547587472427516,0.0,0.19754356320751082,0.32824332252891353,0.0,0.029448896062064734,0.0
