split_role,split_id,heldout,model_id,family,feature_set,description,n_features,n_train_tokens,n_test_tokens,n_train_events,n_test_events,full_event_eval,train_loss,n_tokens,n_events,pearson,spearman,mae,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret
leave_city,leave_chicago,Chicago,N1_factorized_mlp,mlp,factorized,MLP on seven factorized law features,7,144056,26081,92,13,True,0.4653107513,26081,13,0.386337085,0.4121587696,0.03391348717,0.961645465,0.9606277431,0.8336652491,0.03835453499
leave_city,leave_dallas,Dallas,N1_factorized_mlp,mlp,factorized,MLP on seven factorized law features,7,158137,12000,95,10,True,0.4267093869,12000,10,0.5021732639,0.6843118527,0.03434664842,0.8189200256,0.7930544826,0.1666666667,0.1810799744
leave_city,leave_houston,Houston,N1_factorized_mlp,mlp,factorized,MLP on seven factorized law features,7,165337,4800,101,4,True,0.4659003921,4800,4,0.4742083535,0.6743671089,0.02513809441,0.9642415435,0.9413737953,0.8,0.03575845654
leave_city,leave_new_york,New York,N1_factorized_mlp,mlp,factorized,MLP on seven factorized law features,7,119683,50454,81,24,True,0.4492309826,50454,24,0.2016885333,0.3453680184,0.01626513933,0.9182234769,0.9192421223,0.6528673226,0.08177652309
leave_city,leave_philadelphia,Philadelphia,N1_factorized_mlp,mlp,factorized,MLP on seven factorized law features,7,136418,33719,85,20,True,0.4363356921,33719,20,0.3673724932,0.6110609272,0.07431225076,0.9861390513,0.989266726,0.8816890893,0.01386094869
leave_city,leave_san_antonio,San Antonio,N1_factorized_mlp,mlp,factorized,MLP on seven factorized law features,7,145061,25076,86,19,True,0.4880275765,25076,19,0.2820735515,0.655063358,0.06366731181,0.9124859439,0.9354333389,0.6295032019,0.08751405611
leave_city,leave_austin,Austin,N2_full_mlp,mlp,full_additive,MLP on full additive action features,30,152130,18007,90,15,True,0.02127768443,18007,15,0.923665765,0.9482578175,0.03028906742,0.9081889659,0.9085596626,0.6316393443,0.09181103407
leave_city,leave_chicago,Chicago,N2_full_mlp,mlp,full_additive,MLP on full additive action features,30,144056,26081,92,13,True,0.04186595697,26081,13,0.8694930223,0.9268699558,0.01692722145,0.9860111592,0.980195896,0.8639718748,0.01398884076
leave_city,leave_dallas,Dallas,N2_full_mlp,mlp,full_additive,MLP on full additive action features,30,158137,12000,95,10,True,0.03141771415,12000,10,0.9245495184,0.8896053089,0.01074803602,0.8713672446,0.8399952405,0.3033333333,0.1286327554
leave_city,leave_houston,Houston,N2_full_mlp,mlp,full_additive,MLP on full additive action features,30,165337,4800,101,4,True,0.0280959232,4800,4,0.9695688569,0.933918084,0.005694053801,0.9695266912,0.9766268969,0.8458333333,0.03047330882
