split_role,split_id,heldout,model_id,family,feature_set,description,n_features,n_train_tokens,n_test_tokens,n_train_events,n_test_events,full_event_eval,train_loss,city,event_id,n_tokens,spearman,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision
leave_city,leave_dallas,Dallas,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,158137,12000,95,10,True,,Dallas,58,1200,0.8438246803,0.8249194729,0.7795266481,0.1666666667
leave_city,leave_dallas,Dallas,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,158137,12000,95,10,True,,Dallas,59,1200,0.8494706772,0.8297309824,0.7829067157,0.1666666667
leave_city,leave_dallas,Dallas,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,158137,12000,95,10,True,,Dallas,60,1200,0.8424364865,0.8297309824,0.7829067157,0.1666666667
leave_city,leave_dallas,Dallas,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,158137,12000,95,10,True,,Dallas,61,1200,0.8488247903,0.8297309825,0.7829067157,0.1666666667
leave_city,leave_dallas,Dallas,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,158137,12000,95,10,True,,Dallas,62,1200,0.8470452501,0.8297309824,0.7829067157,0.1666666667
leave_city,leave_dallas,Dallas,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,158137,12000,95,10,True,,Dallas,63,1200,0.8465322848,0.8297309824,0.7829067157,0.1666666667
leave_city,leave_dallas,Dallas,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,158137,12000,95,10,True,,Dallas,64,1200,0.843752748,0.8297309824,0.7829067157,0.1666666667
leave_city,leave_houston,Houston,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,165337,4800,101,4,True,,Houston,52,1200,0.9209965912,0.9497992813,0.9605456983,0.8
leave_city,leave_houston,Houston,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,165337,4800,101,4,True,,Houston,60,1200,0.9193233773,0.9497992813,0.9605456983,0.8
leave_city,leave_houston,Houston,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,165337,4800,101,4,True,,Houston,61,1200,0.9231601547,0.9497992813,0.9605456983,0.8
leave_city,leave_houston,Houston,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,165337,4800,101,4,True,,Houston,62,1200,0.9228839076,0.9497992813,0.9605456983,0.8
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,98,2833,0.7769113869,0.9328036718,0.9440428552,0.7183098592
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,99,3324,0.6170112059,0.8948937864,0.8991901998,0.6167664671
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,100,3667,0.6675596827,0.9031027022,0.9125835359,0.6630434783
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,101,2057,0.7465028396,0.9060657658,0.9067959958,0.6699029126
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,102,1960,0.7614015768,0.9085927125,0.9085538881,0.6836734694
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,103,2050,0.7493481785,0.9060657658,0.9067959958,0.6699029126
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,104,2311,0.7247298664,0.9035039074,0.9049404993,0.6379310345
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,105,2026,0.7441990497,0.9067814604,0.9072948694,0.6666666667
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,106,3249,0.6477721405,0.9070272741,0.9071726883,0.6257668712
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,107,2148,0.7350029587,0.9043842794,0.9055995265,0.6666666667
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,108,2346,0.7231312667,0.9036433246,0.9050241695,0.6355932203
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,109,2181,0.734934342,0.9055184618,0.906375681,0.6636363636
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,110,1947,0.7535125664,0.9085927125,0.9085538881,0.6836734694
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,111,2098,0.7366732757,0.903985886,0.9053444347,0.6761904762
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,112,1462,0.8104417635,0.9309442365,0.9233548493,0.6621621622
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,113,1360,0.8208134029,0.9317010966,0.9234563423,0.6617647059
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,115,1320,0.8091533205,0.9210817512,0.9376335571,0.5757575758
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,116,1230,0.8247919724,0.9091703784,0.902615474,0.5967741935
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,117,1284,0.8237219192,0.9323697535,0.923679114,0.6769230769
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,119,2182,0.8322142867,0.8946001692,0.9104814675,0.6545454545
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,120,1439,0.789255209,0.8880140766,0.8982184861,0.6111111111
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,121,2076,0.7487385646,0.9055154379,0.9064103281,0.6730769231
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,122,1959,0.7575710723,0.9085927125,0.9085538881,0.6836734694
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,New York,123,1945,0.757507096,0.9085927125,0.9085538881,0.6836734694
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,640,1286,0.9387681851,0.9775747402,0.9803342582,0.8307692308
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,641,1200,0.94412737,0.981676153,0.9831787211,0.85
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,642,1200,0.9442017217,0.981676153,0.9831787211,0.85
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,643,1265,0.9405262398,0.9765705646,0.9796923081,0.828125
